cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr2D	34213	12576689	Chr2D	2308070	16190338	295	0.9974779661016948
Chr2D	12621757	212930092	Chr2D	17354306	224757993	1901	0.9978932140978432
Chr2D	215731966	223908849	Chr2D	227541519	235681561	13	0.9995384615384617
Chr2D	226334565	236124178	Chr2D	238098332	247858485	10	0.9995
Chr2D	238162860	265066747	Chr2D	249878986	276737745	46	0.9999565217391305
Chr2D	267698311	280652282	Chr2D	279350869	292708287	35	0.9990857142857144
Chr2D	282927919	635522009	Chr2D	294960143	652142990	3017	0.9974560822008619
Chr2D	642477971	647282532	Chr2D	658219757	663025556	114	0.9998245614035087
Chr2D	635584896	642343678	Chr2D	663182223	670394447	111	0.9935405405405404
Chr2D	647431412	651821746	Chr2D	652327842	658074198	84	0.9963095238095238
