gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity	segment
gene:TraesCS2A02G235000	Chr2A	289759389	289776382	-	289767885	Chr2A	336136218	336153202	+	336144710	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G235100	Chr2A	290319351	290321760	+	290320555	Chr2A	335592989	335595398	-	335594193	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G235200	Chr2A	291666035	291666578	+	291666306	Chr2A	334270666	334271209	-	334270937	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G235300	Chr2A	293049856	293050548	+	293050202	Chr2A	332911667	332912359	-	332912013	1.0	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A02G235400	Chr2A	293151798	293154179	-	293152988	Chr2A	332819370	332821747	+	332820558	0.998	0.998	rearrangement:Chr2A_block1
gene:TraesCS2A02G235500	Chr2A	293934939	293967206	-	293951072	Chr2A	332015222	332044678	+	332029950	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G235700	Chr2A	297248158	297259504	-	297253831	Chr2A	328743912	328755261	+	328749586	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G235800	Chr2A	298365050	298365379	+	298365214	Chr2A	327654726	327655055	-	327654890	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G235900	Chr2A	299774511	299783790	+	299779150	Chr2A	326252697	326261976	-	326257336	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G236000	Chr2A	300391464	300406860	+	300399162	Chr2A	325636789	325651812	-	325644300	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G236200	Chr2A	302033631	302054371	+	302044001	Chr2A	324005855	324026399	-	324016127	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G236300	Chr2A	303729916	303740925	+	303735420	Chr2A	322320543	322331172	-	322325857	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A02G236500	Chr2A	304964515	304965467	-	304964991	Chr2A	321111510	321112462	+	321111986	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G236600	Chr2A	304978945	304982823	-	304980884	Chr2A	321094147	321098031	+	321096089	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G236700	Chr2A	305384805	305388922	+	305386863	Chr2A	320694698	320698815	-	320696756	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G237400	Chr2A	311155151	311158703	+	311156927	Chr2A	314988190	314991517	-	314989853	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G237500	Chr2A	312314840	312319137	+	312316988	Chr2A	313837636	313841935	-	313839785	1.0	0.998	rearrangement:Chr2A_block1
gene:TraesCS2A02G237600	Chr2A	313204699	313214886	+	313209792	Chr2A	311759137	311769327	-	311764232	1.0	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A02G237700	Chr2A	313770244	313778042	-	313774143	Chr2A	311186912	311194710	+	311190811	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G237800	Chr2A	315037373	315041713	-	315039543	Chr2A	309924938	309929278	+	309927108	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G237900	Chr2A	317939838	317955087	-	317947462	Chr2A	307036440	307051092	+	307043766	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G238000	Chr2A	319021660	319052447	-	319037053	Chr2A	305935505	305964986	+	305950245	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G238100	Chr2A	319220832	319221224	+	319221028	Chr2A	305772589	305772981	-	305772785	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G238200	Chr2A	320188638	320203023	+	320195830	Chr2A	304794456	304808842	-	304801649	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A02G238300	Chr2A	320313152	320314565	+	320313858	Chr2A	304683661	304685074	-	304684367	1.0	0.998	rearrangement:Chr2A_block1
gene:TraesCS2A02G238400	Chr2A	321150069	321157088	-	321153578	Chr2A	303844076	303851095	+	303847585	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G238500	Chr2A	321743264	321744004	+	321743634	Chr2A	303261025	303261765	-	303261395	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G238600	Chr2A	323010947	323017377	-	323014162	Chr2A	301991597	301998027	+	301994812	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G238700	Chr2A	323528641	323530709	-	323529675	Chr2A	301485391	301487459	+	301486425	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G238800	Chr2A	324287742	324289041	+	324288391	Chr2A	300730408	300731707	-	300731057	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G238900	Chr2A	324291402	324296723	-	324294062	Chr2A	300722966	300728047	+	300725506	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G239000	Chr2A	324605001	324634787	-	324619894	Chr2A	300394749	300424307	+	300409528	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A02G239100	Chr2A	327178367	327180445	+	327179406	Chr2A	348629889	348631967	-	348630928	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G239200	Chr2A	329686994	329705572	-	329696283	Chr2A	346371916	346390494	+	346381205	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G239300	Chr2A	330397787	330398125	+	330397956	Chr2A	345694612	345694950	-	345694781	1.0	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A02G240400	Chr2A	335804503	335804874	-	335804688	Chr2A	340369276	340369647	+	340369461	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G240600	Chr2A	335819071	335819310	-	335819190	Chr2A	340355040	340355279	+	340355159	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G240500	Chr2A	335818512	335823693	+	335821102	Chr2A	340350657	340355838	-	340353247	1.0	0.998	rearrangement:Chr2A_block1
gene:TraesCS2A02G240700	Chr2A	335821235	335821606	-	335821420	Chr2A	340352744	340353115	+	340352929	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G240800	Chr2A	335825182	335825301	-	335825241	Chr2A	340349049	340349168	+	340349108	1.0	1.0	rearrangement:Chr2A_block1
