cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr7B	155467825	169470795	Chr7B	169441345	183358461	77	0.99787012987013
Chr7B	171985598	256181765	Chr7B	185807544	269867249	377	0.998238726790451
Chr7B	289163500	293981562	Chr7B	304324121	309051416	9	0.9996666666666667
Chr7B	297390309	307364806	Chr7B	319121042	328895401	19	0.9997894736842107
Chr7B	312814982	326394675	Chr7B	329979491	343444380	29	0.9999310344827587
Chr7B	327143702	337641571	Chr7B	158729280	169127345	64	0.998671875
Chr7B	339608788	340640628	Chr7B	371678936	372718503	5	0.9975999999999999
Chr7B	34838	154814815	Chr7B	43465	158211055	1210	0.9959735537190082
Chr7B	259608478	278933515	Chr7B	271437103	291895449	29	0.9986206896551725
Chr7B	281386105	287943968	Chr7B	294314446	300827087	11	0.9987272727272728
Chr7B	295082068	296338725	Chr7B	301792407	303156775	3	0.9996666666666667
Chr7B	310413787	312442469	Chr7B	316392206	318268234	5	0.9998000000000001
Chr7B	337929275	339223535	Chr7B	344438357	345643109	3	1.0
Chr7B	344312834	389109218	Chr7B	347363216	398198423	152	0.9989802631578947
Chr7B	391956637	405970176	Chr7B	401063209	414486811	51	0.9995098039215686
Chr7B	408568404	419042240	Chr7B	417062469	427577608	45	0.9994222222222221
Chr7B	421064524	541167218	Chr7B	429559065	550754825	781	0.9989513444302177
Chr7B	543188151	732200431	Chr7B	552750770	749657076	1466	0.9949358799454298
Chr7B	749332248	750609249	Chr7B	762723647	764428554	18	0.9607777777777778
Chr7B	716785678	716801331	Chr7B	149760235	149779598	3	0.9940000000000001
Chr7B	727426353	727867771	Chr7B	745035769	745483825	7	0.9845714285714287
Chr7B	732383130	734772755	Chr7B	750319500	752797534	35	0.9919428571428572
