cs_chr	Kariega_tgt_chr	n_anchors	Kariega_mean_anchor_gap_Mb	Kariega_interp_type	n_segments	Kariega_mean_anchor_fraction
Chr1A	Chr1A+Chr1A+Chr1A+Chr1A	3938	0.078	linear+linear+pchip+pchip_inverted	4	0.941
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B	4330	0.199	linear+pchip+linear+linear	4	0.935
Chr1D	Chr1D	4378	0.114	linear	1	0.977
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A	5464	0.209	linear+pchip_inverted+linear+linear	4	0.928
Chr2B	Chr2B	5609	0.145	linear	1	0.935
Chr2D	Chr2D	5727	0.115	linear	1	0.977
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A+Chr3A	4989	0.135	linear+linear+linear+linear+pchip	5	0.969
Chr3B	Chr3B+Chr3B+Chr3B+Chr3B+Chr3B	5422	0.145	linear+linear+linear+linear+linear	5	0.926
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D	5069	0.082	linear+linear+pchip_inverted+pchip_inverted	4	0.977
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A	3528	0.383	linear+linear+pchip_inverted+linear	4	0.843
Chr4B	Chr4B	3765	0.179	linear	1	0.97
Chr4D	Chr4D	3549	0.145	linear	1	0.99
Chr5A	Chr5A+Chr5A	5263	0.237	linear+linear	2	0.966
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr5B	5107	0.145	linear+linear+linear+linear+linear	5	0.913
Chr5D	Chr5D+Chr5D	5418	0.097	linear+pchip	2	0.98
Chr6A	Chr6A+Chr6A	3817	0.092	linear+linear	2	0.964
Chr6B	Chr6B	3464	0.211	linear	1	0.662
Chr6D	Chr6D+Chr6D+Chr6D+Chr6D	3888	0.067	linear+linear+linear+linear	4	0.983
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A+Chr7A	5154	0.126	linear+pchip_inverted+linear+pchip_inverted+pchip_inverted	5	0.955
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B	4403	0.527	linear+linear+linear+linear+linear+linear+linear	7	0.924
Chr7D	Chr7D+Chr7D	5310	0.094	linear+linear	2	0.98
