cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr5A	216209	62409843	Chr5A	690657	65120240	555	0.9965009009009008
Chr5A	65256920	152899436	Chr5A	67985940	156019622	399	0.9964937343358397
Chr5A	156754150	160718182	Chr5A	159855565	163919395	12	0.9998333333333336
Chr5A	163084098	182449906	Chr5A	166262166	185635939	37	0.999864864864865
Chr5A	184871905	187078746	Chr5A	188059775	190259823	4	1.0
Chr5A	192446609	200581324	Chr5A	195593050	203689776	16	0.99875
Chr5A	204816399	224020772	Chr5A	207949175	227088610	33	0.9996969696969698
Chr5A	226098410	238494644	Chr5A	229163141	242811056	28	0.9997857142857144
Chr5A	247866626	251028605	Chr5A	249410856	254200831	8	1.0
Chr5A	259606122	428812755	Chr5A	264186861	433493274	899	0.9984538375973304
Chr5A	431918117	713328361	Chr5A	433788464	715481730	3245	0.99628875192604
