cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr4A	81328	52597423	Chr4A	495230	52875293	563	0.9967424511545294
Chr4A	58806973	63565133	Chr4A	57650038	62424964	46	0.9935434782608696
Chr4A	71099375	75943300	Chr4A	70377146	75216657	39	0.993358974358974
Chr4A	81244931	130332624	Chr4A	81636639	130515354	282	0.9970070921985816
Chr4A	132517055	192330869	Chr4A	132693401	192368152	261	0.9990421455938696
Chr4A	194997349	219652885	Chr4A	195036348	219615210	45	0.9993111111111111
Chr4A	221731546	222175913	Chr4A	221693575	222154836	3	1.0
Chr4A	224910983	226677182	Chr4A	224876054	226636108	4	1.0
Chr4A	229114346	242431315	Chr4A	229006889	242349466	21	0.999904761904762
Chr4A	328283933	333487928	Chr4A	328949059	334136538	6	0.9995
Chr4A	337968373	349413639	Chr4A	338596687	349896704	23	0.9998695652173912
Chr4A	351426691	353020297	Chr4A	352030850	353624652	4	1.0
Chr4A	355676988	358739297	Chr4A	356262522	359304616	6	0.9996666666666668
Chr4A	361169426	364704441	Chr4A	361735122	365291205	5	1.0
Chr4A	372955440	386206032	Chr4A	375160468	388375016	15	0.9996666666666668
Chr4A	388345576	389986218	Chr4A	390497390	392115112	3	1.0
Chr4A	394095303	397542408	Chr4A	396224708	399667876	6	1.0
Chr4A	399782828	400323386	Chr4A	401887312	402438444	3	0.999
Chr4A	406605144	419576751	Chr4A	408684897	421566806	17	0.999470588235294
Chr4A	421807811	507495678	Chr4A	423791182	509020623	418	0.9981411483253588
Chr4A	509609425	641040255	Chr4A	511131635	645642976	1462	0.9971155950752392
Chr4A	664152825	668520634	Chr4A	666944078	672403311	34	0.9905588235294118
Chr4A	688562054	691306039	Chr4A	696369829	699133266	18	0.9995555555555556
Chr4A	703035301	705536953	Chr4A	712065923	714526464	18	0.9994444444444446
