gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	Kariega_tgt_strand	Kariega_tgt_midpoint	Kariega_coverage	Kariega_identity	segment
gene:TraesCS3B03G0000300	Chr3B	73825	74249	-	74037	Chr3B	1436298	1436722	-	1436510	1.0	0.997	collinear
gene:TraesCS3B03G0000600	Chr3B	239266	241105	+	240185	Chr3B	1603345	1605200	+	1604272	0.995	0.971	collinear
gene:TraesCS3B03G0000700	Chr3B	244156	244849	+	244502	Chr3B	1608240	1608933	+	1608586	1.0	0.989	collinear
gene:TraesCS3B03G0000800	Chr3B	246094	246695	-	246394	Chr3B	1610166	1610707	-	1610436	0.965	0.936	collinear
gene:TraesCS3B03G0000900	Chr3B	268852	271443	-	270147	Chr3B	1641500	1644064	-	1642782	0.976	0.948	collinear
gene:TraesCS3B03G0001400	Chr3B	424653	427478	-	426065	Chr3B	1735607	1738379	+	1736993	0.964	0.931	collinear
gene:TraesCS3B03G0002300	Chr3B	613726	615867	+	614796	Chr3B	1792886	1795071	+	1793978	0.986	0.958	collinear
gene:TraesCS3B03G0002800	Chr3B	855999	856555	+	856277	Chr3B	1942636	1943201	+	1942918	0.994	0.949	collinear
gene:TraesCS3B03G0004000	Chr3B	1309880	1313738	-	1311809	Chr3B	2555449	2559365	-	2557407	0.981	0.941	collinear
gene:TraesCS3B03G0004300	Chr3B	1602640	1607005	+	1604822	Chr3B	2801864	2806230	+	2804047	0.994	0.991	collinear
gene:TraesCS3B03G0004400	Chr3B	1638604	1641896	-	1640250	Chr3B	2884256	2887534	-	2885895	1.0	0.996	collinear
gene:TraesCS3B03G0004600	Chr3B	1708407	1711540	-	1709973	Chr3B	2956924	2960057	-	2958490	1.0	0.997	collinear
gene:TraesCS3B03G0004800	Chr3B	1754066	1758349	-	1756207	Chr3B	3002075	3006358	-	3004216	1.0	0.999	collinear
gene:TraesCS3B03G0004900	Chr3B	1761903	1763502	+	1762702	Chr3B	3009806	3011356	+	3010581	0.988	0.984	collinear
gene:TraesCS3B03G0005100	Chr3B	2229591	2231019	+	2230305	Chr3B	3461328	3462746	+	3462037	0.993	0.988	collinear
gene:TraesCS3B03G0005200	Chr3B	2238754	2241107	-	2239930	Chr3B	3478030	3480271	-	3479150	0.983	0.961	collinear
gene:TraesCS3B03G0005300	Chr3B	2251630	2253405	-	2252517	Chr3B	3491003	3492803	-	3491903	1.0	0.974	collinear
gene:TraesCS3B03G0005500	Chr3B	2264941	2267104	-	2266022	Chr3B	3702769	3704960	+	3703864	1.0	0.987	collinear
gene:TraesCS3B03G0005600	Chr3B	2279997	2282921	-	2281459	Chr3B	3680502	3683388	+	3681945	0.992	0.989	collinear
gene:TraesCS3B03G0005700	Chr3B	2296800	2299629	-	2298214	Chr3B	3651533	3654360	+	3652946	1.0	0.995	collinear
gene:TraesCS3B03G0005800	Chr3B	2305509	2308573	-	2307041	Chr3B	3642527	3645590	+	3644058	1.0	0.998	collinear
gene:TraesCS3B03G0006100	Chr3B	2390285	2392680	-	2391482	Chr3B	3566245	3568640	+	3567442	1.0	0.998	collinear
gene:TraesCS3B03G0006200	Chr3B	2400732	2403083	-	2401907	Chr3B	3555810	3558191	+	3557000	1.0	0.99	collinear
gene:TraesCS3B03G0006400	Chr3B	2414282	2422889	+	2418585	Chr3B	3540257	3548744	-	3544500	0.997	0.993	collinear
gene:TraesCS3B03G0006500	Chr3B	2431101	2434170	+	2432635	Chr3B	3527896	3530960	-	3529428	1.0	0.996	collinear
gene:TraesCS3B03G0006600	Chr3B	2442622	2445483	+	2444052	Chr3B	3516403	3519231	-	3517817	0.995	0.987	collinear
gene:TraesCS3B03G0006700	Chr3B	2457176	2459341	+	2458258	Chr3B	3502531	3504722	-	3503626	1.0	0.989	collinear
gene:TraesCS3B03G0006900	Chr3B	2470221	2472506	+	2471363	Chr3B	3716074	3718339	+	3717206	1.0	0.984	collinear
gene:TraesCS3B03G0007000	Chr3B	2478261	2480528	+	2479394	Chr3B	3724759	3727013	+	3725886	0.993	0.986	collinear
gene:TraesCS3B03G0007300	Chr3B	2530871	2532375	+	2531623	Chr3B	3781361	3783254	+	3782307	0.917	0.902	collinear
gene:TraesCS3B03G0007400	Chr3B	2539959	2542446	+	2541202	Chr3B	3792395	3794870	+	3793632	0.993	0.99	collinear
gene:TraesCS3B03G0007600	Chr3B	2550258	2551285	-	2550771	Chr3B	3802694	3803724	-	3803209	1.0	0.998	collinear
gene:TraesCS3B03G0007900	Chr3B	2607986	2611253	+	2609619	Chr3B	3863529	3866796	+	3865162	1.0	0.994	collinear
gene:TraesCS3B03G0008000	Chr3B	2618273	2621910	+	2620091	Chr3B	3873886	3877524	+	3875705	0.999	0.996	collinear
gene:TraesCS3B03G0008200	Chr3B	2625685	2627229	+	2626457	Chr3B	3886012	3887544	+	3886778	0.988	0.977	collinear
gene:TraesCS3B03G0008300	Chr3B	2637952	2639202	+	2638577	Chr3B	3889881	3891118	+	3890499	0.988	0.977	collinear
