gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	Kariega_tgt_strand	Kariega_tgt_midpoint	Kariega_coverage	Kariega_identity
gene:TraesCS4B03G0000300	Chr4B	232361	233964	-	233162	Chr4B	264414	265980	-	265197	0.958	0.921
gene:TraesCS4B03G0000400	Chr4B	234311	235908	-	235109	Chr4B	266327	267924	-	267125	1.0	0.997
gene:TraesCS4B03G0000500	Chr4B	630437	634424	+	632430	Chr4B	695826	699813	+	697819	1.0	0.999
gene:TraesCS4B03G0000600	Chr4B	635301	639416	-	637358	Chr4B	700690	704579	-	702634	0.915	0.915
gene:TraesCS4B03G0000700	Chr4B	689726	690943	+	690334	Chr4B	754855	756069	+	755462	0.985	0.97
gene:TraesCS4B03G0000900	Chr4B	691894	697186	-	694540	Chr4B	757491	762831	-	760161	1.0	0.986
gene:TraesCS4B03G0001100	Chr4B	707693	710911	+	709302	Chr4B	773637	776871	+	775254	0.999	0.989
gene:TraesCS4B03G0001400	Chr4B	754576	755193	+	754884	Chr4B	808006	808635	+	808320	1.0	0.973
gene:TraesCS4B03G0001500	Chr4B	816760	817386	-	817073	Chr4B	858013	858639	-	858326	1.0	0.992
gene:TraesCS4B03G0001700	Chr4B	849504	850496	-	850000	Chr4B	889930	890946	-	890438	1.0	0.974
gene:TraesCS4B03G0001800	Chr4B	871710	872102	+	871906	Chr4B	911763	912152	+	911957	0.992	0.969
gene:TraesCS4B03G0001900	Chr4B	895192	896810	+	896001	Chr4B	935222	936846	+	936034	1.0	0.972
gene:TraesCS4B03G0002000	Chr4B	895341	896708	-	896024	Chr4B	935371	936744	-	936057	1.0	0.966
gene:TraesCS4B03G0002100	Chr4B	902508	905787	+	904147	Chr4B	950896	954177	+	952536	1.0	0.994
gene:TraesCS4B03G0002200	Chr4B	1124957	1126970	+	1125963	Chr4B	1150764	1152729	+	1151746	0.975	0.973
gene:TraesCS4B03G0002400	Chr4B	1138844	1139764	+	1139304	Chr4B	1164599	1165519	+	1165059	1.0	0.996
