cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr6D	5281507	5687218	Chr6D	2981451	3386454	8	0.995625
Chr6D	6087318	7049401	Chr6D	1552626	2549972	20	0.993
Chr6D	7433051	7753575	Chr6D	893018	1213699	12	0.9981666666666666
Chr6D	52671	5223403	Chr6D	3444697	7832421	101	0.9924554455445543
Chr6D	8269291	27630303	Chr6D	7919067	28204978	373	0.9997640750670242
Chr6D	32741204	38579793	Chr6D	33278076	41078893	93	0.9996236559139785
Chr6D	41537060	46120294	Chr6D	44053588	48710560	67	0.9990746268656717
Chr6D	49876700	56759409	Chr6D	55519210	63504597	59	0.9985762711864408
Chr6D	64544097	186375773	Chr6D	71937348	193849853	948	0.9992647679324895
Chr6D	188380630	235958205	Chr6D	195848113	243878171	72	0.9996944444444443
Chr6D	238222872	248745870	Chr6D	247084713	257567293	15	0.9993333333333333
Chr6D	253451229	261093398	Chr6D	262258391	269896119	12	0.9999166666666667
Chr6D	263489417	302615547	Chr6D	272319080	313167814	144	0.9989444444444445
Chr6D	304859324	436495956	Chr6D	315407991	446882714	1033	0.9996427879961278
Chr6D	439160889	495303957	Chr6D	449541655	507175661	930	0.9963763440860214
