cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr7B	347847291	350196935	Chr7B	369103486	371451379	5	0.9994
Chr7B	343118388	344172727	Chr7B	356653162	357692769	5	1.0
Chr7B	352166805	361784297	Chr7B	346877791	356444343	11	0.9996363636363637
Chr7B	34602	183070778	Chr7B	668116	184280968	1350	0.996625925925926
Chr7B	185568431	293144785	Chr7B	186714663	293719167	410	0.9983341463414634
Chr7B	295582888	308002245	Chr7B	296137491	309568477	19	0.9996842105263157
Chr7B	313703932	321770729	Chr7B	320750153	328766690	16	0.9998750000000001
Chr7B	327149605	342648507	Chr7B	329824840	346594896	33	0.9997575757575758
Chr7B	362128535	393308791	Chr7B	361834261	398100669	135	0.9987481481481483
Chr7B	396179589	410599513	Chr7B	400967736	414991677	52	0.9998076923076924
Chr7B	413179671	423778078	Chr7B	417568365	428131778	45	0.9995555555555556
Chr7B	425791676	545780843	Chr7B	430122901	551481508	768	0.9974700520833334
Chr7B	547795684	669327579	Chr7B	553465788	672336715	809	0.9932237330037081
Chr7B	671515577	677201063	Chr7B	672753948	680642229	37	0.9985135135135135
Chr7B	680057317	746921310	Chr7B	680891188	750220039	576	0.9877239583333335
Chr7B	750635743	763847696	Chr7B	751345238	767722100	106	0.9819339622641509
Chr7B	677847538	678441682	Chr7B	675643782	676338206	7	0.9991428571428571
Chr7B	679329826	679703918	Chr7B	674236252	674646739	6	1.0
Chr7B	699123173	700110976	Chr7B	708586181	709572617	7	0.9998571428571429
Chr7B	708195751	708822218	Chr7B	701772189	703086198	5	0.9806000000000001
