cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr3A	28273	2010649	Chr3A	937421	3122494	26	0.987576923076923
Chr3A	7195620	140281429	Chr3A	3368514	136913358	1368	0.9962368421052632
Chr3A	142385461	192745740	Chr3A	139012877	188905891	216	0.998449074074074
Chr3A	195861474	263087799	Chr3A	192008060	259912221	205	0.9994146341463416
Chr3A	270762150	278734659	Chr3A	267502524	275517585	12	0.9978333333333332
Chr3A	280899243	284486197	Chr3A	277685282	281211461	5	0.9994
Chr3A	286968946	294756278	Chr3A	283708950	291469187	7	0.9998571428571428
Chr3A	300173801	305236714	Chr3A	297560444	302572824	6	0.9991666666666666
Chr3A	307569651	328087198	Chr3A	304912377	325364004	26	0.9996153846153848
Chr3A	331805909	349096037	Chr3A	332578218	349774569	30	0.9990333333333332
Chr3A	351562540	354510700	Chr3A	352173691	355107810	8	0.9995
Chr3A	357146906	360275758	Chr3A	357741554	360864012	6	0.9998333333333336
Chr3A	362401176	442214264	Chr3A	362967592	442557841	256	0.99922265625
Chr3A	444412531	448002761	Chr3A	444605617	448169966	18	0.997777777777778
Chr3A	450125808	733370952	Chr3A	450251877	739952524	2531	0.9970003951007508
Chr3A	742913722	745069361	Chr3A	749546471	751716023	27	0.9937777777777776
Chr3A	750517494	754027567	Chr3A	757148498	759455076	34	0.984029411764706
