gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	Kariega_tgt_strand	Kariega_tgt_midpoint	Kariega_coverage	Kariega_identity
gene:TraesCS1B03G0000100	Chr1B	167368	172879	-	170123	Chr1B	177114	182625	-	179869	1.0	1.0
gene:TraesCS1B03G0000200	Chr1B	455175	461656	-	458415	Chr1B	458228	464718	-	461473	1.0	1.0
gene:TraesCS1B03G0000800	Chr1B	705806	707489	+	706647	Chr1B	702974	704657	+	703815	1.0	1.0
gene:TraesCS1B03G0000900	Chr1B	715446	720451	-	717948	Chr1B	712614	717619	-	715116	1.0	1.0
gene:TraesCS1B03G0001300	Chr1B	874691	877709	-	876200	Chr1B	871896	874914	-	873405	1.0	1.0
gene:TraesCS1B03G0001600	Chr1B	1190948	1191943	+	1191445	Chr1B	1187869	1188864	+	1188366	1.0	1.0
gene:TraesCS1B03G0001900	Chr1B	1193433	1195230	+	1194331	Chr1B	1190369	1192166	+	1191267	1.0	1.0
gene:TraesCS1B03G0002000	Chr1B	1195555	1199187	-	1197371	Chr1B	1192491	1196123	-	1194307	1.0	1.0
gene:TraesCS1B03G0002100	Chr1B	1200778	1204863	-	1202820	Chr1B	1197724	1201828	-	1199776	1.0	1.0
gene:TraesCS1B03G0002200	Chr1B	1237000	1244167	+	1240583	Chr1B	1233966	1241097	+	1237531	0.992	0.992
gene:TraesCS1B03G0002400	Chr1B	1247087	1248968	+	1248027	Chr1B	1244017	1245882	+	1244949	1.0	1.0
gene:TraesCS1B03G0002500	Chr1B	1254021	1254909	-	1254465	Chr1B	1250898	1251786	-	1251342	1.0	0.998
gene:TraesCS1B03G0002700	Chr1B	1268212	1281120	-	1274666	Chr1B	1265088	1278002	-	1271545	1.0	1.0
gene:TraesCS1B03G0003000	Chr1B	1404047	1406431	+	1405239	Chr1B	1400785	1403269	+	1402027	1.0	0.915
gene:TraesCS1B03G0003100	Chr1B	1407228	1410094	-	1408661	Chr1B	1404066	1406932	-	1405499	1.0	0.998
gene:TraesCS1B03G0003200	Chr1B	1411477	1414749	-	1413113	Chr1B	1408316	1411442	-	1409879	1.0	1.0
gene:TraesCS1B03G0003300	Chr1B	1417992	1424275	-	1421133	Chr1B	1414732	1420973	-	1417852	0.993	0.991
gene:TraesCS1B03G0003400	Chr1B	1457859	1460957	+	1459408	Chr1B	1470940	1474050	+	1472495	0.998	0.977
gene:TraesCS1B03G0003800	Chr1B	1509827	1521650	-	1515738	Chr1B	1695195	1706654	-	1700924	0.992	0.969
gene:TraesCS1B03G0005300	Chr1B	1804328	1805251	-	1804789	Chr1B	3382083	3383008	+	3382545	1.0	0.968
gene:TraesCS1B03G0005500	Chr1B	1812059	1815337	-	1813698	Chr1B	6328478	6331743	+	6330110	0.996	0.979
gene:TraesCS1B03G0008600	Chr1B	2380688	2383732	-	2382210	Chr1B	2269622	2272666	-	2271144	1.0	0.998
gene:TraesCS1B03G0008700	Chr1B	2563615	2566164	-	2564889	Chr1B	2452518	2455067	-	2453792	1.0	1.0
gene:TraesCS1B03G0008800	Chr1B	2661258	2662527	+	2661892	Chr1B	2832452	2833721	+	2833086	1.0	1.0
gene:TraesCS1B03G0008900	Chr1B	2661462	2662433	+	2661947	Chr1B	2832656	2833627	+	2833141	1.0	1.0
gene:TraesCS1B03G0009300	Chr1B	2730283	2733041	-	2731662	Chr1B	2692816	2695576	-	2694196	1.0	0.998
gene:TraesCS1B03G0009600	Chr1B	2791203	2792803	-	2792003	Chr1B	2766970	2768570	-	2767770	1.0	1.0
gene:TraesCS1B03G0009700	Chr1B	2931085	2935423	-	2933254	Chr1B	2967492	2971836	-	2969664	1.0	0.998
gene:TraesCS1B03G0009800	Chr1B	3094767	3097318	+	3096042	Chr1B	3149316	3151867	+	3150591	1.0	0.999
gene:TraesCS1B03G0010200	Chr1B	3246952	3249237	+	3248094	Chr1B	3275297	3277582	+	3276439	1.0	0.999
gene:TraesCS1B03G0010300	Chr1B	3343692	3346966	+	3345329	Chr1B	3372034	3375308	+	3373671	1.0	0.999
gene:TraesCS1B03G0010900	Chr1B	3370351	3370974	-	3370662	Chr1B	3398694	3399317	-	3399005	1.0	1.0
gene:TraesCS1B03G0011000	Chr1B	3371049	3375777	-	3373413	Chr1B	3399392	3404122	-	3401757	1.0	0.999
gene:TraesCS1B03G0011200	Chr1B	3399421	3412856	+	3406138	Chr1B	3427748	3440877	+	3434312	0.996	0.992
gene:TraesCS1B03G0012500	Chr1B	3769497	3771294	-	3770395	Chr1B	7158734	7160451	+	7159592	1.0	0.987
gene:TraesCS1B03G0013400	Chr1B	4086402	4088303	+	4087352	Chr1B	7242445	7244346	+	7243395	1.0	0.983
gene:TraesCS1B03G0013500	Chr1B	4098786	4101519	+	4100152	Chr1B	7223425	7226007	+	7224716	0.998	0.929
gene:TraesCS1B03G0015600	Chr1B	4508006	4514125	-	4511065	Chr1B	7608668	7615099	-	7611883	1.0	0.999
gene:TraesCS1B03G0015800	Chr1B	4527377	4530535	+	4528956	Chr1B	7635738	7638903	+	7637320	1.0	0.991
gene:TraesCS1B03G0015900	Chr1B	4532575	4540073	-	4536324	Chr1B	7641209	7648589	-	7644899	0.999	0.995
gene:TraesCS1B03G0016300	Chr1B	4938236	4939656	-	4938946	Chr1B	7878933	7880355	-	7879644	0.998	0.927
gene:TraesCS1B03G0017700	Chr1B	5053269	5054727	-	5053998	Chr1B	7424880	7426337	+	7425608	0.997	0.96
gene:TraesCS1B03G0018200	Chr1B	5243086	5249171	-	5246128	Chr1B	7834598	7852572	-	7843585	1.0	0.994
gene:TraesCS1B03G0018400	Chr1B	5269024	5271973	-	5270498	Chr1B	7886422	7889654	-	7888038	1.0	0.946
gene:TraesCS1B03G0019400	Chr1B	5421666	5422574	+	5422120	Chr1B	7952943	7953851	+	7953397	1.0	0.993
gene:TraesCS1B03G0019700	Chr1B	5447750	5448643	-	5448196	Chr1B	8001323	8002216	+	8001769	1.0	0.977
gene:TraesCS1B03G0019800	Chr1B	5459628	5460581	-	5460104	Chr1B	7986595	7987548	+	7987071	1.0	0.98
gene:TraesCS1B03G0019900	Chr1B	5512517	5513581	+	5513049	Chr1B	8140231	8141301	+	8140766	0.983	0.943
gene:TraesCS1B03G0020500	Chr1B	5592386	5593420	+	5592903	Chr1B	8206752	8207747	+	8207249	0.962	0.955
gene:TraesCS1B03G0020600	Chr1B	5597356	5598231	+	5597793	Chr1B	8211681	8212556	+	8212118	1.0	0.998
gene:TraesCS1B03G0020700	Chr1B	5612307	5615571	+	5613939	Chr1B	8217601	8220865	+	8219233	1.0	0.998
gene:TraesCS1B03G0020800	Chr1B	5614684	5615030	-	5614857	Chr1B	8219978	8220324	-	8220151	1.0	1.0
gene:TraesCS1B03G0021000	Chr1B	5630788	5631399	+	5631093	Chr1B	8235477	8236088	+	8235782	1.0	0.991
gene:TraesCS1B03G0021200	Chr1B	5632568	5632786	+	5632677	Chr1B	8237258	8237476	+	8237367	1.0	0.995
gene:TraesCS1B03G0021800	Chr1B	5836360	5836629	-	5836494	Chr1B	8406636	8406905	-	8406770	1.0	0.996
gene:TraesCS1B03G0022400	Chr1B	5964797	5965380	+	5965088	Chr1B	8587581	8588164	+	8587872	1.0	0.991
gene:TraesCS1B03G0023100	Chr1B	6212886	6215721	-	6214303	Chr1B	10326299	10329241	+	10327770	0.988	0.945
gene:TraesCS1B03G0025400	Chr1B	6731747	6734044	+	6732895	Chr1B	9813178	9815475	+	9814326	1.0	0.999
gene:TraesCS1B03G0025500	Chr1B	6735150	6735832	+	6735491	Chr1B	9816581	9817263	+	9816922	1.0	1.0
gene:TraesCS1B03G0025900	Chr1B	6761452	6762683	-	6762067	Chr1B	9842889	9844120	-	9843504	1.0	0.992
gene:TraesCS1B03G0026200	Chr1B	6777069	6777582	+	6777325	Chr1B	9946866	9947380	+	9947123	1.0	0.99
gene:TraesCS1B03G0026300	Chr1B	6790344	6791931	+	6791137	Chr1B	10480742	10482341	-	10481541	1.0	0.994
gene:TraesCS1B03G0027200	Chr1B	6885651	6886706	-	6886178	Chr1B	10141597	10142631	-	10142114	0.98	0.973
gene:TraesCS1B03G0027400	Chr1B	6892910	6894152	-	6893531	Chr1B	10148840	10150080	-	10149460	0.996	0.954
gene:TraesCS1B03G0027500	Chr1B	6905201	6905452	+	6905326	Chr1B	10222938	10223186	+	10223062	0.984	0.913
gene:TraesCS1B03G0027600	Chr1B	6911470	6911771	+	6911620	Chr1B	10258116	10258417	+	10258266	1.0	0.953
gene:TraesCS1B03G0027900	Chr1B	6922415	6926399	+	6924407	Chr1B	10320189	10324145	+	10322167	0.993	0.954
gene:TraesCS1B03G0028200	Chr1B	6933411	6935465	-	6934438	Chr1B	8870993	8873038	+	8872015	0.995	0.915
gene:TraesCS1B03G0028800	Chr1B	7136171	7137713	-	7136942	Chr1B	9961026	9962562	+	9961794	0.986	0.976
gene:TraesCS1B03G0028900	Chr1B	7188725	7190156	-	7189440	Chr1B	10498660	10500091	-	10499375	1.0	0.985
gene:TraesCS1B03G0029300	Chr1B	7473333	7480121	-	7476727	Chr1B	10792902	10799690	-	10796296	1.0	1.0
gene:TraesCS1B03G0029400	Chr1B	7480639	7487573	+	7484106	Chr1B	10800200	10807142	+	10803671	1.0	1.0
gene:TraesCS1B03G0029600	Chr1B	7568099	7569690	-	7568894	Chr1B	10888064	10889655	-	10888859	1.0	0.999
gene:TraesCS1B03G0029700	Chr1B	7583192	7584485	+	7583838	Chr1B	10903157	10904450	+	10903803	1.0	1.0
gene:TraesCS1B03G0030200	Chr1B	7690090	7695144	-	7692617	Chr1B	11010083	11015137	-	11012610	1.0	0.999
gene:TraesCS1B03G0030500	Chr1B	7851867	7852259	+	7852063	Chr1B	11171748	11172140	+	11171944	1.0	1.0
gene:TraesCS1B03G0030900	Chr1B	7968876	7970120	-	7969498	Chr1B	11290736	11291980	-	11291358	1.0	0.997
gene:TraesCS1B03G0031000	Chr1B	7983452	7987365	+	7985408	Chr1B	11305299	11309212	+	11307255	1.0	0.999
gene:TraesCS1B03G0031200	Chr1B	8001434	8001895	-	8001664	Chr1B	11323281	11323742	-	11323511	1.0	1.0
gene:TraesCS1B03G0031300	Chr1B	8012259	8012916	-	8012587	Chr1B	11334106	11334763	-	11334434	1.0	1.0
gene:TraesCS1B03G0031600	Chr1B	8015274	8016638	-	8015956	Chr1B	11337121	11338485	-	11337803	1.0	1.0
gene:TraesCS1B03G0031900	Chr1B	8067883	8068314	-	8068098	Chr1B	11389732	11390163	-	11389947	1.0	1.0
gene:TraesCS1B03G0032000	Chr1B	8072145	8072576	-	8072360	Chr1B	11393994	11394425	-	11394209	1.0	1.0
gene:TraesCS1B03G0032100	Chr1B	8076414	8076845	-	8076629	Chr1B	11398262	11398693	-	11398477	1.0	1.0
gene:TraesCS1B03G0032200	Chr1B	8080100	8080864	-	8080482	Chr1B	11401948	11402712	-	11402330	1.0	1.0
gene:TraesCS1B03G0032300	Chr1B	8132405	8135365	-	8133885	Chr1B	11454259	11457219	-	11455739	1.0	1.0
gene:TraesCS1B03G0032500	Chr1B	8155434	8161680	-	8158557	Chr1B	11478534	11484780	-	11481657	1.0	1.0
gene:TraesCS1B03G0032600	Chr1B	8236364	8237203	-	8236783	Chr1B	11554231	11555070	-	11554650	1.0	1.0
gene:TraesCS1B03G0033500	Chr1B	8425856	8428352	-	8427104	Chr1B	11773964	11776460	-	11775212	1.0	0.995
gene:TraesCS1B03G0033600	Chr1B	8458930	8460461	-	8459695	Chr1B	11807043	11808574	-	11807808	1.0	0.994
gene:TraesCS1B03G0034200	Chr1B	8519980	8527072	+	8523526	Chr1B	11868091	11875183	+	11871637	1.0	0.999
gene:TraesCS1B03G0034400	Chr1B	8592364	8593919	+	8593141	Chr1B	11940494	11942049	+	11941271	1.0	1.0
gene:TraesCS1B03G0034500	Chr1B	8645390	8646951	+	8646170	Chr1B	11993528	11995089	+	11994308	1.0	1.0
gene:TraesCS1B03G0034600	Chr1B	8672509	8677350	-	8674929	Chr1B	12020655	12025506	-	12023080	1.0	1.0
gene:TraesCS1B03G0035000	Chr1B	8710149	8712378	+	8711263	Chr1B	12057011	12059366	+	12058188	1.0	0.978
gene:TraesCS1B03G0035300	Chr1B	8731073	8731747	+	8731410	Chr1B	12078071	12078719	+	12078395	1.0	0.99
gene:TraesCS1B03G0035400	Chr1B	8748973	8750925	+	8749949	Chr1B	12095972	12097924	+	12096948	1.0	0.996
gene:TraesCS1B03G0035700	Chr1B	8775326	8781500	+	8778413	Chr1B	12150252	12156377	+	12153314	0.994	0.968
gene:TraesCS1B03G0035800	Chr1B	8781958	8783322	+	8782640	Chr1B	12156841	12158198	+	12157519	0.991	0.945
gene:TraesCS1B03G0036200	Chr1B	8920793	8921583	-	8921188	Chr1B	12298853	12299589	-	12299221	1.0	0.997
gene:TraesCS1B03G0036300	Chr1B	8936686	8939403	-	8938044	Chr1B	12314657	12317374	-	12316015	1.0	0.997
gene:TraesCS1B03G0036500	Chr1B	9081442	9085624	+	9083533	Chr1B	12327552	12331528	+	12329540	0.944	0.94
gene:TraesCS1B03G0036700	Chr1B	9183329	9184082	+	9183705	Chr1B	12410749	12411502	+	12411125	1.0	0.998
gene:TraesCS1B03G0036800	Chr1B	9188008	9202582	+	9195295	Chr1B	12415429	12429198	+	12422313	0.947	0.946
gene:TraesCS1B03G0036900	Chr1B	9221024	9223309	+	9222166	Chr1B	12447656	12449913	+	12448784	1.0	1.0
gene:TraesCS1B03G0037100	Chr1B	9234708	9235360	-	9235034	Chr1B	12461318	12461970	-	12461644	1.0	1.0
gene:TraesCS1B03G0037200	Chr1B	9239572	9240364	-	9239968	Chr1B	12466182	12466974	-	12466578	1.0	1.0
gene:TraesCS1B03G0037500	Chr1B	9294962	9297935	-	9296448	Chr1B	12530714	12533687	-	12532200	1.0	1.0
gene:TraesCS1B03G0037600	Chr1B	9340006	9342523	-	9341264	Chr1B	12575884	12578401	-	12577142	1.0	1.0
gene:TraesCS1B03G0038000	Chr1B	9375472	9376307	-	9375889	Chr1B	12611348	12612183	-	12611765	1.0	1.0
gene:TraesCS1B03G0038200	Chr1B	9386698	9389358	-	9388028	Chr1B	12622577	12625237	-	12623907	1.0	0.999
gene:TraesCS1B03G0038300	Chr1B	9435993	9438264	-	9437128	Chr1B	12671948	12674219	-	12673083	1.0	1.0
gene:TraesCS1B03G0038400	Chr1B	9439821	9440916	+	9440368	Chr1B	12675776	12676871	+	12676323	1.0	1.0
gene:TraesCS1B03G0038600	Chr1B	9468567	9470728	+	9469647	Chr1B	12704534	12706695	+	12705614	1.0	1.0
gene:TraesCS1B03G0038700	Chr1B	9512135	9528525	-	9520330	Chr1B	12748134	12764542	-	12756338	1.0	1.0
gene:TraesCS1B03G0038800	Chr1B	9590685	9594472	-	9592578	Chr1B	12826706	12830493	-	12828599	1.0	1.0
gene:TraesCS1B03G0038900	Chr1B	9596767	9602349	+	9599558	Chr1B	12832819	12838400	+	12835609	0.993	0.993
gene:TraesCS1B03G0039000	Chr1B	9602359	9603587	+	9602973	Chr1B	12838410	12839638	+	12839024	1.0	1.0
gene:TraesCS1B03G0039200	Chr1B	9612378	9613006	-	9612692	Chr1B	12848430	12849058	-	12848744	1.0	1.0
gene:TraesCS1B03G0039600	Chr1B	9683032	9685542	+	9684287	Chr1B	12921930	12924440	+	12923185	1.0	0.999
gene:TraesCS1B03G0040000	Chr1B	9779917	9781098	-	9780507	Chr1B	13018807	13019988	-	13019397	1.0	1.0
gene:TraesCS1B03G0040100	Chr1B	9782826	9784767	+	9783796	Chr1B	13021695	13023636	+	13022665	1.0	1.0
gene:TraesCS1B03G0040200	Chr1B	9789359	9790975	+	9790167	Chr1B	13028232	13029848	+	13029040	1.0	1.0
gene:TraesCS1B03G0040300	Chr1B	9800870	9801743	+	9801306	Chr1B	13039743	13040616	+	13040179	1.0	1.0
gene:TraesCS1B03G0040400	Chr1B	9931905	9932833	-	9932369	Chr1B	13170837	13171765	-	13171301	1.0	1.0
gene:TraesCS1B03G0040500	Chr1B	9946473	9947669	+	9947071	Chr1B	13185408	13186604	+	13186006	1.0	1.0
gene:TraesCS1B03G0040600	Chr1B	10006721	10011436	+	10009078	Chr1B	13244897	13249612	+	13247254	1.0	0.998
gene:TraesCS1B03G0041000	Chr1B	10062709	10067524	-	10065116	Chr1B	13300812	13305622	-	13303217	0.998	0.993
gene:TraesCS1B03G0041100	Chr1B	10070699	10086054	-	10078376	Chr1B	13308061	13323424	-	13315742	1.0	1.0
gene:TraesCS1B03G0041200	Chr1B	10093955	10096755	+	10095355	Chr1B	13331325	13334125	+	13332725	1.0	0.999
gene:TraesCS1B03G0041500	Chr1B	10107955	10111696	-	10109825	Chr1B	13345325	13349066	-	13347195	1.0	1.0
gene:TraesCS1B03G0041400	Chr1B	10107549	10114755	+	10111152	Chr1B	13344919	13352125	+	13348522	1.0	0.999
gene:TraesCS1B03G0041800	Chr1B	10161526	10163430	+	10162478	Chr1B	13398919	13400823	+	13399871	1.0	1.0
gene:TraesCS1B03G0042000	Chr1B	10204289	10205548	-	10204918	Chr1B	13441679	13442922	-	13442300	0.987	0.955
gene:TraesCS1B03G0042200	Chr1B	10223793	10225081	-	10224437	Chr1B	13458128	13459424	-	13458776	1.0	0.988
gene:TraesCS1B03G0042300	Chr1B	10227066	10228079	-	10227572	Chr1B	13461421	13462434	-	13461927	1.0	1.0
gene:TraesCS1B03G0042400	Chr1B	10232241	10236228	-	10234234	Chr1B	13466589	13470576	-	13468582	1.0	1.0
gene:TraesCS1B03G0042600	Chr1B	10349836	10356359	+	10353097	Chr1B	13578825	13585348	+	13582086	1.0	1.0
gene:TraesCS1B03G0042700	Chr1B	10357323	10358121	+	10357722	Chr1B	13586312	13587110	+	13586711	1.0	1.0
gene:TraesCS1B03G0042800	Chr1B	10385166	10387322	+	10386244	Chr1B	13614156	13616312	+	13615234	1.0	0.999
