cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr2B	31439	131021009	Chr2B	486682	143371760	1381	0.9939471397538016
Chr2B	137271666	211003478	Chr2B	144530175	217566427	562	0.9955427046263344
Chr2B	213718220	248272484	Chr2B	217668570	252447484	206	0.9968883495145632
Chr2B	250482935	283157104	Chr2B	254904112	287753710	143	0.999195804195804
Chr2B	285496966	304609294	Chr2B	290087542	317557568	29	0.9993448275862068
Chr2B	307417042	331681179	Chr2B	309243454	336194029	31	0.9999032258064516
Chr2B	333809245	346552298	Chr2B	338467844	351296881	21	0.999904761904762
Chr2B	348999066	355740303	Chr2B	353741664	360411664	8	0.999625
Chr2B	360072831	363706950	Chr2B	364095071	370553873	5	1.0
Chr2B	365734406	812719815	Chr2B	372475894	817676880	3223	0.9941895749301892
