gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	Kariega_tgt_strand	Kariega_tgt_midpoint	Kariega_coverage	Kariega_identity
gene:TraesCS6B03G0000500	Chr6B	137372	140150	-	138761	Chr6B	212729	215509	-	214119	0.993	0.974
gene:TraesCS6B03G0000700	Chr6B	140235	142046	-	141140	Chr6B	215594	217477	-	216535	0.995	0.934
gene:TraesCS6B03G0001400	Chr6B	303846	304801	+	304323	Chr6B	2335001	2335956	+	2335478	1.0	0.949
gene:TraesCS6B03G0002600	Chr6B	800270	802828	-	801549	Chr6B	975452	978010	-	976731	1.0	0.988
gene:TraesCS6B03G0002700	Chr6B	858141	859548	+	858844	Chr6B	1038380	1039782	+	1039081	1.0	0.915
gene:TraesCS6B03G0003800	Chr6B	1126724	1127689	-	1127206	Chr6B	1453676	1454639	+	1454157	0.997	0.904
gene:TraesCS6B03G0004800	Chr6B	1449770	1452891	-	1451330	Chr6B	1112574	1115933	+	1114253	0.999	0.962
gene:TraesCS6B03G0005700	Chr6B	1553584	1555369	-	1554476	Chr6B	779802	781576	-	780689	0.993	0.989
gene:TraesCS6B03G0006600	Chr6B	1918826	1930684	+	1924755	Chr6B	1759554	1771380	+	1765467	1.0	0.992
gene:TraesCS6B03G0006900	Chr6B	1960140	1964803	+	1962471	Chr6B	1800858	1805487	+	1803172	0.999	0.995
gene:TraesCS6B03G0007000	Chr6B	2097695	2158332	-	2128013	Chr6B	1938436	1999286	-	1968861	1.0	0.999
gene:TraesCS6B03G0007100	Chr6B	2163047	2165544	-	2164295	Chr6B	2004026	2006523	-	2005274	1.0	0.999
gene:TraesCS6B03G0007200	Chr6B	2258074	2311692	-	2284883	Chr6B	2145376	2205842	-	2175609	1.0	0.999
gene:TraesCS6B03G0007500	Chr6B	2396042	2397882	+	2396962	Chr6B	2270337	2272177	+	2271257	1.0	0.997
gene:TraesCS6B03G0011500	Chr6B	4061981	4062939	+	4062460	Chr6B	2370786	2371741	+	2371263	1.0	0.948
gene:TraesCS6B03G0011600	Chr6B	4066472	4067398	+	4066935	Chr6B	2381151	2382072	+	2381611	1.0	0.983
gene:TraesCS6B03G0011900	Chr6B	4074231	4078635	-	4076433	Chr6B	2385632	2390043	-	2387837	1.0	0.998
gene:TraesCS6B03G0012000	Chr6B	4088101	4092324	+	4090212	Chr6B	2399324	2403550	+	2401437	1.0	0.995
gene:TraesCS6B03G0012100	Chr6B	4094308	4095305	-	4094806	Chr6B	2405526	2406515	-	2406020	0.99	0.947
gene:TraesCS6B03G0012200	Chr6B	4101789	4102203	+	4101996	Chr6B	2412986	2413400	+	2413193	1.0	1.0
gene:TraesCS6B03G0012400	Chr6B	4125013	4125984	+	4125498	Chr6B	2462710	2463684	+	2463197	0.995	0.948
gene:TraesCS6B03G0013100	Chr6B	4365827	4370767	+	4368297	Chr6B	2700865	2705615	+	2703240	0.998	0.991
gene:TraesCS6B03G0013400	Chr6B	4391416	4398100	+	4394758	Chr6B	2725892	2732576	+	2729234	1.0	0.999
gene:TraesCS6B03G0013500	Chr6B	4404062	4404739	+	4404400	Chr6B	2738539	2739216	+	2738877	1.0	0.997
gene:TraesCS6B03G0013700	Chr6B	4413195	4419297	+	4416246	Chr6B	2763270	2769375	+	2766322	1.0	0.996
gene:TraesCS6B03G0013900	Chr6B	4435732	4443343	-	4439537	Chr6B	2815209	2822809	+	2819009	1.0	0.993
gene:TraesCS6B03G0014800	Chr6B	4784208	4787302	+	4785755	Chr6B	3631221	3633720	-	3632470	1.0	0.979
gene:TraesCS6B03G0015900	Chr6B	4988145	4990408	+	4989276	Chr6B	3005325	3007261	+	3006293	0.996	0.948
gene:TraesCS6B03G0016500	Chr6B	5031400	5035651	-	5033525	Chr6B	3184966	3189195	-	3187080	0.972	0.939
gene:TraesCS6B03G0016600	Chr6B	5267504	5271857	+	5269680	Chr6B	3398303	3402688	+	3400495	0.996	0.98
gene:TraesCS6B03G0016900	Chr6B	5275373	5277237	+	5276305	Chr6B	3406074	3407883	+	3406978	0.959	0.937
gene:TraesCS6B03G0017400	Chr6B	5286921	5287880	-	5287400	Chr6B	3527379	3528338	-	3527858	1.0	0.971
gene:TraesCS6B03G0018500	Chr6B	5432365	5434175	-	5433270	Chr6B	3717485	3719246	-	3718365	0.998	0.916
gene:TraesCS6B03G0019300	Chr6B	5639201	5640067	-	5639634	Chr6B	3756785	3757651	-	3757218	1.0	0.997
gene:TraesCS6B03G0019700	Chr6B	6077589	6087397	-	6082493	Chr6B	4329198	4339145	-	4334171	0.994	0.967
gene:TraesCS6B03G0019800	Chr6B	6099288	6099791	+	6099539	Chr6B	4351067	4351570	+	4351318	1.0	0.971
gene:TraesCS6B03G0019900	Chr6B	6111305	6111814	+	6111559	Chr6B	4310033	4310542	-	4310287	1.0	0.968
gene:TraesCS6B03G0020300	Chr6B	6173873	6174172	-	6174022	Chr6B	4562778	4563078	-	4562928	1.0	0.996
gene:TraesCS6B03G0021800	Chr6B	6396832	6398301	+	6397566	Chr6B	4657553	4659022	+	4658287	1.0	0.972
gene:TraesCS6B03G0021900	Chr6B	6533377	6534963	-	6534170	Chr6B	4783551	4785137	-	4784344	1.0	0.996
gene:TraesCS6B03G0022100	Chr6B	6622598	6625061	+	6623829	Chr6B	5128588	5131053	+	5129820	1.0	0.996
gene:TraesCS6B03G0022200	Chr6B	6626180	6626836	+	6626508	Chr6B	5132172	5132828	+	5132500	1.0	1.0
gene:TraesCS6B03G0022300	Chr6B	6626882	6627442	+	6627162	Chr6B	5132874	5133434	+	5133154	1.0	0.996
gene:TraesCS6B03G0022400	Chr6B	6653253	6656792	-	6655022	Chr6B	5158135	5161991	-	5160063	1.0	0.999
gene:TraesCS6B03G0022600	Chr6B	6902577	6904805	+	6903691	Chr6B	5405988	5408270	+	5407129	1.0	0.985
gene:TraesCS6B03G0022700	Chr6B	6911203	6914974	+	6913088	Chr6B	5414668	5418439	+	5416553	1.0	0.997
gene:TraesCS6B03G0022800	Chr6B	6919273	6921999	+	6920636	Chr6B	5422739	5425465	+	5424102	1.0	0.983
gene:TraesCS6B03G0022900	Chr6B	6924085	6926402	+	6925243	Chr6B	5459527	5467191	+	5463359	0.953	0.927
gene:TraesCS6B03G0023000	Chr6B	6936001	6937452	+	6936726	Chr6B	5477219	5478671	+	5477945	1.0	0.986
gene:TraesCS6B03G0023300	Chr6B	7061530	7064275	-	7062902	Chr6B	5830784	5833585	-	5832184	0.983	0.936
gene:TraesCS6B03G0023500	Chr6B	7089330	7090701	-	7090015	Chr6B	5935123	5936493	-	5935808	0.997	0.974
gene:TraesCS6B03G0023900	Chr6B	7115022	7120828	-	7117925	Chr6B	5941016	5946803	-	5943909	0.999	0.993
gene:TraesCS6B03G0024000	Chr6B	7164686	7167146	-	7165916	Chr6B	5433123	5435583	+	5434353	0.999	0.973
gene:TraesCS6B03G0024300	Chr6B	7232910	7239589	+	7236249	Chr6B	6066875	6073529	+	6070202	0.991	0.985
gene:TraesCS6B03G0024600	Chr6B	7405188	7405569	+	7405378	Chr6B	6272332	6272713	+	6272522	1.0	1.0
gene:TraesCS6B03G0024700	Chr6B	7407123	7412012	+	7409567	Chr6B	6274264	6279223	+	6276743	1.0	0.96
gene:TraesCS6B03G0024800	Chr6B	7432566	7436828	+	7434697	Chr6B	6300062	6304390	+	6302226	0.995	0.959
gene:TraesCS6B03G0024900	Chr6B	7497813	7501390	+	7499601	Chr6B	6396775	6400213	+	6398494	0.995	0.951
gene:TraesCS6B03G0025000	Chr6B	7523590	7525907	-	7524748	Chr6B	6421440	6423738	-	6422589	0.999	0.965
gene:TraesCS6B03G0025400	Chr6B	7696523	7697623	-	7697073	Chr6B	6452250	6453347	-	6452798	0.987	0.909
gene:TraesCS6B03G0025700	Chr6B	7728916	7729548	-	7729232	Chr6B	6528442	6529088	-	6528765	0.998	0.916
gene:TraesCS6B03G0025800	Chr6B	7743786	7748627	+	7746206	Chr6B	6684909	6690052	+	6687480	0.989	0.927
gene:TraesCS6B03G0026300	Chr6B	8097787	8103181	-	8100484	Chr6B	6904697	6909939	+	6907318	0.99	0.951
gene:TraesCS6B03G0027300	Chr6B	9653692	9654627	-	9654159	Chr6B	8085579	8086514	-	8086046	1.0	0.994
gene:TraesCS6B03G0027900	Chr6B	9741098	9747771	-	9744434	Chr6B	8126906	8133579	-	8130242	1.0	0.997
gene:TraesCS6B03G0028000	Chr6B	9849485	9853509	-	9851497	Chr6B	8232949	8236969	-	8234959	0.997	0.997
gene:TraesCS6B03G0028100	Chr6B	9926549	9932499	-	9929524	Chr6B	8325917	8331868	-	8328892	1.0	1.0
