cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr3D	163980	21019663	Chr3D	4660463	27105343	371	0.9933530997304582
Chr3D	27161509	33389752	Chr3D	39215973	46305652	103	0.9930679611650486
Chr3D	45500604	116955327	Chr3D	56539354	132056235	605	0.9992809917355371
Chr3D	119094314	145655212	Chr3D	134186328	160771825	160	0.9997375000000002
Chr3D	147725835	194192900	Chr3D	162882796	209973015	262	0.9996068702290076
Chr3D	197544325	200969144	Chr3D	213315795	216736285	5	0.9998000000000001
Chr3D	203187169	203224239	Chr3D	219245343	219281395	4	1.0
Chr3D	207531742	214535149	Chr3D	223544612	230538669	11	0.999909090909091
Chr3D	216957444	220088873	Chr3D	232939112	236050821	6	0.9996666666666667
Chr3D	226016244	232933791	Chr3D	242175757	249077210	13	0.9996923076923078
Chr3D	235055553	258632836	Chr3D	251169825	274721774	42	0.9997142857142859
Chr3D	260879965	492833467	Chr3D	276965504	508411741	1666	0.9994117647058823
Chr3D	495347019	571894878	Chr3D	511406489	588085218	876	0.9992545662100456
Chr3D	574320863	619489515	Chr3D	588229927	633161356	706	0.9963201133144477
