gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	Kariega_tgt_strand	Kariega_tgt_midpoint	Kariega_coverage	Kariega_identity	segment
gene:TraesCS6A03G0074100	Chr6A	18367636	18369493	+	18368564	Chr6A	93312	95165	+	94238	0.997	0.98	rearrangement:Chr6A_block1
gene:TraesCS6A03G0074200	Chr6A	18383605	18385464	-	18384534	Chr6A	110244	112103	-	111173	1.0	0.984	rearrangement:Chr6A_block1
gene:TraesCS6A03G0074300	Chr6A	18395679	18397506	-	18396592	Chr6A	140115	141942	-	141028	1.0	0.988	rearrangement:Chr6A_block1
gene:TraesCS6A03G0074400	Chr6A	18408212	18410046	-	18409129	Chr6A	166973	168807	-	167890	1.0	0.949	rearrangement:Chr6A_block1
gene:TraesCS6A03G0074500	Chr6A	18417436	18419388	-	18418412	Chr6A	176159	178126	-	177142	0.999	0.97	rearrangement:Chr6A_block1
gene:TraesCS6A03G0074800	Chr6A	18452129	18453349	-	18452739	Chr6A	225139	226340	-	225739	0.984	0.95	rearrangement:Chr6A_block1
gene:TraesCS6A03G0074900	Chr6A	18457418	18458178	-	18457798	Chr6A	229958	230718	-	230338	1.0	0.966	rearrangement:Chr6A_block1
gene:TraesCS6A03G0075000	Chr6A	18460845	18462495	-	18461670	Chr6A	231645	233286	-	232465	0.994	0.964	rearrangement:Chr6A_block1
gene:TraesCS6A03G0075100	Chr6A	18465397	18469320	-	18467358	Chr6A	386807	390723	-	388765	0.995	0.951	rearrangement:Chr6A_block1
gene:TraesCS6A03G0075200	Chr6A	18470560	18471619	+	18471089	Chr6A	391946	393016	+	392481	0.997	0.958	rearrangement:Chr6A_block1
gene:TraesCS6A03G0075300	Chr6A	18476962	18479289	+	18478125	Chr6A	397623	399948	+	398785	0.999	0.985	rearrangement:Chr6A_block1
gene:TraesCS6A03G0075400	Chr6A	18539909	18541087	+	18540498	Chr6A	503421	504598	+	504009	0.999	0.974	rearrangement:Chr6A_block1
gene:TraesCS6A03G0075700	Chr6A	18570787	18582227	-	18576507	Chr6A	525927	537477	-	531702	0.997	0.988	rearrangement:Chr6A_block1
gene:TraesCS6A03G0075800	Chr6A	18601478	18602342	-	18601910	Chr6A	557723	558614	-	558168	0.998	0.931	rearrangement:Chr6A_block1
