cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr6B	138761	109698670	Chr6B	214119	110234203	1050	0.9941057142857145
Chr6B	112200748	114854793	Chr6B	112744396	115406998	7	0.9995714285714286
Chr6B	117445277	246426312	Chr6B	120553363	249981915	747	0.9939718875502007
Chr6B	249274084	259111612	Chr6B	252939519	262653825	29	0.9977931034482759
Chr6B	261263057	268713242	Chr6B	264798922	272488684	30	0.9927333333333334
Chr6B	303430601	306833186	Chr6B	307192764	310601459	20	0.9956999999999999
Chr6B	348550830	349949438	Chr6B	353674335	355042308	5	0.9942
Chr6B	378204009	381551074	Chr6B	381382824	384733605	5	0.998
Chr6B	410641112	432650099	Chr6B	416860635	438625831	56	0.9975357142857143
Chr6B	438515907	449326149	Chr6B	439425999	456214219	51	0.9979019607843137
Chr6B	452819490	471560376	Chr6B	459641799	478152778	95	0.9961578947368421
Chr6B	506138441	510736604	Chr6B	511295839	515885119	24	0.999875
Chr6B	554342647	568751525	Chr6B	563074869	577501698	74	0.9985135135135135
Chr6B	572121091	629148387	Chr6B	578320148	636259763	358	0.9956424581005586
Chr6B	631157333	635284956	Chr6B	638455909	642663838	33	0.9955757575757578
Chr6B	638657051	730892061	Chr6B	645162791	737374148	877	0.9898665906499431
