gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	Kariega_tgt_strand	Kariega_tgt_midpoint	Kariega_coverage	Kariega_identity
gene:TraesCS1D03G0000100	Chr1D	20638	21773	+	21205	Chr1D	114740	115875	+	115307	1.0	1.0
gene:TraesCS1D03G0000300	Chr1D	29025	30863	+	29944	Chr1D	123056	124894	+	123975	1.0	1.0
gene:TraesCS1D03G0000400	Chr1D	31231	35151	-	33191	Chr1D	125262	129182	-	127222	1.0	1.0
gene:TraesCS1D03G0000500	Chr1D	35595	39094	-	37344	Chr1D	129626	133115	-	131370	0.993	0.993
gene:TraesCS1D03G0000600	Chr1D	42073	49239	+	45656	Chr1D	136094	143261	+	139677	1.0	1.0
gene:TraesCS1D03G0000800	Chr1D	55880	57669	+	56774	Chr1D	149905	151694	+	150799	1.0	1.0
gene:TraesCS1D03G0001000	Chr1D	62405	66535	+	64470	Chr1D	156431	160551	+	158491	1.0	1.0
gene:TraesCS1D03G0001100	Chr1D	66949	69971	-	68460	Chr1D	160965	163987	-	162476	1.0	1.0
gene:TraesCS1D03G0001300	Chr1D	73080	76040	-	74560	Chr1D	167096	170055	-	168575	1.0	1.0
gene:TraesCS1D03G0001400	Chr1D	78627	81289	-	79958	Chr1D	172642	175304	-	173973	1.0	1.0
gene:TraesCS1D03G0001500	Chr1D	92853	98829	-	95841	Chr1D	186884	192860	-	189872	1.0	1.0
gene:TraesCS1D03G0001600	Chr1D	117511	120788	+	119149	Chr1D	211550	214827	+	213188	1.0	1.0
gene:TraesCS1D03G0001800	Chr1D	171475	183229	-	177352	Chr1D	265553	277330	-	271441	1.0	1.0
gene:TraesCS1D03G0002300	Chr1D	387049	399494	-	393271	Chr1D	480527	492997	-	486762	1.0	1.0
gene:TraesCS1D03G0002400	Chr1D	409650	411707	-	410678	Chr1D	503153	505210	-	504181	1.0	1.0
gene:TraesCS1D03G0002600	Chr1D	418798	422767	-	420782	Chr1D	512301	516270	-	514285	1.0	1.0
gene:TraesCS1D03G0002800	Chr1D	432621	439371	+	435996	Chr1D	526288	533042	+	529665	1.0	0.999
gene:TraesCS1D03G0002900	Chr1D	444052	448470	-	446261	Chr1D	537723	542125	-	539924	0.999	0.997
gene:TraesCS1D03G0003000	Chr1D	454345	457932	+	456138	Chr1D	582844	584365	+	583604	0.938	0.935
