cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr6A	119203	165560133	Chr6A	2350546	163105666	1421	0.9925932441942293
Chr6A	169123596	174751019	Chr6A	166647143	172298028	30	0.9996000000000002
Chr6A	177010402	237636332	Chr6A	174555442	234710169	204	0.9992500000000001
Chr6A	243810148	244731119	Chr6A	240865328	241781634	3	1.0
Chr6A	251103689	255370132	Chr6A	248199948	252459602	8	1.0
Chr6A	257566273	264313435	Chr6A	254662817	261390990	22	0.9998181818181819
Chr6A	266482395	275860435	Chr6A	263560067	273066046	22	0.9998636363636364
Chr6A	278883582	290338890	Chr6A	276773457	288114116	15	0.9997333333333334
Chr6A	293863739	319731587	Chr6A	291526637	318306805	28	0.9997142857142858
Chr6A	323819925	326827584	Chr6A	322379967	325347278	8	0.9995
Chr6A	328915123	332571498	Chr6A	327429090	331077929	6	1.0
Chr6A	334687288	346665213	Chr6A	333201935	345122787	16	0.9996875000000001
Chr6A	349035941	349057392	Chr6A	347496720	347518171	3	1.0
Chr6A	354380382	355885891	Chr6A	352842398	354344587	4	0.9977499999999999
Chr6A	357954045	528717530	Chr6A	356396762	526302028	865	0.9990947976878612
Chr6A	531116343	622584375	Chr6A	528698523	623795751	1139	0.9937682177348551
