cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr1B	170123	31339892	Chr1B	179869	36840844	396	0.9916010101010102
Chr1B	34045861	38402288	Chr1B	38195618	43442547	29	0.9936206896551724
Chr1B	40611674	81974218	Chr1B	44664550	85751450	275	0.993138181818182
Chr1B	87855277	91210816	Chr1B	90833840	94190148	12	0.9994999999999999
Chr1B	93460686	130136259	Chr1B	96485431	133043084	215	0.9982976744186047
Chr1B	215530056	220931742	Chr1B	215659558	221079133	10	0.9993000000000001
Chr1B	226868456	237708948	Chr1B	227396609	238254686	15	0.9998666666666666
Chr1B	243006512	243418522	Chr1B	244507260	244903700	4	1.0
Chr1B	246841035	249142619	Chr1B	250207401	252484168	6	1.0
Chr1B	251958660	272283175	Chr1B	258531464	279308823	50	0.99914
Chr1B	274419536	296088628	Chr1B	281431843	303028123	79	0.9983797468354431
Chr1B	298738700	298817103	Chr1B	305618950	305697233	5	0.99
Chr1B	301350787	321051730	Chr1B	308169889	331401902	71	0.9886056338028172
Chr1B	323314284	324212763	Chr1B	334320121	335394014	9	0.962111111111111
Chr1B	328166615	700379038	Chr1B	336003210	707282290	2785	0.9952818671454218
