cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr1A	1143626	1570743	Chr1A	565520	1091561	9	0.9675555555555556
Chr1A	3929438	5186362	Chr1A	3996262	5225185	31	0.9889354838709679
Chr1A	1964673	2579955	Chr1A	2925259	3344617	8	0.9821249999999999
Chr1A	5709839	161541694	Chr1A	6547669	169882970	1103	0.9956264732547598
Chr1A	163678239	179426534	Chr1A	172055529	187800819	31	0.9993548387096775
Chr1A	181647298	184244993	Chr1A	190139673	192713972	6	0.9971666666666666
Chr1A	187212146	195578524	Chr1A	195685507	204040966	11	0.9998181818181819
Chr1A	202719482	204217307	Chr1A	211221559	212716615	5	0.9987999999999999
Chr1A	206439950	211446295	Chr1A	214935526	219919123	8	0.999625
Chr1A	214015968	411777219	Chr1A	222417591	423568224	918	0.9963278867102396
Chr1A	413826758	422384517	Chr1A	425939319	434647311	24	0.9965
Chr1A	425019660	549266979	Chr1A	436456633	559900002	1238	0.9948772213247172
Chr1A	558437962	564786015	Chr1A	570876759	577665894	81	0.9936790123456792
Chr1A	575760323	598556974	Chr1A	586550291	613540002	313	0.9951022364217252
Chr1A	549620859	558290638	Chr1A	577319536	586268429	151	0.995615894039735
