gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	Kariega_tgt_strand	Kariega_tgt_midpoint	Kariega_coverage	Kariega_identity	segment
gene:TraesCS1A03G0007900	Chr1A	1963897	1965450	+	1964673	Chr1A	2924483	2926036	+	2925259	1.0	0.981	collinear
gene:TraesCS1A03G0008100	Chr1A	2058764	2060237	-	2059500	Chr1A	3009538	3011011	-	3010274	1.0	0.991	collinear
gene:TraesCS1A03G0008200	Chr1A	2058764	2060237	-	2059500	Chr1A	3009538	3011011	-	3010274	1.0	0.991	collinear
gene:TraesCS1A03G0008600	Chr1A	2058909	2060171	-	2059540	Chr1A	3009683	3010945	-	3010314	1.0	0.99	collinear
gene:TraesCS1A03G0008400	Chr1A	2058909	2060171	-	2059540	Chr1A	3009683	3010945	-	3010314	1.0	0.99	collinear
gene:TraesCS1A03G0008500	Chr1A	2058909	2060171	-	2059540	Chr1A	3009683	3010945	-	3010314	1.0	0.99	collinear
gene:TraesCS1A03G0008300	Chr1A	2058909	2060171	-	2059540	Chr1A	3009683	3010945	-	3010314	1.0	0.99	collinear
gene:TraesCS1A03G0009200	Chr1A	2579251	2580660	+	2579955	Chr1A	3343913	3345321	+	3344617	0.999	0.934	collinear
gene:TraesCS1A03G0022500	Chr1A	5708688	5710991	+	5709839	Chr1A	6546514	6548825	+	6547669	1.0	0.986	collinear
gene:TraesCS1A03G0023500	Chr1A	5849114	5850676	+	5849895	Chr1A	6668613	6670179	+	6669396	1.0	0.989	collinear
gene:TraesCS1A03G0023600	Chr1A	5856277	5858141	+	5857209	Chr1A	6673843	6675706	+	6674774	0.999	0.997	collinear
gene:TraesCS1A03G0023800	Chr1A	6068357	6073773	-	6071065	Chr1A	6885507	6890923	-	6888215	1.0	0.999	collinear
gene:TraesCS1A03G0023900	Chr1A	6173623	6173880	+	6173751	Chr1A	6990438	6990695	+	6990566	1.0	1.0	collinear
gene:TraesCS1A03G0024000	Chr1A	6191836	6194323	-	6193079	Chr1A	7008651	7011138	-	7009894	1.0	1.0	collinear
gene:TraesCS1A03G0024300	Chr1A	6273767	6275702	+	6274734	Chr1A	7090587	7092522	+	7091554	1.0	1.0	collinear
gene:TraesCS1A03G0024500	Chr1A	6665657	6669742	+	6667699	Chr1A	7452376	7456461	+	7454418	1.0	1.0	collinear
gene:TraesCS1A03G0024700	Chr1A	6690823	6691371	+	6691097	Chr1A	8994291	8994839	+	8994565	1.0	0.956	collinear
gene:TraesCS1A03G0024800	Chr1A	6691708	6697915	-	6694811	Chr1A	7461587	7467527	-	7464557	0.945	0.945	collinear
gene:TraesCS1A03G0024900	Chr1A	6711203	6717422	-	6714312	Chr1A	7480772	7486991	-	7483881	1.0	1.0	collinear
gene:TraesCS1A03G0025200	Chr1A	6834075	6839374	-	6836724	Chr1A	7597088	7602387	-	7599737	1.0	0.998	collinear
gene:TraesCS1A03G0025600	Chr1A	7060292	7063576	+	7061934	Chr1A	7821970	7825254	+	7823612	1.0	1.0	collinear
gene:TraesCS1A03G0026100	Chr1A	7196234	7200940	-	7198587	Chr1A	7957913	7962619	-	7960266	1.0	1.0	collinear
gene:TraesCS1A03G0026200	Chr1A	7211036	7211731	-	7211383	Chr1A	7972716	7973411	-	7973063	1.0	1.0	collinear
gene:TraesCS1A03G0027200	Chr1A	7339396	7346788	+	7343092	Chr1A	8101012	8108158	+	8104585	0.933	0.909	collinear
gene:TraesCS1A03G0027300	Chr1A	7411483	7411740	-	7411611	Chr1A	8172851	8173108	-	8172979	1.0	1.0	collinear
gene:TraesCS1A03G0027400	Chr1A	7481566	7482483	-	7482024	Chr1A	8242377	8243294	-	8242835	1.0	1.0	collinear
gene:TraesCS1A03G0027600	Chr1A	7505485	7511901	+	7508693	Chr1A	8266073	8272262	+	8269167	1.0	0.999	collinear
gene:TraesCS1A03G0027700	Chr1A	7519840	7524507	+	7522173	Chr1A	8280200	8284867	+	8282533	1.0	0.999	collinear
gene:TraesCS1A03G0027800	Chr1A	7524129	7533614	-	7528871	Chr1A	8284489	8293970	-	8289229	1.0	0.998	collinear
gene:TraesCS1A03G0027900	Chr1A	7609720	7611140	-	7610430	Chr1A	8372018	8373372	-	8372695	0.953	0.947	collinear
gene:TraesCS1A03G0028000	Chr1A	7625934	7626749	-	7626341	Chr1A	8988790	8989312	-	8989051	0.96	0.947	collinear
gene:TraesCS1A03G0028300	Chr1A	7705071	7705988	+	7705529	Chr1A	9361500	9362408	+	9361954	0.986	0.972	collinear
gene:TraesCS1A03G0028500	Chr1A	7877764	7878655	+	7878209	Chr1A	9384200	9385087	+	9384643	0.979	0.948	collinear
gene:TraesCS1A03G0029000	Chr1A	7970519	7971449	-	7970984	Chr1A	9426886	9427816	-	9427351	1.0	0.994	collinear
gene:TraesCS1A03G0029300	Chr1A	8076711	8080232	-	8078471	Chr1A	9512319	9515840	-	9514079	1.0	0.997	collinear
gene:TraesCS1A03G0029400	Chr1A	8081207	8081419	-	8081313	Chr1A	9516816	9517028	-	9516922	1.0	1.0	collinear
gene:TraesCS1A03G0029600	Chr1A	8089436	8089945	-	8089690	Chr1A	9531996	9532505	-	9532250	1.0	0.996	collinear
gene:TraesCS1A03G0029700	Chr1A	8104538	8109509	+	8107023	Chr1A	9539932	9544742	+	9542337	0.993	0.934	collinear
gene:TraesCS1A03G0029800	Chr1A	8233277	8236766	-	8235021	Chr1A	9651537	9655019	-	9653278	0.993	0.971	collinear
gene:TraesCS1A03G0029900	Chr1A	8249137	8252647	-	8250892	Chr1A	9667171	9670682	-	9668926	1.0	0.997	collinear
gene:TraesCS1A03G0030000	Chr1A	8263670	8265615	-	8264642	Chr1A	9681468	9683413	-	9682440	1.0	1.0	collinear
gene:TraesCS1A03G0031000	Chr1A	8448758	8449502	-	8449130	Chr1A	9861010	9861754	-	9861382	1.0	1.0	collinear
gene:TraesCS1A03G0031200	Chr1A	8456694	8457124	-	8456909	Chr1A	9868943	9869373	-	9869158	1.0	1.0	collinear
gene:TraesCS1A03G0031300	Chr1A	8457959	8463291	-	8460625	Chr1A	9870208	9875558	-	9872883	1.0	1.0	collinear
gene:TraesCS1A03G0031500	Chr1A	8526026	8532786	+	8529406	Chr1A	9938213	9944973	+	9941593	1.0	1.0	collinear
gene:TraesCS1A03G0031600	Chr1A	8533323	8534333	+	8533828	Chr1A	9945510	9946520	+	9946015	1.0	1.0	collinear
gene:TraesCS1A03G0031900	Chr1A	8575612	8576836	-	8576224	Chr1A	9979063	9980287	-	9979675	1.0	0.997	collinear
gene:TraesCS1A03G0032000	Chr1A	8616326	8617328	+	8616827	Chr1A	10002507	10003509	+	10003008	1.0	0.995	collinear
gene:TraesCS1A03G0032100	Chr1A	8618386	8621059	+	8619722	Chr1A	10004607	10007368	+	10005987	1.0	0.995	collinear
gene:TraesCS1A03G0032200	Chr1A	8623361	8635717	+	8629539	Chr1A	10009823	10024238	+	10017030	0.999	0.997	collinear
gene:TraesCS1A03G0032400	Chr1A	8652783	8653352	+	8653067	Chr1A	10041074	10041643	+	10041358	1.0	0.998	collinear
gene:TraesCS1A03G0032500	Chr1A	8656184	8666852	+	8661518	Chr1A	10044366	10055514	+	10049940	1.0	0.995	collinear
gene:TraesCS1A03G0033100	Chr1A	8862666	8862860	-	8862763	Chr1A	10220713	10220907	-	10220810	1.0	1.0	collinear
gene:TraesCS1A03G0033200	Chr1A	8866181	8866776	-	8866478	Chr1A	10224245	10224842	-	10224543	1.0	1.0	collinear
gene:TraesCS1A03G0033300	Chr1A	8875965	8876255	+	8876110	Chr1A	10235466	10235756	+	10235611	1.0	0.993	collinear
gene:TraesCS1A03G0033600	Chr1A	8981643	8982502	+	8982072	Chr1A	10284066	10284933	+	10284499	0.998	0.984	collinear
gene:TraesCS1A03G0033900	Chr1A	8996174	9008804	-	9002489	Chr1A	10469846	10482290	-	10476068	1.0	0.996	collinear
gene:TraesCS1A03G0034000	Chr1A	9014494	9016070	-	9015282	Chr1A	10486243	10487822	-	10487032	1.0	0.996	collinear
gene:TraesCS1A03G0034100	Chr1A	9023921	9024508	-	9024214	Chr1A	10504897	10505480	-	10505188	0.991	0.973	collinear
gene:TraesCS1A03G0034600	Chr1A	9149837	9152212	+	9151024	Chr1A	10580459	10582834	+	10581646	1.0	0.981	collinear
gene:TraesCS1A03G0034700	Chr1A	9169077	9169745	+	9169411	Chr1A	10600751	10601419	+	10601085	1.0	1.0	collinear
gene:TraesCS1A03G0034800	Chr1A	9173491	9176022	+	9174756	Chr1A	10605165	10607696	+	10606430	1.0	1.0	collinear
gene:TraesCS1A03G0035100	Chr1A	9295766	9296089	+	9295927	Chr1A	10726232	10726555	+	10726393	1.0	1.0	collinear
gene:TraesCS1A03G0035200	Chr1A	9301181	9301960	+	9301570	Chr1A	10731647	10732426	+	10732036	1.0	1.0	collinear
gene:TraesCS1A03G0036100	Chr1A	9480719	9483259	-	9481989	Chr1A	10924034	10926574	-	10925304	1.0	1.0	collinear
gene:TraesCS1A03G0036200	Chr1A	9496105	9498615	-	9497360	Chr1A	10939010	10941520	-	10940265	1.0	1.0	collinear
gene:TraesCS1A03G0036900	Chr1A	9577016	9578170	-	9577593	Chr1A	11045926	11047079	-	11046502	1.0	1.0	collinear
gene:TraesCS1A03G0037000	Chr1A	9578228	9583585	-	9580906	Chr1A	11047137	11052506	-	11049821	1.0	0.999	collinear
gene:TraesCS1A03G0037100	Chr1A	9585976	9590029	+	9588002	Chr1A	11054897	11058950	+	11056923	1.0	1.0	collinear
gene:TraesCS1A03G0037300	Chr1A	9602925	9605100	-	9604012	Chr1A	11072132	11074307	-	11073219	1.0	0.999	collinear
gene:TraesCS1A03G0037500	Chr1A	9630108	9631642	-	9630875	Chr1A	11098902	11100439	-	11099670	1.0	0.989	collinear
gene:TraesCS1A03G0037600	Chr1A	9634267	9636102	+	9635184	Chr1A	11103091	11104926	+	11104008	1.0	0.993	collinear
gene:TraesCS1A03G0037700	Chr1A	9650321	9652002	+	9651161	Chr1A	11127084	11128765	+	11127924	1.0	0.997	collinear
gene:TraesCS1A03G0037900	Chr1A	9664474	9668558	+	9666516	Chr1A	11140509	11144592	+	11142550	1.0	0.997	collinear
gene:TraesCS1A03G0038100	Chr1A	9670581	9673361	+	9671971	Chr1A	11146615	11149395	+	11148005	1.0	0.999	collinear
gene:TraesCS1A03G0038300	Chr1A	9680666	9683489	+	9682077	Chr1A	11156700	11159523	+	11158111	1.0	0.997	collinear
gene:TraesCS1A03G0038700	Chr1A	9949251	9953276	-	9951263	Chr1A	11482219	11486244	-	11484231	1.0	0.997	collinear
gene:TraesCS1A03G0038800	Chr1A	9965439	9971270	-	9968354	Chr1A	11498383	11504201	-	11501292	0.997	0.995	collinear
gene:TraesCS1A03G0038900	Chr1A	10001491	10006436	+	10003963	Chr1A	11534705	11539332	+	11537018	1.0	0.989	collinear
gene:TraesCS1A03G0039100	Chr1A	10051524	10055292	-	10053408	Chr1A	11954838	11958606	-	11956722	1.0	1.0	collinear
gene:TraesCS1A03G0039200	Chr1A	10068509	10068733	+	10068621	Chr1A	11971819	11972043	+	11971931	1.0	1.0	collinear
gene:TraesCS1A03G0039300	Chr1A	10424358	10427431	+	10425894	Chr1A	12321225	12324298	+	12322761	1.0	1.0	collinear
gene:TraesCS1A03G0039400	Chr1A	10437621	10438698	-	10438159	Chr1A	12338064	12339141	-	12338602	1.0	1.0	collinear
gene:TraesCS1A03G0039500	Chr1A	10439448	10445246	-	10442347	Chr1A	12339890	12345719	-	12342804	1.0	0.997	collinear
gene:TraesCS1A03G0039600	Chr1A	10453750	10457809	+	10455779	Chr1A	12354424	12358095	+	12356259	0.92	0.918	collinear
gene:TraesCS1A03G0039700	Chr1A	10460531	10460698	+	10460614	Chr1A	12361082	12361249	+	12361165	1.0	1.0	collinear
gene:TraesCS1A03G0039800	Chr1A	10461606	10464101	-	10462853	Chr1A	12362157	12364652	-	12363404	1.0	1.0	collinear
gene:TraesCS1A03G0040000	Chr1A	10490914	10491929	+	10491421	Chr1A	12500017	12501034	+	12500525	1.0	0.974	collinear
gene:TraesCS1A03G0040400	Chr1A	10564167	10565112	+	10564639	Chr1A	12397249	12398196	+	12397722	1.0	0.936	collinear
gene:TraesCS1A03G0040900	Chr1A	10602571	10606265	-	10604418	Chr1A	12602991	12606477	-	12604734	1.0	0.983	collinear
gene:TraesCS1A03G0042200	Chr1A	10739686	10745366	-	10742526	Chr1A	12714093	12716757	-	12715425	0.994	0.976	collinear
gene:TraesCS1A03G0043100	Chr1A	10923686	10926635	+	10925160	Chr1A	12765989	12768877	+	12767433	0.993	0.922	collinear
gene:TraesCS1A03G0043200	Chr1A	10931226	10932882	-	10932054	Chr1A	12782852	12784508	-	12783680	1.0	0.982	collinear
gene:TraesCS1A03G0043500	Chr1A	10949253	10953370	-	10951311	Chr1A	12800825	12804326	-	12802575	0.991	0.974	collinear
gene:TraesCS1A03G0043600	Chr1A	10956205	10959149	-	10957677	Chr1A	12805714	12809284	-	12807499	0.989	0.961	collinear
gene:TraesCS1A03G0044000	Chr1A	11011915	11014621	-	11013268	Chr1A	12825951	12828674	-	12827312	0.999	0.966	collinear
gene:TraesCS1A03G0045100	Chr1A	11156810	11158429	-	11157619	Chr1A	13000554	13002170	-	13001362	0.998	0.992	collinear
gene:TraesCS1A03G0045300	Chr1A	11225627	11228111	+	11226869	Chr1A	13090216	13092701	+	13091458	1.0	0.999	collinear
gene:TraesCS1A03G0045500	Chr1A	11308760	11310967	+	11309863	Chr1A	13177423	13179817	+	13178620	1.0	0.997	collinear
gene:TraesCS1A03G0045600	Chr1A	11338411	11342293	+	11340352	Chr1A	13206036	13211332	+	13208684	1.0	0.985	collinear
gene:TraesCS1A03G0045700	Chr1A	11349421	11350443	+	11349932	Chr1A	13220126	13221024	+	13220575	1.0	0.988	collinear
gene:TraesCS1A03G0045900	Chr1A	11363580	11364105	-	11363842	Chr1A	13395025	13395530	+	13395277	0.956	0.914	collinear
gene:TraesCS1A03G0046200	Chr1A	11421349	11427850	-	11424599	Chr1A	13406386	13413002	-	13409694	0.993	0.968	collinear
gene:TraesCS1A03G0046300	Chr1A	11435719	11438817	+	11437268	Chr1A	13420411	13423519	+	13421965	1.0	0.987	collinear
gene:TraesCS1A03G0046500	Chr1A	11439104	11441975	-	11440539	Chr1A	13423806	13426603	-	13425204	0.942	0.929	collinear
gene:TraesCS1A03G0046600	Chr1A	11443246	11454401	+	11448823	Chr1A	13440055	13448015	+	13444035	0.999	0.997	collinear
gene:TraesCS1A03G0046900	Chr1A	11495332	11497221	+	11496276	Chr1A	13515809	13517690	+	13516749	0.999	0.98	collinear
gene:TraesCS1A03G0047100	Chr1A	11501540	11501983	+	11501761	Chr1A	13592343	13592786	+	13592564	1.0	0.975	collinear
gene:TraesCS1A03G0047200	Chr1A	11504567	11504946	+	11504756	Chr1A	13550156	13550536	+	13550346	1.0	0.981	collinear
gene:TraesCS1A03G0047300	Chr1A	11519726	11521384	+	11520555	Chr1A	13781955	13783583	+	13782769	0.98	0.95	collinear
gene:TraesCS1A03G0047400	Chr1A	11524459	11529220	-	11526839	Chr1A	13786781	13791545	-	13789163	1.0	0.994	collinear
gene:TraesCS1A03G0047600	Chr1A	11541507	11542143	+	11541825	Chr1A	13830197	13830833	+	13830515	1.0	0.978	collinear
gene:TraesCS1A03G0048100	Chr1A	11595786	11610084	-	11602935	Chr1A	13873776	13881253	-	13877514	1.0	0.952	collinear
gene:TraesCS1A03G0048800	Chr1A	11790508	11792148	-	11791328	Chr1A	13984171	13985798	-	13984984	0.998	0.966	collinear
gene:TraesCS1A03G0049900	Chr1A	12082077	12082292	+	12082184	Chr1A	14384770	14384985	+	14384877	1.0	0.99	collinear
gene:TraesCS1A03G0050000	Chr1A	12094747	12094989	+	12094868	Chr1A	14390798	14391040	+	14390919	1.0	0.971	collinear
gene:TraesCS1A03G0050100	Chr1A	12100859	12101074	-	12100966	Chr1A	14395484	14395699	-	14395591	1.0	0.99	collinear
gene:TraesCS1A03G0050200	Chr1A	12133347	12135790	+	12134568	Chr1A	14425890	14428334	+	14427112	1.0	0.995	collinear
gene:TraesCS1A03G0050800	Chr1A	12359423	12362655	-	12361039	Chr1A	15536723	15539842	-	15538282	0.936	0.923	collinear
gene:TraesCS1A03G0051900	Chr1A	12616918	12619597	-	12618257	Chr1A	15722504	15725184	-	15723844	1.0	0.992	collinear
gene:TraesCS1A03G0052000	Chr1A	12628142	12629906	+	12629024	Chr1A	15128106	15129870	+	15128988	0.999	0.991	collinear
gene:TraesCS1A03G0052400	Chr1A	12776082	12777463	+	12776772	Chr1A	15277506	15278887	+	15278196	1.0	0.987	collinear
gene:TraesCS1A03G0053300	Chr1A	12939671	12941173	+	12940422	Chr1A	15783856	15785359	+	15784607	1.0	0.99	collinear
gene:TraesCS1A03G0053400	Chr1A	12949198	12957146	+	12953172	Chr1A	15807847	15815782	+	15811814	0.992	0.967	collinear
gene:TraesCS1A03G0053900	Chr1A	13028665	13029764	-	13029214	Chr1A	15842490	15843592	-	15843041	1.0	0.989	collinear
gene:TraesCS1A03G0054100	Chr1A	13046527	13050288	+	13048407	Chr1A	15860419	15864155	+	15862287	0.989	0.986	collinear
gene:TraesCS1A03G0054700	Chr1A	13110955	13112951	-	13111953	Chr1A	15957989	15960144	-	15959066	1.0	0.97	collinear
gene:TraesCS1A03G0054800	Chr1A	13193060	13197008	+	13195034	Chr1A	16015643	16019568	+	16017605	0.996	0.991	collinear
gene:TraesCS1A03G0054900	Chr1A	13200484	13206622	-	13203553	Chr1A	16023045	16028730	-	16025887	1.0	0.994	collinear
gene:TraesCS1A03G0055000	Chr1A	13270380	13272107	+	13271243	Chr1A	16077316	16079043	+	16078179	1.0	0.997	collinear
gene:TraesCS1A03G0055800	Chr1A	13445163	13449063	-	13447113	Chr1A	16202255	16206155	-	16204205	1.0	1.0	collinear
gene:TraesCS1A03G0056400	Chr1A	13531531	13535236	+	13533383	Chr1A	16288650	16292354	+	16290502	1.0	1.0	collinear
gene:TraesCS1A03G0056500	Chr1A	13538184	13540331	+	13539257	Chr1A	16295302	16297451	+	16296376	1.0	0.998	collinear
gene:TraesCS1A03G0056600	Chr1A	13540431	13545694	-	13543062	Chr1A	16297551	16302813	-	16300182	1.0	1.0	collinear
gene:TraesCS1A03G0056700	Chr1A	13551171	13551368	+	13551269	Chr1A	16308044	16308241	+	16308142	1.0	1.0	collinear
gene:TraesCS1A03G0057300	Chr1A	13570933	13571130	+	13571031	Chr1A	16327790	16327987	+	16327888	1.0	1.0	collinear
gene:TraesCS1A03G0057400	Chr1A	13580148	13580345	+	13580246	Chr1A	16337007	16337204	+	16337105	1.0	1.0	collinear
gene:TraesCS1A03G0057500	Chr1A	13583292	13585867	-	13584579	Chr1A	16340151	16342726	-	16341438	1.0	0.999	collinear
gene:TraesCS1A03G0057600	Chr1A	13598375	13603180	-	13600777	Chr1A	16355234	16360039	-	16357636	1.0	0.999	collinear
gene:TraesCS1A03G0057700	Chr1A	13611381	13611578	-	13611479	Chr1A	16368240	16368437	-	16368338	1.0	1.0	collinear
gene:TraesCS1A03G0057900	Chr1A	13625274	13626338	-	13625806	Chr1A	16382314	16383378	-	16382846	1.0	1.0	collinear
gene:TraesCS1A03G0058100	Chr1A	13648044	13656420	-	13652232	Chr1A	16435998	16451020	-	16443509	1.0	0.984	collinear
gene:TraesCS1A03G0059400	Chr1A	13742969	13751080	-	13747024	Chr1A	16641330	16649212	-	16645271	0.932	0.922	collinear
gene:TraesCS1A03G0059500	Chr1A	13752584	13757887	-	13755235	Chr1A	16650708	16655765	-	16653236	0.994	0.95	collinear
gene:TraesCS1A03G0059600	Chr1A	13794443	13796028	+	13795235	Chr1A	16658364	16659960	+	16659162	0.998	0.97	collinear
gene:TraesCS1A03G0059700	Chr1A	13802993	13809219	+	13806106	Chr1A	16663217	16669462	+	16666339	0.998	0.986	collinear
gene:TraesCS1A03G0059900	Chr1A	13810432	13811881	+	13811156	Chr1A	16670673	16672123	+	16671398	1.0	0.988	collinear
gene:TraesCS1A03G0060600	Chr1A	13939627	13944153	+	13941890	Chr1A	16904858	16909383	+	16907120	1.0	0.995	collinear
gene:TraesCS1A03G0061300	Chr1A	14106193	14106459	+	14106326	Chr1A	17861801	17862067	-	17861934	1.0	0.977	collinear
gene:TraesCS1A03G0061400	Chr1A	14121494	14121709	+	14121601	Chr1A	18022532	18022747	-	18022639	1.0	0.981	collinear
