cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr5B	18593	4271020	Chr5B	3097381	8902814	20	0.99985
Chr5B	7027104	150623157	Chr5B	9496183	160331122	925	0.995452972972973
Chr5B	153027140	156551532	Chr5B	162696218	168245088	8	0.9984999999999999
Chr5B	158568371	169148558	Chr5B	170021995	180460013	18	0.9979999999999999
Chr5B	178978447	194129805	Chr5B	183263625	207319940	24	0.9984999999999999
Chr5B	206148489	212852689	Chr5B	216882390	223557162	23	0.9986086956521738
Chr5B	222313523	239465934	Chr5B	238513194	255997369	70	0.9928714285714284
Chr5B	241488361	344742710	Chr5B	257806062	361133225	577	0.9977590987868284
Chr5B	346985936	386215007	Chr5B	363357034	402586179	216	0.9982314814814814
Chr5B	389314561	415604247	Chr5B	402843329	429636175	197	0.9957817258883248
Chr5B	417734794	629647085	Chr5B	430931420	646453767	1997	0.9948958437656484
Chr5B	633917253	714671459	Chr5B	646638976	726230070	986	0.992052738336714
