gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	Kariega_tgt_strand	Kariega_tgt_midpoint	Kariega_coverage	Kariega_identity
gene:TraesCS2B03G0000100	Chr2B	28743	34135	+	31439	Chr2B	483986	489378	+	486682	1.0	1.0
gene:TraesCS2B03G0000200	Chr2B	39467	43757	-	41612	Chr2B	494710	499000	-	496855	1.0	0.999
gene:TraesCS2B03G0000300	Chr2B	99450	99932	-	99691	Chr2B	554698	555180	-	554939	1.0	1.0
gene:TraesCS2B03G0000400	Chr2B	106822	111948	+	109385	Chr2B	562087	567213	+	564650	1.0	1.0
gene:TraesCS2B03G0000700	Chr2B	125470	127186	+	126328	Chr2B	580739	582455	+	581597	1.0	1.0
gene:TraesCS2B03G0000800	Chr2B	129516	134301	-	131908	Chr2B	584785	589570	-	587177	1.0	1.0
gene:TraesCS2B03G0000900	Chr2B	248523	249650	-	249086	Chr2B	704552	705679	-	705115	1.0	1.0
gene:TraesCS2B03G0001000	Chr2B	255128	258501	+	256814	Chr2B	710911	714284	+	712597	1.0	0.999
gene:TraesCS2B03G0001100	Chr2B	277481	281508	+	279494	Chr2B	733114	737141	+	735127	1.0	1.0
gene:TraesCS2B03G0001700	Chr2B	340090	341249	+	340669	Chr2B	756747	757906	+	757326	1.0	1.0
gene:TraesCS2B03G0001900	Chr2B	359414	360259	+	359836	Chr2B	795314	796159	+	795736	1.0	1.0
gene:TraesCS2B03G0002000	Chr2B	374883	385010	+	379946	Chr2B	810745	820876	+	815810	1.0	1.0
gene:TraesCS2B03G0002400	Chr2B	401647	403609	+	402628	Chr2B	837515	839477	+	838496	1.0	1.0
gene:TraesCS2B03G0002500	Chr2B	404319	408371	-	406345	Chr2B	840187	844239	-	842213	1.0	1.0
gene:TraesCS2B03G0002600	Chr2B	410883	413197	+	412040	Chr2B	846751	849067	+	847909	1.0	1.0
gene:TraesCS2B03G0002800	Chr2B	416211	435790	-	426000	Chr2B	852083	871672	-	861877	1.0	1.0
gene:TraesCS2B03G0002900	Chr2B	459671	461718	-	460694	Chr2B	895621	897668	-	896644	1.0	1.0
gene:TraesCS2B03G0003100	Chr2B	463843	465375	-	464609	Chr2B	899793	901325	-	900559	1.0	1.0
gene:TraesCS2B03G0003300	Chr2B	517984	518190	-	518087	Chr2B	953939	954145	-	954042	1.0	1.0
gene:TraesCS2B03G0003600	Chr2B	568597	573759	-	571178	Chr2B	1004546	1009708	-	1007127	1.0	1.0
gene:TraesCS2B03G0004000	Chr2B	587902	591459	-	589680	Chr2B	1023843	1027400	-	1025621	1.0	1.0
gene:TraesCS2B03G0004100	Chr2B	593205	600260	+	596732	Chr2B	1029145	1036199	+	1032672	1.0	1.0
gene:TraesCS2B03G0005000	Chr2B	794419	800602	-	797510	Chr2B	1230588	1236771	-	1233679	1.0	1.0
gene:TraesCS2B03G0005300	Chr2B	815240	815533	-	815386	Chr2B	1251411	1251704	-	1251557	1.0	1.0
gene:TraesCS2B03G0005500	Chr2B	823285	827294	-	825289	Chr2B	1259458	1263467	-	1261462	1.0	1.0
gene:TraesCS2B03G0005700	Chr2B	963404	964372	+	963888	Chr2B	1399442	1400410	+	1399926	1.0	1.0
gene:TraesCS2B03G0005800	Chr2B	976395	977051	+	976723	Chr2B	1412432	1413088	+	1412760	1.0	1.0
gene:TraesCS2B03G0005900	Chr2B	993279	993881	+	993580	Chr2B	1429420	1430022	+	1429721	1.0	1.0
gene:TraesCS2B03G0006000	Chr2B	1002722	1009665	+	1006193	Chr2B	1438863	1445806	+	1442334	1.0	1.0
gene:TraesCS2B03G0006500	Chr2B	1091608	1092561	-	1092084	Chr2B	1527759	1528712	-	1528235	1.0	1.0
gene:TraesCS2B03G0006600	Chr2B	1094148	1094755	-	1094451	Chr2B	1530299	1530906	-	1530602	1.0	1.0
gene:TraesCS2B03G0006800	Chr2B	1102968	1104198	+	1103583	Chr2B	1539125	1540355	+	1539740	1.0	1.0
gene:TraesCS2B03G0006900	Chr2B	1108051	1109094	-	1108572	Chr2B	1544208	1545251	-	1544729	1.0	1.0
gene:TraesCS2B03G0007300	Chr2B	1288909	1292682	-	1290795	Chr2B	1724251	1728024	-	1726137	1.0	1.0
gene:TraesCS2B03G0007800	Chr2B	1510232	1513235	-	1511733	Chr2B	1944006	1947010	-	1945508	1.0	1.0
gene:TraesCS2B03G0007900	Chr2B	1846230	1850991	+	1848610	Chr2B	2287689	2292450	+	2290069	1.0	1.0
gene:TraesCS2B03G0008300	Chr2B	1951546	1953088	-	1952317	Chr2B	2403216	2404758	-	2403987	1.0	1.0
gene:TraesCS2B03G0008500	Chr2B	1958192	1967818	-	1963005	Chr2B	2409870	2419510	-	2414690	1.0	1.0
gene:TraesCS2B03G0008600	Chr2B	2040906	2041766	-	2041336	Chr2B	2492643	2493503	-	2493073	1.0	1.0
gene:TraesCS2B03G0009200	Chr2B	2344071	2344364	+	2344217	Chr2B	2798035	2798328	+	2798181	1.0	1.0
gene:TraesCS2B03G0009700	Chr2B	2520260	2520661	-	2520460	Chr2B	2974239	2974640	-	2974439	1.0	1.0
gene:TraesCS2B03G0009900	Chr2B	2672857	2674541	-	2673699	Chr2B	3126681	3128365	-	3127523	1.0	1.0
gene:TraesCS2B03G0010000	Chr2B	2678638	2681094	-	2679866	Chr2B	3132462	3134918	-	3133690	1.0	1.0
gene:TraesCS2B03G0010300	Chr2B	2698016	2703512	+	2700764	Chr2B	3151838	3157318	+	3154578	1.0	1.0
gene:TraesCS2B03G0010400	Chr2B	2717986	2718723	-	2718354	Chr2B	3171793	3172530	-	3172161	1.0	1.0
gene:TraesCS2B03G0010600	Chr2B	2829446	2831107	+	2830276	Chr2B	3283284	3284945	+	3284114	1.0	1.0
gene:TraesCS2B03G0010700	Chr2B	2843172	2844740	+	2843956	Chr2B	3297008	3298576	+	3297792	1.0	1.0
gene:TraesCS2B03G0010800	Chr2B	2882010	2883720	-	2882865	Chr2B	3336778	3338488	-	3337633	1.0	1.0
gene:TraesCS2B03G0010900	Chr2B	2892074	2894736	+	2893405	Chr2B	3346842	3349504	+	3348173	1.0	1.0
gene:TraesCS2B03G0011000	Chr2B	2916973	2932515	-	2924744	Chr2B	3371741	3387291	-	3379516	1.0	1.0
gene:TraesCS2B03G0011100	Chr2B	2935121	2936823	+	2935972	Chr2B	3389897	3391599	+	3390748	1.0	0.999
gene:TraesCS2B03G0011300	Chr2B	2962930	2963370	+	2963150	Chr2B	3417707	3418147	+	3417927	1.0	1.0
gene:TraesCS2B03G0011700	Chr2B	3194437	3195324	-	3194880	Chr2B	6564608	6565495	-	6565051	1.0	0.99
gene:TraesCS2B03G0011900	Chr2B	3212333	3217189	-	3214761	Chr2B	5317352	5322208	-	5319780	1.0	1.0
gene:TraesCS2B03G0012000	Chr2B	3233211	3235901	+	3234556	Chr2B	5337891	5340581	+	5339236	1.0	1.0
gene:TraesCS2B03G0012100	Chr2B	3287024	3288556	-	3287790	Chr2B	5391723	5393255	-	5392489	1.0	1.0
gene:TraesCS2B03G0012600	Chr2B	3595745	3613268	+	3604506	Chr2B	5698422	5715951	+	5707186	1.0	1.0
gene:TraesCS2B03G0012700	Chr2B	3630724	3631650	-	3631187	Chr2B	5733410	5734336	-	5733873	1.0	1.0
gene:TraesCS2B03G0012800	Chr2B	3632392	3635151	-	3633771	Chr2B	5735078	5737837	-	5736457	1.0	1.0
gene:TraesCS2B03G0012900	Chr2B	3685456	3686983	-	3686219	Chr2B	5788137	5789664	-	5788900	1.0	1.0
gene:TraesCS2B03G0013100	Chr2B	3855432	3862083	+	3858757	Chr2B	5958129	5964788	+	5961458	1.0	1.0
gene:TraesCS2B03G0013300	Chr2B	3877680	3878447	+	3878063	Chr2B	5980429	5981196	+	5980812	1.0	1.0
gene:TraesCS2B03G0013400	Chr2B	3880027	3880452	+	3880239	Chr2B	5982776	5983201	+	5982988	1.0	1.0
gene:TraesCS2B03G0013700	Chr2B	3956480	3957106	-	3956793	Chr2B	6059230	6059856	-	6059543	1.0	1.0
gene:TraesCS2B03G0013900	Chr2B	3959709	3961547	-	3960628	Chr2B	6062459	6064297	-	6063378	1.0	1.0
gene:TraesCS2B03G0014300	Chr2B	4031007	4035278	-	4033142	Chr2B	6133864	6138135	-	6135999	1.0	1.0
gene:TraesCS2B03G0014500	Chr2B	4057416	4065064	-	4061240	Chr2B	6160278	6167928	-	6164103	1.0	1.0
gene:TraesCS2B03G0015000	Chr2B	4111148	4113262	-	4112205	Chr2B	6214022	6216136	-	6215079	1.0	1.0
gene:TraesCS2B03G0015100	Chr2B	4116808	4124611	-	4120709	Chr2B	6219682	6227487	-	6223584	1.0	1.0
gene:TraesCS2B03G0015300	Chr2B	4921039	4922226	-	4921632	Chr2B	7099472	7100659	-	7100065	1.0	0.998
gene:TraesCS2B03G0015400	Chr2B	4921039	4925322	-	4923180	Chr2B	7099472	7103755	-	7101613	1.0	0.998
gene:TraesCS2B03G0016000	Chr2B	5016726	5020169	+	5018447	Chr2B	7394094	7397542	+	7395818	1.0	0.997
gene:TraesCS2B03G0016200	Chr2B	5031749	5033515	-	5032632	Chr2B	7409124	7410890	-	7410007	1.0	1.0
gene:TraesCS2B03G0016300	Chr2B	5034478	5034879	-	5034678	Chr2B	7411853	7412254	-	7412053	1.0	1.0
gene:TraesCS2B03G0016400	Chr2B	5035649	5037309	-	5036479	Chr2B	7414384	7416044	-	7415214	1.0	1.0
gene:TraesCS2B03G0016700	Chr2B	5058158	5060304	+	5059231	Chr2B	7436888	7439034	+	7437961	1.0	0.999
gene:TraesCS2B03G0016900	Chr2B	5071624	5076306	+	5073965	Chr2B	7450358	7455040	+	7452699	1.0	1.0
gene:TraesCS2B03G0017200	Chr2B	5133457	5135141	-	5134299	Chr2B	7512191	7513875	-	7513033	1.0	1.0
gene:TraesCS2B03G0017300	Chr2B	5224896	5229545	+	5227220	Chr2B	7603652	7608305	+	7605978	1.0	0.998
gene:TraesCS2B03G0017500	Chr2B	5236031	5237507	+	5236769	Chr2B	7614754	7616230	+	7615492	1.0	1.0
gene:TraesCS2B03G0017600	Chr2B	5295192	5296900	-	5296046	Chr2B	7673927	7675635	-	7674781	1.0	1.0
gene:TraesCS2B03G0017700	Chr2B	5393429	5393683	+	5393556	Chr2B	7772178	7772432	+	7772305	1.0	1.0
gene:TraesCS2B03G0018100	Chr2B	5448721	5450259	+	5449490	Chr2B	7827497	7829035	+	7828266	1.0	1.0
gene:TraesCS2B03G0018300	Chr2B	5465459	5467015	-	5466237	Chr2B	7844251	7845807	-	7845029	1.0	1.0
gene:TraesCS2B03G0018400	Chr2B	5488231	5490367	+	5489299	Chr2B	7867023	7869159	+	7868091	1.0	1.0
gene:TraesCS2B03G0018500	Chr2B	5500410	5504869	+	5502639	Chr2B	7879205	7883664	+	7881434	1.0	0.999
gene:TraesCS2B03G0018600	Chr2B	5525526	5527171	-	5526348	Chr2B	7904332	7905977	-	7905154	1.0	1.0
gene:TraesCS2B03G0018700	Chr2B	5530391	5532332	+	5531361	Chr2B	7909197	7911138	+	7910167	1.0	1.0
gene:TraesCS2B03G0018800	Chr2B	5613315	5614067	-	5613691	Chr2B	7992177	7992929	-	7992553	1.0	1.0
gene:TraesCS2B03G0018900	Chr2B	5619058	5620657	+	5619857	Chr2B	7997920	7999519	+	7998719	1.0	1.0
gene:TraesCS2B03G0019000	Chr2B	5640833	5641228	+	5641030	Chr2B	8019665	8020060	+	8019862	1.0	1.0
gene:TraesCS2B03G0019100	Chr2B	5644403	5648377	-	5646390	Chr2B	8023235	8027209	-	8025222	1.0	1.0
gene:TraesCS2B03G0019200	Chr2B	5654103	5657492	+	5655797	Chr2B	8032931	8036320	+	8034625	1.0	1.0
gene:TraesCS2B03G0019300	Chr2B	5657715	5659851	-	5658783	Chr2B	8036543	8038679	-	8037611	1.0	1.0
gene:TraesCS2B03G0019800	Chr2B	5722565	5736933	-	5729749	Chr2B	8093284	8107653	-	8100468	1.0	1.0
gene:TraesCS2B03G0019900	Chr2B	5841563	5854226	+	5847894	Chr2B	8211824	8224488	+	8218156	1.0	1.0
gene:TraesCS2B03G0020000	Chr2B	5857938	5873315	-	5865626	Chr2B	8228209	8243512	-	8235860	1.0	1.0
gene:TraesCS2B03G0020600	Chr2B	6113325	6116343	-	6114834	Chr2B	8479928	8482946	-	8481437	1.0	1.0
gene:TraesCS2B03G0021300	Chr2B	6161766	6163667	-	6162716	Chr2B	8527721	8529685	-	8528703	1.0	0.999
gene:TraesCS2B03G0021600	Chr2B	6188607	6190076	-	6189341	Chr2B	8564375	8565844	-	8565109	1.0	1.0
gene:TraesCS2B03G0022100	Chr2B	6245944	6247230	+	6246587	Chr2B	8620996	8622282	+	8621639	1.0	1.0
gene:TraesCS2B03G0022200	Chr2B	6269901	6271154	+	6270527	Chr2B	8644751	8646004	+	8645377	1.0	0.999
gene:TraesCS2B03G0022400	Chr2B	6456104	6457096	-	6456600	Chr2B	8822219	8823211	-	8822715	1.0	1.0
gene:TraesCS2B03G0022500	Chr2B	6468597	6470870	+	6469733	Chr2B	8834709	8836982	+	8835845	1.0	0.998
gene:TraesCS2B03G0022800	Chr2B	6498923	6502372	+	6500647	Chr2B	8865042	8868509	+	8866775	1.0	1.0
gene:TraesCS2B03G0022900	Chr2B	6504862	6505866	-	6505364	Chr2B	8870999	8872003	-	8871501	1.0	1.0
gene:TraesCS2B03G0023000	Chr2B	6532801	6533683	+	6533242	Chr2B	9081352	9082234	+	9081793	1.0	1.0
gene:TraesCS2B03G0023200	Chr2B	6545063	6548072	-	6546567	Chr2B	9093614	9096638	-	9095126	1.0	1.0
gene:TraesCS2B03G0023300	Chr2B	6570795	6571658	+	6571226	Chr2B	9039173	9040036	+	9039604	1.0	0.997
gene:TraesCS2B03G0023700	Chr2B	6627192	6628976	+	6628084	Chr2B	9330244	9332028	+	9331136	1.0	0.999
gene:TraesCS2B03G0023900	Chr2B	6655874	6658393	+	6657133	Chr2B	9358624	9361143	+	9359883	1.0	1.0
gene:TraesCS2B03G0024000	Chr2B	6699896	6701597	+	6700746	Chr2B	9402581	9404282	+	9403431	1.0	1.0
gene:TraesCS2B03G0024200	Chr2B	6713306	6714708	+	6714007	Chr2B	9415991	9417393	+	9416692	1.0	0.999
gene:TraesCS2B03G0024500	Chr2B	6787357	6789121	+	6788239	Chr2B	9480357	9482121	+	9481239	1.0	1.0
gene:TraesCS2B03G0024700	Chr2B	6821447	6822965	-	6822206	Chr2B	9518936	9520454	-	9519695	1.0	1.0
gene:TraesCS2B03G0024800	Chr2B	6835359	6837114	+	6836236	Chr2B	9532883	9534638	+	9533760	1.0	1.0
gene:TraesCS2B03G0025100	Chr2B	6863809	6865292	-	6864550	Chr2B	9561287	9562770	-	9562028	1.0	0.999
gene:TraesCS2B03G0025300	Chr2B	6882347	6883870	+	6883108	Chr2B	9579826	9581349	+	9580587	1.0	0.999
gene:TraesCS2B03G0025500	Chr2B	6886209	6888033	+	6887121	Chr2B	9583432	9585256	+	9584344	1.0	1.0
gene:TraesCS2B03G0025600	Chr2B	6894552	6896489	-	6895520	Chr2B	9591775	9593712	-	9592743	1.0	0.998
gene:TraesCS2B03G0025700	Chr2B	6898563	6903761	-	6901162	Chr2B	9595786	9600984	-	9598385	1.0	1.0
gene:TraesCS2B03G0026100	Chr2B	7188185	7188382	-	7188283	Chr2B	9883915	9884112	-	9884013	1.0	1.0
gene:TraesCS2B03G0026200	Chr2B	7202008	7208867	-	7205437	Chr2B	9897738	9904596	-	9901167	1.0	0.999
gene:TraesCS2B03G0026300	Chr2B	7231414	7238036	-	7234725	Chr2B	9926686	9933308	-	9929997	1.0	1.0
gene:TraesCS2B03G0026600	Chr2B	7342466	7343956	+	7343211	Chr2B	9988555	9990045	+	9989300	1.0	1.0
gene:TraesCS2B03G0026500	Chr2B	7342428	7347675	-	7345051	Chr2B	9988517	9993764	-	9991140	1.0	0.999
gene:TraesCS2B03G0026800	Chr2B	7368058	7373714	+	7370886	Chr2B	10014377	10020033	+	10017205	1.0	1.0
gene:TraesCS2B03G0026900	Chr2B	7374744	7376852	-	7375798	Chr2B	10021063	10023171	-	10022117	1.0	1.0
gene:TraesCS2B03G0027000	Chr2B	7384257	7389466	+	7386861	Chr2B	10030576	10035785	+	10033180	1.0	1.0
gene:TraesCS2B03G0027200	Chr2B	7418327	7421421	+	7419874	Chr2B	10064646	10067740	+	10066193	1.0	1.0
gene:TraesCS2B03G0027300	Chr2B	7423234	7427119	-	7425176	Chr2B	10069553	10073438	-	10071495	1.0	1.0
gene:TraesCS2B03G0027400	Chr2B	7430644	7430993	-	7430818	Chr2B	10076963	10077312	-	10077137	1.0	1.0
gene:TraesCS2B03G0027500	Chr2B	7457794	7474452	+	7466123	Chr2B	10104113	10120768	+	10112440	1.0	1.0
gene:TraesCS2B03G0027600	Chr2B	7480197	7485085	+	7482641	Chr2B	10126518	10131406	+	10128962	1.0	1.0
gene:TraesCS2B03G0027700	Chr2B	7488542	7503846	+	7496194	Chr2B	10134863	10150169	+	10142516	1.0	1.0
gene:TraesCS2B03G0027800	Chr2B	7503853	7505322	-	7504587	Chr2B	10150176	10151645	-	10150910	1.0	1.0
gene:TraesCS2B03G0027900	Chr2B	7523936	7527616	+	7525776	Chr2B	10170276	10173956	+	10172116	1.0	1.0
gene:TraesCS2B03G0028000	Chr2B	7543649	7547126	+	7545387	Chr2B	10189991	10193468	+	10191729	1.0	0.998
gene:TraesCS2B03G0028100	Chr2B	7550450	7550846	-	7550648	Chr2B	10196792	10197188	-	10196990	1.0	1.0
gene:TraesCS2B03G0028300	Chr2B	7608181	7613666	+	7610923	Chr2B	10254586	10260071	+	10257328	1.0	1.0
gene:TraesCS2B03G0028400	Chr2B	7623099	7624529	+	7623814	Chr2B	10269505	10270935	+	10270220	1.0	1.0
gene:TraesCS2B03G0028700	Chr2B	7643082	7646942	+	7645012	Chr2B	10289477	10293337	+	10291407	1.0	0.999
gene:TraesCS2B03G0028900	Chr2B	7658092	7659718	-	7658905	Chr2B	10304483	10306109	-	10305296	1.0	0.995
gene:TraesCS2B03G0029100	Chr2B	7701267	7705799	-	7703533	Chr2B	10320643	10325159	-	10322901	0.949	0.949
gene:TraesCS2B03G0029200	Chr2B	7868819	7869526	+	7869172	Chr2B	10488557	10489264	+	10488910	1.0	1.0
gene:TraesCS2B03G0029300	Chr2B	7872274	7875518	-	7873896	Chr2B	10492012	10495256	-	10493634	1.0	1.0
gene:TraesCS2B03G0029600	Chr2B	7890473	7900384	-	7895428	Chr2B	10510245	10520158	-	10515201	1.0	0.999
gene:TraesCS2B03G0029700	Chr2B	7911010	7912109	+	7911559	Chr2B	10530786	10531885	+	10531335	1.0	1.0
gene:TraesCS2B03G0030200	Chr2B	7977648	7979453	+	7978550	Chr2B	10597473	10599278	+	10598375	1.0	1.0
gene:TraesCS2B03G0030300	Chr2B	8006235	8010811	+	8008523	Chr2B	10626064	10630640	+	10628352	1.0	1.0
gene:TraesCS2B03G0030400	Chr2B	8013387	8018171	-	8015779	Chr2B	10633216	10637952	-	10635584	0.971	0.971
gene:TraesCS2B03G0030500	Chr2B	8021978	8025987	+	8023982	Chr2B	10641765	10645774	+	10643769	1.0	1.0
gene:TraesCS2B03G0030600	Chr2B	8028120	8034668	-	8031394	Chr2B	10647907	10654456	-	10651181	1.0	1.0
gene:TraesCS2B03G0030700	Chr2B	8065103	8066982	-	8066042	Chr2B	10684893	10686772	-	10685832	1.0	1.0
gene:TraesCS2B03G0030800	Chr2B	8082243	8086823	-	8084533	Chr2B	10702033	10706613	-	10704323	1.0	0.998
gene:TraesCS2B03G0030900	Chr2B	8091004	8091576	-	8091290	Chr2B	10710796	10711368	-	10711082	1.0	1.0
