cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr6A	57605	162912229	Chr6A	403970	165412721	1285	0.9808785992217898
Chr6A	166503285	172174207	Chr6A	168946505	174457079	26	0.9911538461538462
Chr6A	174450789	235048251	Chr6A	176676976	236726591	181	0.986878453038674
Chr6A	241266065	242194840	Chr6A	242845535	243683376	3	0.9883333333333333
Chr6A	248542355	252837117	Chr6A	249919092	254183296	8	0.99175
Chr6A	254937051	261705155	Chr6A	256768045	263569250	19	0.9939473684210527
Chr6A	263891514	273262995	Chr6A	265766731	275215818	21	0.9903809523809523
Chr6A	276303162	290261504	Chr6A	278247455	292487260	17	0.9924117647058823
Chr6A	297672165	299317614	Chr6A	299779242	301402630	4	0.9954999999999999
Chr6A	301950261	304350580	Chr6A	304065929	306486810	3	0.9916666666666667
Chr6A	306765278	317154843	Chr6A	308893549	319454585	12	0.9881666666666667
Chr6A	321270304	324290097	Chr6A	323606157	326668187	8	0.97875
Chr6A	326393120	330049812	Chr6A	328831921	332453655	5	0.9884000000000001
Chr6A	334512986	344185082	Chr6A	336781114	346865148	12	0.9848333333333333
Chr6A	346572929	346594380	Chr6A	349278356	349302608	3	0.9913333333333334
Chr6A	355403353	526117584	Chr6A	358167455	529166146	792	0.9916994949494948
Chr6A	528949160	617935753	Chr6A	529198563	620111200	1084	0.9886374538745387
