gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity	segment
gene:TraesCS1A02G131000	Chr1A	171453438	171469888	-	171461663	Chr1A	191724332	191740799	+	191732565	0.997	0.99	rearrangement:Chr1A_block1
gene:TraesCS1A02G131100	Chr1A	171893005	171893388	-	171893196	Chr1A	191315898	191316281	+	191316089	1.0	1.0	rearrangement:Chr1A_block1
gene:TraesCS1A02G131200	Chr1A	172185038	172193682	+	172189360	Chr1A	191003486	191012632	-	191008059	0.999	0.991	rearrangement:Chr1A_block1
gene:TraesCS1A02G131300	Chr1A	173960780	173978959	+	173969869	Chr1A	189227439	189245596	-	189236517	1.0	0.996	rearrangement:Chr1A_block1
gene:TraesCS1A02G131400	Chr1A	174435668	174436685	+	174436176	Chr1A	188765705	188766723	-	188766214	1.0	0.93	rearrangement:Chr1A_block1
gene:TraesCS1A02G131500	Chr1A	175173230	175178988	-	175176109	Chr1A	188029695	188035439	+	188032567	0.993	0.987	rearrangement:Chr1A_block1
gene:TraesCS1A02G000200	Chr1A	70239	89245	+	79742	Chr1A	19803	38669	+	29236	0.939	0.927	collinear
gene:TraesCS1A02G000300	Chr1A	95906	104903	+	100404	Chr1A	45110	54078	+	49594	0.997	0.978	collinear
gene:TraesCS1A02G000400	Chr1A	102794	122504	+	112649	Chr1A	43717	55022	+	49369	0.999	0.956	collinear
gene:TraesCS1A02G000500	Chr1A	149490	154559	-	152024	Chr1A	72712	77781	-	75246	1.0	0.995	collinear
gene:TraesCS1A02G000600	Chr1A	162313	162609	+	162461	Chr1A	85530	85826	+	85678	1.0	0.986	collinear
gene:TraesCS1A02G000700	Chr1A	169592	169969	-	169780	Chr1A	110801	111178	-	110989	1.0	0.992	collinear
gene:TraesCS1A02G000800	Chr1A	180175	180552	-	180363	Chr1A	102494	102871	-	102682	1.0	0.992	collinear
gene:TraesCS1A02G001000	Chr1A	270605	272936	-	271770	Chr1A	341099	343458	+	342278	1.0	0.96	collinear
gene:TraesCS1A02G001300	Chr1A	297266	297652	+	297459	Chr1A	16956	17342	-	17149	1.0	0.989	collinear
gene:TraesCS1A02G001500	Chr1A	326099	326518	+	326308	Chr1A	341459	341878	-	341668	1.0	0.985	collinear
gene:TraesCS1A02G001600	Chr1A	337960	338256	+	338108	Chr1A	5311	5607	-	5459	1.0	0.989	collinear
gene:TraesCS1A02G001800	Chr1A	1144333	1145934	+	1145133	Chr1A	1054566	1056119	+	1055342	0.933	0.909	collinear
gene:TraesCS1A02G001900	Chr1A	1159194	1162830	-	1161012	Chr1A	1069104	1072740	-	1070922	1.0	1.0	collinear
gene:TraesCS1A02G002000	Chr1A	1163485	1167878	-	1165681	Chr1A	1073395	1077788	-	1075591	1.0	1.0	collinear
gene:TraesCS1A02G002100	Chr1A	1170356	1177383	+	1173869	Chr1A	1079874	1086861	+	1083367	0.985	0.982	collinear
gene:TraesCS1A02G002200	Chr1A	1188844	1190864	+	1189854	Chr1A	1098042	1100062	+	1099052	1.0	1.0	collinear
gene:TraesCS1A02G002300	Chr1A	1209721	1212812	-	1211266	Chr1A	1114155	1117245	-	1115700	0.999	0.996	collinear
gene:TraesCS1A02G002400	Chr1A	1228914	1229339	-	1229126	Chr1A	1132524	1132949	-	1132736	1.0	0.995	collinear
