cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr3B	367678075	370214126	Chr3B	391819827	394401255	16	0.9882500000000001
Chr3B	27267791	85340142	Chr3B	33053967	96502697	520	0.9881557692307692
Chr3B	87718232	191189469	Chr3B	99021895	203455467	527	0.9866356736242884
Chr3B	193609697	195100861	Chr3B	205996351	207500513	11	0.9936363636363637
Chr3B	197792489	207735313	Chr3B	210301617	222616736	47	0.990914893617021
Chr3B	213710039	215012163	Chr3B	226779752	227910879	9	0.9814444444444445
Chr3B	219342949	229302852	Chr3B	231153945	241475646	44	0.9877727272727274
Chr3B	235855911	277099960	Chr3B	247650873	289739242	184	0.9879619565217391
Chr3B	283596077	284678121	Chr3B	296551143	297659394	4	0.9884999999999999
Chr3B	292022415	296187942	Chr3B	303780351	308624142	4	0.9924999999999999
Chr3B	299132814	309615956	Chr3B	312073228	325085435	14	0.9856428571428572
Chr3B	312893801	317625373	Chr3B	326731730	333377023	7	0.9857142857142857
Chr3B	322293448	333455847	Chr3B	337999901	349642216	18	0.9873888888888886
Chr3B	335854948	338599491	Chr3B	352224669	355297569	3	0.993
Chr3B	340796436	354954852	Chr3B	357464170	372569604	23	0.989
Chr3B	361751621	364542893	Chr3B	375843802	378578412	6	0.9905
Chr3B	370730101	466686636	Chr3B	386275829	483590983	466	0.9895708154506437
Chr3B	469640104	516001137	Chr3B	487577060	536090325	256	0.9926328124999999
Chr3B	518913010	822217332	Chr3B	539075861	847445403	2415	0.9868666666666667
Chr3B	825290323	830112470	Chr3B	847716737	852626103	51	0.9837058823529412
Chr3B	822668680	824392163	Chr3B	852613715	854355959	32	0.99628125
