cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr3A	43283	128718501	Chr3A	399745	137369571	1253	0.9862593774940143
Chr3A	130835529	181088605	Chr3A	139468756	189251127	196	0.9879132653061223
Chr3A	184214632	235833520	Chr3A	192353425	244464763	167	0.9881497005988025
Chr3A	239958822	251342423	Chr3A	248554065	259860891	18	0.9905555555555554
Chr3A	259064196	266691151	Chr3A	267450132	275182531	10	0.9874
Chr3A	269215500	269659785	Chr3A	277786075	278228466	3	0.9963333333333333
Chr3A	277502362	283103162	Chr3A	286069424	291634466	5	0.9965999999999999
Chr3A	290432064	293589663	Chr3A	298926903	302069170	5	0.9960000000000001
Chr3A	296926899	299560362	Chr3A	305369924	307938719	4	0.9922500000000001
Chr3A	303548410	314620161	Chr3A	311878595	322712860	16	0.9968125
Chr3A	321109384	337881732	Chr3A	328004329	345599565	28	0.99425
Chr3A	340259729	343231466	Chr3A	347988955	350935782	7	0.9938571428571429
Chr3A	345871376	349014829	Chr3A	353581998	356718413	5	0.9984
Chr3A	352872143	528599904	Chr3A	360548273	535173309	821	0.9925127892813642
Chr3A	533994753	545153837	Chr3A	535255403	546453983	70	0.9882857142857142
Chr3A	556260652	750618114	Chr3A	551479790	749680460	1977	0.987318664643399
Chr3A	529774371	530496965	Chr3A	550033605	550773645	8	0.9898750000000001
Chr3A	531078912	532936182	Chr3A	547414888	549430834	23	0.9907391304347826
Chr3A	545257989	555697701	Chr3A	105538697	115853239	70	0.9852142857142856
