gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity	segment
gene:TraesCS1D02G011100	Chr1D	6135823	6138951	+	6137387	Chr1D	2371660	2374788	-	2373224	1.0	1.0	rearrangement:Chr1D_block1
gene:TraesCS1D02G011200	Chr1D	6168877	6203308	+	6186092	Chr1D	2307679	2342053	-	2324866	1.0	1.0	rearrangement:Chr1D_block1
gene:TraesCS1D02G011300	Chr1D	6226393	6241143	+	6233768	Chr1D	2270108	2284549	-	2277328	1.0	1.0	rearrangement:Chr1D_block1
gene:TraesCS1D02G011400	Chr1D	6264619	6268342	-	6266480	Chr1D	2243661	2246945	+	2245303	1.0	0.998	rearrangement:Chr1D_block1
gene:TraesCS1D02G011500	Chr1D	6280456	6281010	-	6280733	Chr1D	2230992	2231546	+	2231269	1.0	1.0	rearrangement:Chr1D_block1
gene:TraesCS1D02G011547	Chr1D	6297476	6298116	-	6297796	Chr1D	2213862	2214502	+	2214182	1.0	1.0	rearrangement:Chr1D_block1
gene:TraesCS1D02G011600	Chr1D	6325402	6328381	-	6326891	Chr1D	2183600	2186579	+	2185089	1.0	1.0	rearrangement:Chr1D_block1
gene:TraesCS1D02G011700	Chr1D	6331893	6345564	-	6338728	Chr1D	2166417	2180088	+	2173252	1.0	0.997	rearrangement:Chr1D_block1
gene:TraesCS1D02G011800	Chr1D	6351524	6353132	-	6352328	Chr1D	2159018	2160626	+	2159822	1.0	1.0	rearrangement:Chr1D_block1
gene:TraesCS1D02G011900	Chr1D	6366655	6367389	-	6367022	Chr1D	2144766	2145500	+	2145133	1.0	1.0	rearrangement:Chr1D_block1
gene:TraesCS1D02G012000	Chr1D	6399253	6400001	-	6399627	Chr1D	2112172	2112920	+	2112546	1.0	0.998	rearrangement:Chr1D_block1
gene:TraesCS1D02G012100	Chr1D	6410934	6411261	-	6411097	Chr1D	2101136	2101463	+	2101299	1.0	1.0	rearrangement:Chr1D_block1
gene:TraesCS1D02G012200	Chr1D	6461577	6463385	-	6462481	Chr1D	2050746	2052553	+	2051649	0.995	0.972	rearrangement:Chr1D_block1
gene:TraesCS1D02G012300	Chr1D	6475182	6477014	+	6476098	Chr1D	2037103	2038935	-	2038019	1.0	1.0	rearrangement:Chr1D_block1
gene:TraesCS1D02G012400	Chr1D	6490085	6491176	-	6490630	Chr1D	2023024	2024119	+	2023571	1.0	0.994	rearrangement:Chr1D_block1
gene:TraesCS1D02G012500	Chr1D	6539891	6542462	-	6541176	Chr1D	1979464	1982035	+	1980749	1.0	1.0	rearrangement:Chr1D_block1
gene:TraesCS1D02G012600	Chr1D	6547770	6548532	-	6548151	Chr1D	1973567	1974329	+	1973948	1.0	1.0	rearrangement:Chr1D_block1
gene:TraesCS1D02G012700	Chr1D	6591228	6594257	-	6592742	Chr1D	1928606	1931635	+	1930120	1.0	1.0	rearrangement:Chr1D_block1
gene:TraesCS1D02G012800	Chr1D	6711752	6714625	-	6713188	Chr1D	1812542	1815415	+	1813978	1.0	0.995	rearrangement:Chr1D_block1
gene:TraesCS1D02G012900	Chr1D	6718845	6721625	-	6720235	Chr1D	1805538	1808318	+	1806928	1.0	1.0	rearrangement:Chr1D_block1
gene:TraesCS1D02G013000	Chr1D	6731413	6732961	-	6732187	Chr1D	1794365	1795913	+	1795139	1.0	1.0	rearrangement:Chr1D_block1
gene:TraesCS1D02G013100	Chr1D	6766844	6771905	-	6769374	Chr1D	1755448	1760489	+	1757968	1.0	0.995	rearrangement:Chr1D_block1
gene:TraesCS1D02G013200	Chr1D	6774424	6778290	+	6776357	Chr1D	1749063	1752929	-	1750996	1.0	1.0	rearrangement:Chr1D_block1
gene:TraesCS1D02G013300	Chr1D	6778533	6780323	-	6779428	Chr1D	1747030	1748820	+	1747925	1.0	0.986	rearrangement:Chr1D_block1
gene:TraesCS1D02G013400	Chr1D	6786398	6787884	-	6787141	Chr1D	1739736	1741222	+	1740479	1.0	0.992	rearrangement:Chr1D_block1
gene:TraesCS1D02G013500	Chr1D	6789468	6794893	+	6792180	Chr1D	1732725	1738149	-	1735437	1.0	0.987	rearrangement:Chr1D_block1
gene:TraesCS1D02G000100	Chr1D	72507	77965	-	75236	Chr1D	5774427	5779885	-	5777156	1.0	0.996	collinear
gene:TraesCS1D02G000200	Chr1D	84681	85607	+	85144	Chr1D	5786601	5787527	+	5787064	1.0	0.998	collinear
