cs_chr	Renan_v2_tgt_chr	n_anchors	Renan_v2_mean_anchor_gap_Mb	Renan_v2_interp_type	n_segments	Renan_v2_mean_anchor_fraction
Chr1A	Chr1A+Chr1A	3724	0.451	pchip_inverted+linear	2	0.846
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B	3924	0.159	pchip+linear+linear+pchip_inverted	4	0.863
Chr1D	Chr1D+Chr1D	3943	0.076	pchip_inverted+linear	2	0.883
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	4513	0.46	linear+pchip_inverted+pchip_inverted+linear+pchip_inverted+linear	6	0.826
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5085	0.164	linear+linear+pchip+pchip_inverted+pchip_inverted+pchip+linear+linear	8	0.869
Chr2D	Chr2D+Chr2D+Chr2D+Chr2D+Chr2D	4624	0.154	linear+linear+linear+pchip+pchip_inverted	5	0.847
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A	4692	0.126	linear+pchip_inverted+pchip_inverted+pchip	4	0.898
Chr3B	Chr3B+Chr3B+Chr3B	4665	0.134	pchip_inverted+linear+pchip_inverted	3	0.836
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D	4872	0.16	linear+pchip_inverted+pchip_inverted+linear	4	0.911
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	3832	0.28	pchip_inverted+linear+linear+linear+linear+pchip+linear	7	0.854
Chr4B	Chr4B	3307	0.204	linear	1	0.723
Chr4D	Chr4D+Chr4D	3265	0.107	linear+pchip	2	0.912
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A+Chr5A+Chr5A	4916	0.157	pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+linear+pchip	6	0.895
Chr5B	Chr5B+Chr5B+Chr5B	4828	0.15	pchip_inverted+pchip_inverted+linear	3	0.861
Chr5D	Chr5D+Chr5D	5048	0.086	linear+pchip	2	0.906
Chr6A	Chr6A	3493	0.177	linear	1	0.874
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	3792	0.339	linear+linear+pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+linear	8	0.8
Chr6D	Chr6D+Chr6D	3512	0.11	pchip_inverted+linear	2	0.891
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A+Chr7A+Chr7A+Chr7A	4686	0.102	pchip_inverted+linear+pchip_inverted+linear+pchip+pchip+linear	7	0.878
Chr7B	Chr7B+Chr7B	3776	0.291	linear+linear	2	0.834
Chr7D	Chr7D	4673	0.137	linear	1	0.873
