cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr6B	168584	103962989	Chr6B	138225	109274548	974	0.98647022587269
Chr6B	106468710	109142658	Chr6B	111788153	114461955	7	0.9882857142857142
Chr6B	112900406	240401733	Chr6B	118295460	247947777	682	0.9857844574780058
Chr6B	243269422	252842611	Chr6B	250728166	260204043	25	0.98884
Chr6B	255072725	262274931	Chr6B	262421376	269906083	26	0.9868461538461537
Chr6B	274386602	282983990	Chr6B	271007781	278744254	33	0.982969696969697
Chr6B	286712737	291066228	Chr6B	282581919	286985402	20	0.9892499999999999
Chr6B	295767133	302596217	Chr6B	300486323	310086090	25	0.9871199999999999
Chr6B	304894478	308520585	Chr6B	295799687	306157714	7	0.9951428571428573
Chr6B	317213268	321293096	Chr6B	317238700	321196126	11	0.9918181818181818
Chr6B	341764542	343111521	Chr6B	337414744	338721223	4	0.96275
Chr6B	366589026	376296463	Chr6B	363552371	373316626	16	0.9855
Chr6B	408218493	418320628	Chr6B	403995063	414038240	29	0.9928275862068965
Chr6B	431701599	441049080	Chr6B	422112132	431333551	43	0.9921860465116279
Chr6B	444540716	479000671	Chr6B	434859912	467727385	160	0.98655
Chr6B	489714404	501128363	Chr6B	482678720	494250637	50	0.98572
Chr6B	516078619	620708761	Chr6B	505499700	610496332	603	0.9913316749585405
Chr6B	622726250	626889431	Chr6B	613185272	617188860	32	0.9848750000000001
Chr6B	630465748	720953306	Chr6B	612070511	714256503	846	0.9832872340425531
Chr6B	377932318	380535522	Chr6B	359174034	361910085	5	0.993
Chr6B	387119500	398851435	Chr6B	341449373	352776022	27	0.9913703703703703
Chr6B	402215985	406603408	Chr6B	415617361	419931328	9	0.9977777777777779
Chr6B	422320571	424306904	Chr6B	398204203	399998491	10	0.9904
Chr6B	479080248	487833450	Chr6B	496082624	505157079	38	0.9766315789473683
Chr6B	501521478	515582492	Chr6B	468392470	482287954	85	0.9885294117647058
Chr6B	715449484	715947409	Chr6B	716722100	717281183	7	0.9641428571428571
Chr6B	715778811	716228059	Chr6B	714283421	714338654	5	0.9720000000000001
