cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr2A	235355488	240818173	Chr2A	269610060	278629543	11	0.9931818181818183
Chr2A	261178307	262579565	Chr2A	257045473	258483294	5	0.9879999999999999
Chr2A	265274570	273294992	Chr2A	247251078	255846722	16	0.9855625
Chr2A	275931781	278919157	Chr2A	241630245	244601546	14	0.9804285714285715
Chr2A	342544978	346207457	Chr2A	362327285	365938972	7	0.9920000000000001
Chr2A	1777584	224330856	Chr2A	2678915	231293145	1647	0.9834893746205222
Chr2A	226555637	233473266	Chr2A	233551895	240801472	13	0.9832307692307692
Chr2A	255910505	258353437	Chr2A	261420136	263813697	7	0.9892857142857144
Chr2A	278994740	281746218	Chr2A	285703953	288526516	5	0.9969999999999999
Chr2A	283944564	286439768	Chr2A	290779458	293368034	5	0.9924000000000002
Chr2A	288988301	293951072	Chr2A	295934890	300730939	7	0.9872857142857142
Chr2A	300399162	306167735	Chr2A	307578272	313470371	6	0.9900000000000001
Chr2A	309689781	315039543	Chr2A	317286295	323125804	7	0.9865714285714284
Chr2A	317947462	324619894	Chr2A	325965674	332717759	11	0.9908181818181819
Chr2A	329696283	338546598	Chr2A	335939347	346328027	26	0.9856923076923076
Chr2A	340608829	341927845	Chr2A	347211337	348836688	3	0.9913333333333334
Chr2A	348091476	355457690	Chr2A	352879747	360445967	12	0.9914166666666667
Chr2A	360432696	361383116	Chr2A	371447884	372438868	4	0.98475
Chr2A	364470917	394757169	Chr2A	366368738	400475795	85	0.9884235294117646
Chr2A	398464297	398851336	Chr2A	401093056	401463981	3	0.9956666666666667
Chr2A	406663131	486499474	Chr2A	407959659	487664769	253	0.9888814229249011
Chr2A	488847564	547776466	Chr2A	489981841	548143865	295	0.9911966101694915
Chr2A	559829458	568581517	Chr2A	563735452	572400722	58	0.992
Chr2A	582840575	760762714	Chr2A	583268036	767380738	1800	0.9863244444444444
Chr2A	770010489	777525572	Chr2A	770607114	780277519	94	0.9781382978723402
Chr2A	549288612	559749613	Chr2A	572466137	582929109	73	0.9902739726027399
Chr2A	777684704	780777724	Chr2A	767518713	770435583	38	0.9760263157894736
