gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity	segment
gene:TraesCS3B02G235000	Chr3B	367675660	367680490	+	367678075	Chr3B	394398845	394403665	-	394401255	0.995	0.975	rearrangement:Chr3B_block1
gene:TraesCS3B02G235100	Chr3B	367835721	367844295	-	367840008	Chr3B	394233983	394242581	+	394238282	1.0	0.992	rearrangement:Chr3B_block1
gene:TraesCS3B02G235200	Chr3B	368089992	368103621	+	368096806	Chr3B	393972940	393986542	-	393979741	1.0	0.974	rearrangement:Chr3B_block1
gene:TraesCS3B02G235400	Chr3B	368115717	368116106	-	368115911	Chr3B	393960803	393961192	+	393960997	1.0	0.996	rearrangement:Chr3B_block1
gene:TraesCS3B02G235500	Chr3B	368539168	368546919	-	368543043	Chr3B	393507170	393514930	+	393511050	1.0	1.0	rearrangement:Chr3B_block1
gene:TraesCS3B02G235600	Chr3B	368591767	368616468	-	368604117	Chr3B	393439650	393462510	+	393451080	0.96	0.948	rearrangement:Chr3B_block1
gene:TraesCS3B02G235700	Chr3B	368726297	368726617	+	368726457	Chr3B	393304120	393304440	-	393304280	1.0	0.99	rearrangement:Chr3B_block1
gene:TraesCS3B02G235800	Chr3B	368727829	368728518	+	368728173	Chr3B	393302219	393302908	-	393302563	1.0	0.992	rearrangement:Chr3B_block1
gene:TraesCS3B02G235900	Chr3B	368743273	368743494	+	368743383	Chr3B	393287248	393287469	-	393287358	1.0	0.995	rearrangement:Chr3B_block1
gene:TraesCS3B02G236000	Chr3B	368846565	368846798	+	368846681	Chr3B	393196075	393196307	-	393196191	0.995	0.991	rearrangement:Chr3B_block1
gene:TraesCS3B02G236100	Chr3B	368852960	368853328	-	368853144	Chr3B	393189552	393189920	+	393189736	1.0	0.989	rearrangement:Chr3B_block1
gene:TraesCS3B02G236200	Chr3B	368866208	368866462	-	368866335	Chr3B	393176435	393176689	+	393176562	1.0	0.988	rearrangement:Chr3B_block1
gene:TraesCS3B02G236300	Chr3B	368882364	368883062	-	368882713	Chr3B	393153695	393154393	+	393154044	1.0	0.994	rearrangement:Chr3B_block1
gene:TraesCS3B02G236600	Chr3B	369284103	369286021	+	369285062	Chr3B	392719399	392721317	-	392720358	1.0	1.0	rearrangement:Chr3B_block1
gene:TraesCS3B02G236700	Chr3B	370135701	370166028	+	370150864	Chr3B	391856231	391886410	-	391871320	0.999	0.992	rearrangement:Chr3B_block1
gene:TraesCS3B02G236800	Chr3B	370213420	370214832	+	370214126	Chr3B	391819120	391820534	-	391819827	1.0	0.996	rearrangement:Chr3B_block1
gene:TraesCS3B02G031900	Chr3B	14463207	14465356	+	14464281	Chr3B	20360302	20362451	+	20361376	1.0	0.951	collinear
gene:TraesCS3B02G053400	Chr3B	27266173	27269409	+	27267791	Chr3B	33052287	33055648	+	33053967	1.0	0.995	collinear
gene:TraesCS3B02G053500	Chr3B	27376747	27379985	+	27378366	Chr3B	33168637	33171875	+	33170256	1.0	0.998	collinear
gene:TraesCS3B02G053600	Chr3B	27487401	27487854	-	27487627	Chr3B	34332985	34333437	+	34333211	0.997	0.965	collinear
gene:TraesCS3B02G053700	Chr3B	27510777	27519946	+	27515361	Chr3B	34300892	34310070	-	34305481	1.0	0.976	collinear
gene:TraesCS3B02G054000	Chr3B	27865302	27867079	-	27866190	Chr3B	33968537	33970040	+	33969288	0.994	0.98	collinear
gene:TraesCS3B02G054100	Chr3B	27874619	27875144	+	27874881	Chr3B	33960671	33961196	-	33960933	1.0	0.99	collinear
gene:TraesCS3B02G054200	Chr3B	27993920	27995471	+	27994695	Chr3B	33840755	33842289	-	33841522	0.997	0.976	collinear
gene:TraesCS3B02G054300	Chr3B	28081085	28082599	-	28081842	Chr3B	33753625	33755139	+	33754382	1.0	1.0	collinear
gene:TraesCS3B02G054400	Chr3B	28102448	28105701	+	28104074	Chr3B	33732535	33735788	-	33734161	1.0	0.999	collinear
gene:TraesCS3B02G054900	Chr3B	28421665	28422753	-	28422209	Chr3B	34383842	34384930	-	34384386	0.996	0.99	collinear
gene:TraesCS3B02G055000	Chr3B	28454847	28456101	-	28455474	Chr3B	34370305	34371559	-	34370932	1.0	0.996	collinear
gene:TraesCS3B02G055600	Chr3B	29378551	29381248	+	29379899	Chr3B	38822008	38824705	+	38823356	1.0	0.999	collinear
gene:TraesCS3B02G055700	Chr3B	29415739	29418921	-	29417330	Chr3B	38859037	38862213	-	38860625	0.996	0.991	collinear
gene:TraesCS3B02G057700	Chr3B	30089884	30092989	-	30091436	Chr3B	39005265	39008132	-	39006698	1.0	0.994	collinear
gene:TraesCS3B02G057800	Chr3B	30135043	30135924	+	30135483	Chr3B	39049758	39050639	+	39050198	1.0	1.0	collinear
gene:TraesCS3B02G057900	Chr3B	30198134	30208607	+	30203370	Chr3B	39111831	39122221	+	39117026	1.0	0.994	collinear
gene:TraesCS3B02G057947	Chr3B	30231869	30245407	+	30238638	Chr3B	39153696	39166828	+	39160262	1.0	0.994	collinear
gene:TraesCS3B02G059100	Chr3B	30679098	30684638	+	30681868	Chr3B	39723004	39728233	+	39725618	1.0	0.998	collinear
gene:TraesCS3B02G059200	Chr3B	30907821	30908402	-	30908111	Chr3B	39981778	39982359	-	39982068	1.0	0.987	collinear
gene:TraesCS3B02G059300	Chr3B	31058376	31059986	+	31059181	Chr3B	40187588	40189198	+	40188393	1.0	0.996	collinear
gene:TraesCS3B02G059400	Chr3B	31062459	31063272	-	31062865	Chr3B	40191667	40192480	-	40192073	1.0	0.998	collinear
gene:TraesCS3B02G059500	Chr3B	31066580	31068297	-	31067438	Chr3B	40195539	40197256	-	40196397	1.0	1.0	collinear
gene:TraesCS3B02G059600	Chr3B	31098466	31100383	-	31099424	Chr3B	40323962	40325573	-	40324767	0.993	0.985	collinear
gene:TraesCS3B02G059900	Chr3B	31788992	31789585	+	31789288	Chr3B	40893185	40893778	+	40893481	1.0	1.0	collinear
gene:TraesCS3B02G060100	Chr3B	31812867	31813800	-	31813333	Chr3B	40934522	40935455	-	40934988	1.0	0.991	collinear
gene:TraesCS3B02G060300	Chr3B	31992337	31994065	+	31993201	Chr3B	41191234	41192991	+	41192112	1.0	0.994	collinear
gene:TraesCS3B02G060400	Chr3B	32276964	32278433	+	32277698	Chr3B	41477073	41478540	+	41477806	0.997	0.98	collinear
gene:TraesCS3B02G060500	Chr3B	32285208	32288072	-	32286640	Chr3B	41482098	41484962	-	41483530	1.0	0.993	collinear
gene:TraesCS3B02G060600	Chr3B	32456596	32460581	+	32458588	Chr3B	41591520	41595424	+	41593472	1.0	0.999	collinear
gene:TraesCS3B02G060700	Chr3B	32596333	32596728	-	32596530	Chr3B	41746249	41746644	-	41746446	1.0	0.994	collinear
gene:TraesCS3B02G060800	Chr3B	32617967	32618813	+	32618390	Chr3B	41774501	41775347	+	41774924	1.0	0.997	collinear
gene:TraesCS3B02G060900	Chr3B	32732944	32733399	-	32733171	Chr3B	41897299	41897754	-	41897526	1.0	0.991	collinear
gene:TraesCS3B02G061000	Chr3B	32747385	32749461	-	32748423	Chr3B	41910927	41913003	-	41911965	1.0	0.998	collinear
gene:TraesCS3B02G061400	Chr3B	33298626	33299087	-	33298856	Chr3B	42869621	42870081	-	42869851	0.997	0.984	collinear
gene:TraesCS3B02G061500	Chr3B	33333715	33334167	-	33333941	Chr3B	42887378	42887830	-	42887604	1.0	0.993	collinear
