cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr7B	155467825	169470795	Chr7B	162552862	176648306	74	0.9819189189189188
Chr7B	172575428	269798374	Chr7B	179389915	282668142	366	0.9877021857923496
Chr7B	281386105	293981562	Chr7B	288072534	302605788	20	0.99275
Chr7B	300043254	307364806	Chr7B	310589777	317802828	12	0.9916666666666666
Chr7B	312814982	340640628	Chr7B	151754058	345558372	96	0.9915625
Chr7B	342994491	357646983	Chr7B	334767255	357682692	13	0.9873076923076922
Chr7B	34838	34672411	Chr7B	118185	35035270	288	0.9855555555555555
Chr7B	40440038	147591009	Chr7B	35238935	143814015	726	0.9849118457300274
Chr7B	149613051	154814815	Chr7B	145831846	150968398	32	0.9884375
Chr7B	270170058	272749545	Chr7B	270019686	272580178	9	0.9844444444444443
Chr7B	295082068	296338725	Chr7B	295052315	296400512	3	0.9926666666666666
Chr7B	310413787	312442469	Chr7B	305120917	307226326	5	0.9898
Chr7B	357994137	389109218	Chr7B	348782002	384015735	123	0.9915528455284552
Chr7B	391956637	405970176	Chr7B	386883655	400915267	49	0.9963877551020408
Chr7B	408568404	419042240	Chr7B	403495085	414233816	42	0.9947619047619047
Chr7B	421064524	541167218	Chr7B	416216886	536478278	725	0.9915903448275862
Chr7B	543188151	714740495	Chr7B	538468690	715091244	1164	0.985368556701031
Chr7B	718977428	719120281	Chr7B	719133563	719286195	5	0.9800000000000001
Chr7B	749332248	750604265	Chr7B	747297739	749292054	16	0.9635
