gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity	segment
gene:TraesCS6B02G000300	Chr6B	163680	173488	-	168584	Chr6B	6699514	6709437	-	6704475	0.993	0.966	collinear
gene:TraesCS6B02G000400	Chr6B	185379	185882	+	185630	Chr6B	6721212	6721712	+	6721462	0.99	0.961	collinear
gene:TraesCS6B02G000500	Chr6B	197644	198153	+	197898	Chr6B	6731098	6731607	+	6731352	1.0	1.0	collinear
gene:TraesCS6B02G000600	Chr6B	260456	260755	-	260605	Chr6B	6877803	6878103	-	6877953	1.0	0.986	collinear
gene:TraesCS6B02G000800	Chr6B	484200	485669	+	484934	Chr6B	7000962	7002431	+	7001696	1.0	0.976	collinear
gene:TraesCS6B02G000900	Chr6B	608571	610157	-	609364	Chr6B	7165246	7166832	-	7166039	1.0	0.992	collinear
gene:TraesCS6B02G001000	Chr6B	697792	700255	+	699023	Chr6B	7486043	7488508	+	7487275	1.0	0.993	collinear
gene:TraesCS6B02G001100	Chr6B	701374	702030	+	701702	Chr6B	7489672	7490328	+	7490000	1.0	0.987	collinear
gene:TraesCS6B02G001200	Chr6B	702076	702636	+	702356	Chr6B	7490374	7490934	+	7490654	1.0	0.985	collinear
gene:TraesCS6B02G001300	Chr6B	728447	731986	-	730216	Chr6B	7516433	7519655	-	7518044	1.0	0.994	collinear
gene:TraesCS6B02G001400	Chr6B	944442	945674	+	945058	Chr6B	5506920	5508152	+	5507536	1.0	0.996	collinear
gene:TraesCS6B02G001600	Chr6B	1019074	1020443	+	1019758	Chr6B	3383414	3384771	-	3384092	0.99	0.937	collinear
gene:TraesCS6B02G001700	Chr6B	1131389	1133229	-	1132309	Chr6B	5184300	5186061	-	5185180	1.0	0.972	collinear
gene:TraesCS6B02G002700	Chr6B	2072182	2075303	+	2073742	Chr6B	3333921	3337050	+	3335485	1.0	0.973	collinear
gene:TraesCS6B02G003700	Chr6B	2659659	2661066	-	2660362	Chr6B	5369611	5370994	+	5370302	0.985	0.962	collinear
gene:TraesCS6B02G003800	Chr6B	2717048	2719606	+	2718327	Chr6B	5211022	5213578	-	5212300	0.999	0.988	collinear
gene:TraesCS6B02G004000	Chr6B	3122693	3127984	-	3125338	Chr6B	5576489	5581780	+	5579134	1.0	0.983	collinear
