cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr5B	18796	149330732	Chr5B	64037	154188106	948	0.9899367088607596
Chr5B	152509380	167292122	Chr5B	156494600	172455942	23	0.9894782608695651
Chr5B	173856903	185724173	Chr5B	180436425	192956416	20	0.9906500000000001
Chr5B	191960322	192381573	Chr5B	197580220	198007786	3	0.9940000000000001
Chr5B	201287121	212398215	Chr5B	204319240	216634015	31	0.9886774193548387
Chr5B	219089253	236283952	Chr5B	229256495	246708556	65	0.9937999999999999
Chr5B	238316269	257532817	Chr5B	248507795	267136461	75	0.994
Chr5B	259539413	341562322	Chr5B	269102869	350713981	460	0.9927543478260868
Chr5B	343826709	383208800	Chr5B	352935101	392322279	202	0.9904554455445544
Chr5B	386333053	492263502	Chr5B	392610177	497466742	857	0.988189031505251
Chr5B	494315637	713024800	Chr5B	497511008	703260155	2130	0.9844516431924881
