cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr4D	410678	140903099	Chr4D	415413	142293700	1299	0.9887775211701307
Chr4D	143579930	155648423	Chr4D	144950823	156981509	16	0.9914375
Chr4D	163412513	183387226	Chr4D	165339726	187263025	24	0.992125
Chr4D	188710899	192736636	Chr4D	191430722	195419538	6	0.9936666666666666
Chr4D	195017915	197772614	Chr4D	197698385	200440161	6	0.9914999999999999
Chr4D	201900985	204732235	Chr4D	204400771	207550872	5	0.9937999999999999
Chr4D	206901645	212157624	Chr4D	208713855	214114695	19	0.9974736842105264
Chr4D	214330956	228145178	Chr4D	216293322	230167353	20	0.99595
Chr4D	230482531	238626311	Chr4D	232362823	240671428	11	0.9839090909090907
Chr4D	240933419	248933627	Chr4D	242961234	251316709	18	0.9941666666666666
Chr4D	251524682	256552996	Chr4D	253886453	258617057	7	0.9815714285714285
Chr4D	258897131	261254698	Chr4D	260952159	263359734	6	0.9923333333333334
Chr4D	263946972	268074619	Chr4D	266036352	270124744	7	0.9898571428571428
Chr4D	270654719	286394897	Chr4D	272679271	288457794	18	0.9882222222222222
Chr4D	288430533	329311457	Chr4D	290015343	331276890	196	0.9875765306122447
Chr4D	331638064	375735889	Chr4D	333580372	377590848	275	0.9922254545454544
Chr4D	377847536	410407878	Chr4D	379155785	411665772	213	0.9864272300469485
Chr4D	412715801	509851856	Chr4D	414036693	513184888	1091	0.9905297891842347
Chr4D	505700667	507006408	Chr4D	515210500	516534627	24	0.9928750000000001
