cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr3D	3197909	3824424	Chr3D	10228	615102	11	0.9985454545454545
Chr3D	299594493	309084975	Chr3D	319190101	328645581	76	0.9959210526315789
Chr3D	314619116	324312558	Chr3D	304032677	313647783	31	0.9921935483870967
Chr3D	325803	116408326	Chr3D	713667	119367618	1341	0.991082774049217
Chr3D	118542402	193372918	Chr3D	121528393	196318481	373	0.9918847184986596
Chr3D	196947044	200390459	Chr3D	200025739	203472972	5	0.99
Chr3D	206979095	213997235	Chr3D	210569812	217556678	11	0.9967272727272726
Chr3D	216425033	219568689	Chr3D	219967473	223078858	6	0.9898333333333333
Chr3D	225525420	232470513	Chr3D	229169866	236122120	13	0.9903846153846154
Chr3D	234603090	244292283	Chr3D	238226616	249394595	12	0.996
Chr3D	246327705	256987734	Chr3D	250238027	262088685	27	0.9936666666666666
Chr3D	262996218	298593191	Chr3D	268106988	303640473	124	0.9915322580645161
Chr3D	309654306	313930346	Chr3D	314328261	318618275	33	0.9940606060606061
Chr3D	324387385	492131921	Chr3D	329334284	497328480	1306	0.991083460949464
Chr3D	494653889	615474754	Chr3D	501129282	623159984	1499	0.9893155436957971
