gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	tgt_chr	tgt_start	tgt_end	tgt_strand	tgt_midpoint	coverage	identity	segment
gene:TraesCS3D03G0000100	Chr3D	110199	113774	+	111986	Chr3D	3470786	3473638	-	3472212	0.98	0.96	collinear
gene:TraesCS3D03G0000500	Chr3D	162008	165953	-	163980	Chr3D	3429408	3433245	+	3431326	0.971	0.933	collinear
gene:TraesCS3D03G0000600	Chr3D	285779	290894	+	288336	Chr3D	3289508	3294341	-	3291924	1.0	0.939	collinear
gene:TraesCS3D03G0001100	Chr3D	351113	355413	+	353263	Chr3D	3266603	3270865	-	3268734	1.0	0.972	collinear
gene:TraesCS3D03G0001900	Chr3D	579644	582517	-	581080	Chr3D	2861272	2864547	+	2862909	0.986	0.916	collinear
gene:TraesCS3D03G0002300	Chr3D	693528	696046	+	694787	Chr3D	2508727	2511348	-	2510037	1.0	0.96	collinear
gene:TraesCS3D03G0003800	Chr3D	931898	935486	+	933692	Chr3D	2336672	2340308	-	2338490	0.988	0.909	collinear
gene:TraesCS3D03G0003900	Chr3D	935901	941009	+	938455	Chr3D	2331122	2336263	-	2333692	0.987	0.944	collinear
gene:TraesCS3D03G0005400	Chr3D	1281513	1290345	-	1285929	Chr3D	1809467	1818325	-	1813896	0.967	0.923	collinear
gene:TraesCS3D03G0006200	Chr3D	1445437	1445859	+	1445648	Chr3D	1701433	1701843	-	1701638	0.969	0.924	collinear
gene:TraesCS3D03G0007100	Chr3D	1528154	1536879	+	1532516	Chr3D	1622016	1629330	-	1625673	1.0	0.988	collinear
gene:TraesCS3D03G0008200	Chr3D	1597665	1598401	-	1598033	Chr3D	1511683	1512418	+	1512050	1.0	0.934	collinear
gene:TraesCS3D03G0009200	Chr3D	1663003	1663416	+	1663209	Chr3D	1454169	1454582	-	1454375	1.0	0.983	collinear
gene:TraesCS3D03G0009900	Chr3D	1754612	1755127	+	1754869	Chr3D	1422463	1422977	-	1422720	0.997	0.913	collinear
gene:TraesCS3D03G0010000	Chr3D	1755449	1757937	+	1756693	Chr3D	1419753	1422148	-	1420950	1.0	0.972	collinear
gene:TraesCS3D03G0011500	Chr3D	2010145	2011606	-	2010875	Chr3D	1047006	1048468	+	1047737	0.998	0.982	collinear
gene:TraesCS3D03G0011600	Chr3D	2017247	2017954	-	2017600	Chr3D	1041587	1042294	+	1041940	1.0	0.959	collinear
gene:TraesCS3D03G0012500	Chr3D	2154098	2155753	-	2154925	Chr3D	708435	710044	+	709239	0.97	0.932	collinear
gene:TraesCS3D03G0012600	Chr3D	2162896	2166424	+	2164660	Chr3D	647719	651585	-	649652	0.998	0.953	collinear
gene:TraesCS3D03G0013300	Chr3D	2257630	2259555	+	2258592	Chr3D	562574	564583	-	563578	0.986	0.958	collinear
gene:TraesCS3D03G0013600	Chr3D	2262089	2264237	+	2263163	Chr3D	539176	541430	-	540303	1.0	0.913	collinear
gene:TraesCS3D03G0013700	Chr3D	2288946	2291244	+	2290095	Chr3D	519391	521653	-	520522	0.983	0.917	collinear
gene:TraesCS3D03G0013800	Chr3D	2294788	2295291	+	2295039	Chr3D	516288	516797	-	516542	0.99	0.906	collinear
gene:TraesCS3D03G0014600	Chr3D	2552601	2554386	+	2553493	Chr3D	433137	434922	-	434029	1.0	0.957	collinear
gene:TraesCS3D03G0014700	Chr3D	2560435	2562487	-	2561461	Chr3D	429522	431642	+	430582	0.987	0.92	collinear
gene:TraesCS3D03G0015600	Chr3D	2641623	2645541	+	2643582	Chr3D	228362	232242	-	230302	0.986	0.961	collinear
gene:TraesCS3D03G0016900	Chr3D	2965361	2969762	+	2967561	Chr3D	4517583	4521742	+	4519662	0.996	0.939	collinear
gene:TraesCS3D03G0017100	Chr3D	3024974	3029545	+	3027259	Chr3D	4550259	4554801	+	4552530	0.988	0.905	collinear
gene:TraesCS3D03G0017300	Chr3D	3048907	3051705	+	3050306	Chr3D	4717782	4720580	+	4719181	0.999	0.977	collinear
gene:TraesCS3D03G0017400	Chr3D	3116522	3120868	+	3118695	Chr3D	4740609	4744927	+	4742768	0.977	0.915	collinear
gene:TraesCS3D03G0017900	Chr3D	3185368	3186843	-	3186105	Chr3D	4807936	4809417	-	4808676	0.997	0.94	collinear
gene:TraesCS3D03G0018000	Chr3D	3196139	3202209	+	3199174	Chr3D	4813996	4819869	+	4816932	0.979	0.925	collinear
gene:TraesCS3D03G0018300	Chr3D	3252630	3253202	-	3252916	Chr3D	4948829	4949401	-	4949115	1.0	0.902	collinear
gene:TraesCS3D03G0019900	Chr3D	3512636	3514159	+	3513397	Chr3D	5030181	5031700	+	5030940	0.98	0.918	collinear
gene:TraesCS3D03G0020300	Chr3D	3575256	3575879	-	3575567	Chr3D	5297657	5298274	-	5297965	0.99	0.935	collinear
gene:TraesCS3D03G0021000	Chr3D	3997940	3998751	-	3998345	Chr3D	5366298	5367116	-	5366707	0.978	0.918	collinear
gene:TraesCS3D03G0021300	Chr3D	4033298	4034189	+	4033743	Chr3D	5367780	5368671	+	5368225	0.998	0.92	collinear
gene:TraesCS3D03G0021400	Chr3D	4053385	4056293	-	4054839	Chr3D	5399949	5402297	-	5401123	0.95	0.904	collinear
gene:TraesCS3D03G0021900	Chr3D	4120743	4121812	+	4121277	Chr3D	5413466	5414605	-	5414035	1.0	0.947	collinear
gene:TraesCS3D03G0022400	Chr3D	4165437	4168414	-	4166925	Chr3D	5652118	5655135	-	5653626	1.0	0.952	collinear
gene:TraesCS3D03G0023000	Chr3D	4301512	4303273	+	4302392	Chr3D	5681124	5682885	+	5682004	0.998	0.949	collinear
gene:TraesCS3D03G0023400	Chr3D	4387252	4391881	+	4389566	Chr3D	6379972	6386351	-	6383161	0.999	0.943	collinear
gene:TraesCS3D03G0024400	Chr3D	4487254	4488429	+	4487841	Chr3D	6094486	6095641	+	6095063	0.984	0.905	collinear
gene:TraesCS3D03G0025900	Chr3D	4928177	4929445	-	4928811	Chr3D	6362754	6364025	-	6363389	1.0	0.935	collinear
gene:TraesCS3D03G0027200	Chr3D	4983534	4986082	-	4984808	Chr3D	6536882	6539432	-	6538157	0.996	0.93	collinear
gene:TraesCS3D03G0028400	Chr3D	5207240	5211099	+	5209169	Chr3D	7050813	7054730	+	7052771	0.99	0.925	collinear
gene:TraesCS3D03G0029200	Chr3D	5609039	5613244	-	5611141	Chr3D	7153637	7157465	-	7155551	1.0	0.96	collinear
gene:TraesCS3D03G0029300	Chr3D	5616378	5617808	+	5617093	Chr3D	7160904	7162278	+	7161591	0.956	0.901	collinear
gene:TraesCS3D03G0029500	Chr3D	5656561	5658853	+	5657707	Chr3D	7476800	7479113	-	7477956	1.0	0.959	collinear
gene:TraesCS3D03G0030100	Chr3D	5763633	5767044	-	5765338	Chr3D	7539805	7543251	-	7541528	1.0	0.974	collinear
gene:TraesCS3D03G0030200	Chr3D	5797017	5800765	+	5798891	Chr3D	7554873	7559155	+	7557014	1.0	0.974	collinear
gene:TraesCS3D03G0030500	Chr3D	5818304	5819531	-	5818917	Chr3D	7602666	7603906	-	7603286	1.0	0.953	collinear
gene:TraesCS3D03G0030900	Chr3D	5862195	5863530	-	5862862	Chr3D	7663592	7664940	+	7664266	0.987	0.935	collinear
gene:TraesCS3D03G0031200	Chr3D	5875186	5878680	+	5876933	Chr3D	7685416	7689064	+	7687240	0.991	0.935	collinear
gene:TraesCS3D03G0031300	Chr3D	5880800	5886024	-	5883412	Chr3D	7691305	7696376	-	7693840	0.953	0.924	collinear
gene:TraesCS3D03G0031600	Chr3D	6017542	6019765	-	6018653	Chr3D	7863145	7864923	-	7864034	1.0	0.955	collinear
gene:TraesCS3D03G0031700	Chr3D	6021226	6025147	-	6023186	Chr3D	7866504	7869975	-	7868239	0.999	0.917	collinear
gene:TraesCS3D03G0032100	Chr3D	6141043	6143113	+	6142078	Chr3D	8228742	8230790	+	8229766	0.998	0.921	collinear
gene:TraesCS3D03G0032200	Chr3D	6147248	6150321	-	6148784	Chr3D	8235252	8238335	-	8236793	0.992	0.931	collinear
gene:TraesCS3D03G0032800	Chr3D	6193499	6194282	+	6193890	Chr3D	8685780	8686580	+	8686180	0.998	0.943	collinear
gene:TraesCS3D03G0033600	Chr3D	6402458	6406175	-	6404316	Chr3D	9042900	9047090	-	9044995	0.993	0.947	collinear
gene:TraesCS3D03G0033700	Chr3D	6408680	6414449	+	6411564	Chr3D	9049859	9055456	+	9052657	0.988	0.943	collinear
gene:TraesCS3D03G0033800	Chr3D	6424052	6425978	-	6425015	Chr3D	9087303	9088571	-	9087937	0.951	0.908	collinear
gene:TraesCS3D03G0033900	Chr3D	6428865	6430477	+	6429671	Chr3D	9093117	9094720	+	9093918	0.999	0.957	collinear
gene:TraesCS3D03G0034200	Chr3D	6459248	6460446	-	6459847	Chr3D	9110717	9111903	-	9111310	0.986	0.94	collinear
gene:TraesCS3D03G0034800	Chr3D	6659972	6665271	+	6662621	Chr3D	9372738	9378209	+	9375473	0.975	0.934	collinear
gene:TraesCS3D03G0035100	Chr3D	6728459	6731952	-	6730205	Chr3D	9424283	9427769	-	9426026	0.978	0.945	collinear
gene:TraesCS3D03G0035300	Chr3D	6744076	6752258	+	6748167	Chr3D	9435760	9443928	+	9439844	0.984	0.946	collinear
gene:TraesCS3D03G0036500	Chr3D	7017167	7018259	+	7017713	Chr3D	9685718	9686828	+	9686273	0.989	0.906	collinear
gene:TraesCS3D03G0036900	Chr3D	7026135	7026917	+	7026526	Chr3D	9695515	9696297	+	9695906	1.0	0.964	collinear
