gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	tgt_chr	tgt_start	tgt_end	tgt_strand	tgt_midpoint	coverage	identity	segment
gene:TraesCS6A03G0000500	Chr6A	120701	122577	-	121639	Chr6A	120786	122660	-	121723	0.999	0.998	collinear
gene:TraesCS6A03G0000900	Chr6A	298705	305357	-	302031	Chr6A	325038	331632	-	328335	0.999	0.994	collinear
gene:TraesCS6A03G0001000	Chr6A	350333	351902	-	351117	Chr6A	375145	376711	-	375928	0.997	0.993	collinear
gene:TraesCS6A03G0001100	Chr6A	1025042	1029912	+	1027477	Chr6A	1065692	1070808	+	1068250	0.999	0.989	collinear
gene:TraesCS6A03G0001200	Chr6A	1092697	1097130	+	1094913	Chr6A	962041	966467	+	964254	0.994	0.975	collinear
gene:TraesCS6A03G0001400	Chr6A	1270594	1272612	-	1271603	Chr6A	1533490	1535552	-	1534521	1.0	0.969	collinear
gene:TraesCS6A03G0001500	Chr6A	1298952	1300428	-	1299690	Chr6A	1562094	1563570	-	1562832	1.0	0.996	collinear
gene:TraesCS6A03G0001600	Chr6A	1304914	1305519	-	1305216	Chr6A	1568053	1568658	-	1568355	1.0	0.993	collinear
gene:TraesCS6A03G0001800	Chr6A	1330327	1332348	+	1331337	Chr6A	1615834	1617850	+	1616842	0.997	0.993	collinear
gene:TraesCS6A03G0002000	Chr6A	1392825	1393762	+	1393293	Chr6A	1678424	1679331	+	1678877	0.961	0.958	collinear
gene:TraesCS6A03G0002100	Chr6A	1401147	1405507	-	1403327	Chr6A	1686747	1691107	-	1688927	1.0	0.998	collinear
gene:TraesCS6A03G0002200	Chr6A	1413772	1418469	+	1416120	Chr6A	1706294	1710940	+	1708617	1.0	0.998	collinear
gene:TraesCS6A03G0002300	Chr6A	1427419	1428465	-	1427942	Chr6A	1719446	1720492	-	1719969	1.0	0.993	collinear
gene:TraesCS6A03G0002400	Chr6A	1434457	1434844	+	1434650	Chr6A	1726493	1726880	+	1726686	1.0	1.0	collinear
gene:TraesCS6A03G0002600	Chr6A	1442347	1442844	-	1442595	Chr6A	1734411	1734908	-	1734659	1.0	0.996	collinear
gene:TraesCS6A03G0002700	Chr6A	1444853	1445827	+	1445340	Chr6A	1736897	1737871	+	1737384	0.987	0.959	collinear
gene:TraesCS6A03G0003000	Chr6A	1535307	1542220	+	1538763	Chr6A	1757575	1764480	+	1761027	1.0	0.994	collinear
gene:TraesCS6A03G0003100	Chr6A	1544392	1548820	-	1546606	Chr6A	1780211	1784661	-	1782436	1.0	0.997	collinear
gene:TraesCS6A03G0003300	Chr6A	1558341	1564627	+	1561484	Chr6A	1793971	1800250	+	1797110	0.998	0.98	collinear
gene:TraesCS6A03G0003500	Chr6A	1571628	1573212	-	1572420	Chr6A	1806790	1808373	-	1807581	0.999	0.997	collinear
gene:TraesCS6A03G0003600	Chr6A	1584804	1587503	+	1586153	Chr6A	1820003	1822934	+	1821468	1.0	1.0	collinear
gene:TraesCS6A03G0003700	Chr6A	1590243	1592797	-	1591520	Chr6A	1825674	1827995	-	1826834	0.908	0.901	collinear
gene:TraesCS6A03G0004300	Chr6A	1712278	1718977	+	1715627	Chr6A	1890303	1896888	+	1893595	0.992	0.98	collinear
gene:TraesCS6A03G0004500	Chr6A	1720510	1722005	-	1721257	Chr6A	1897922	1899435	-	1898678	1.0	0.982	collinear
gene:TraesCS6A03G0004800	Chr6A	1722453	1727315	-	1724884	Chr6A	1899955	1904912	-	1902433	0.996	0.958	collinear
gene:TraesCS6A03G0004900	Chr6A	1735764	1739970	+	1737867	Chr6A	1925665	1929952	+	1927808	0.998	0.961	collinear
gene:TraesCS6A03G0005000	Chr6A	1741213	1746701	-	1743957	Chr6A	1931205	1936747	-	1933976	0.999	0.996	collinear
gene:TraesCS6A03G0006500	Chr6A	2049229	2059125	-	2054177	Chr6A	2053542	2063476	-	2058509	0.998	0.995	collinear
gene:TraesCS6A03G0006700	Chr6A	2144282	2144913	+	2144597	Chr6A	2141092	2141710	+	2141401	1.0	0.994	collinear
gene:TraesCS6A03G0007100	Chr6A	2203802	2204371	+	2204086	Chr6A	2171530	2172099	+	2171814	1.0	0.997	collinear
gene:TraesCS6A03G0007500	Chr6A	2212597	2221548	-	2217072	Chr6A	2182799	2191753	-	2187276	1.0	0.995	collinear
gene:TraesCS6A03G0007800	Chr6A	2268384	2269573	+	2268978	Chr6A	2272578	2273812	+	2273195	1.0	0.952	collinear
gene:TraesCS6A03G0007900	Chr6A	2282496	2284138	-	2283317	Chr6A	2288038	2289677	-	2288857	0.998	0.99	collinear
gene:TraesCS6A03G0008200	Chr6A	2360136	2366375	+	2363255	Chr6A	2303234	2304520	+	2303877	0.99	0.98	collinear
gene:TraesCS6A03G0009000	Chr6A	2428560	2434504	-	2431532	Chr6A	2307787	2313773	-	2310780	1.0	0.983	collinear
gene:TraesCS6A03G0009100	Chr6A	2436943	2441208	+	2439075	Chr6A	2316198	2320377	+	2318287	0.991	0.965	collinear
gene:TraesCS6A03G0010100	Chr6A	2492564	2499034	+	2495799	Chr6A	2377335	2383892	+	2380613	0.999	0.967	collinear
gene:TraesCS6A03G0010200	Chr6A	2510567	2511779	+	2511173	Chr6A	2402041	2403249	+	2402645	0.992	0.981	collinear
gene:TraesCS6A03G0010400	Chr6A	2534695	2537409	+	2536052	Chr6A	2415386	2418074	+	2416730	0.975	0.918	collinear
gene:TraesCS6A03G0010800	Chr6A	2677756	2680999	+	2679377	Chr6A	2533026	2534954	+	2533990	0.997	0.978	collinear
gene:TraesCS6A03G0011100	Chr6A	2724971	2727654	-	2726312	Chr6A	2584848	2587352	-	2586100	1.0	0.979	collinear
gene:TraesCS6A03G0011700	Chr6A	2780187	2780928	-	2780557	Chr6A	2674488	2675229	-	2674858	1.0	0.976	collinear
gene:TraesCS6A03G0012100	Chr6A	2811038	2811415	-	2811226	Chr6A	2686958	2687331	-	2687144	1.0	0.985	collinear
gene:TraesCS6A03G0012200	Chr6A	2819892	2823290	-	2821591	Chr6A	2709222	2712699	-	2710960	1.0	0.986	collinear
gene:TraesCS6A03G0012600	Chr6A	2942228	2947777	+	2945002	Chr6A	2772642	2778230	+	2775436	0.957	0.927	collinear
gene:TraesCS6A03G0012800	Chr6A	2952615	2956528	-	2954571	Chr6A	2786667	2790528	-	2788597	1.0	0.986	collinear
gene:TraesCS6A03G0013300	Chr6A	3493875	3497254	-	3495564	Chr6A	2965731	2969129	-	2967430	1.0	0.987	collinear
gene:TraesCS6A03G0013400	Chr6A	3501820	3502695	-	3502257	Chr6A	2973615	2974491	-	2974053	1.0	0.969	collinear
gene:TraesCS6A03G0013500	Chr6A	3505130	3509572	-	3507351	Chr6A	2976761	2980431	-	2978596	1.0	0.978	collinear
gene:TraesCS6A03G0013700	Chr6A	3526852	3527448	+	3527150	Chr6A	2984739	2985335	+	2985037	1.0	0.994	collinear
gene:TraesCS6A03G0013800	Chr6A	3528505	3529406	+	3528955	Chr6A	2986387	2987288	+	2986837	1.0	0.982	collinear
gene:TraesCS6A03G0014100	Chr6A	3568117	3572740	+	3570428	Chr6A	3072977	3077611	+	3075294	0.955	0.929	collinear
gene:TraesCS6A03G0014200	Chr6A	3576627	3578939	+	3577783	Chr6A	3080022	3082430	+	3081226	1.0	0.949	collinear
gene:TraesCS6A03G0014800	Chr6A	3702665	3706690	+	3704677	Chr6A	3199195	3203210	+	3201202	1.0	0.989	collinear
gene:TraesCS6A03G0015000	Chr6A	3729503	3735623	+	3732563	Chr6A	3228027	3234057	+	3231042	0.999	0.977	collinear
gene:TraesCS6A03G0015200	Chr6A	3748307	3752517	+	3750412	Chr6A	3236669	3240771	+	3238720	0.993	0.977	collinear
gene:TraesCS6A03G0015400	Chr6A	3791624	3795065	+	3793344	Chr6A	3263078	3266403	+	3264740	1.0	0.997	collinear
gene:TraesCS6A03G0015500	Chr6A	3983778	3984395	+	3984086	Chr6A	3425512	3426129	+	3425820	1.0	0.985	collinear
gene:TraesCS6A03G0015600	Chr6A	4015558	4016051	+	4015804	Chr6A	3463390	3463882	+	3463636	1.0	0.98	collinear
gene:TraesCS6A03G0015800	Chr6A	4066078	4066922	+	4066500	Chr6A	3534198	3535040	+	3534619	0.985	0.942	collinear
gene:TraesCS6A03G0017500	Chr6A	4465472	4467836	+	4466654	Chr6A	3631330	3633709	+	3632519	1.0	0.994	collinear
gene:TraesCS6A03G0017600	Chr6A	4467915	4470370	+	4469142	Chr6A	3633788	3636242	+	3635015	1.0	0.978	collinear
gene:TraesCS6A03G0017800	Chr6A	4482773	4484432	+	4483602	Chr6A	3644349	3645906	+	3645127	0.933	0.917	collinear
gene:TraesCS6A03G0017900	Chr6A	4540850	4543144	-	4541997	Chr6A	3684875	3687172	-	3686023	1.0	0.966	collinear
gene:TraesCS6A03G0018100	Chr6A	4566908	4568998	-	4567953	Chr6A	3709414	3711514	-	3710464	0.997	0.988	collinear
gene:TraesCS6A03G0018400	Chr6A	4646078	4648289	-	4647183	Chr6A	4026903	4029216	-	4028059	0.996	0.96	collinear
gene:TraesCS6A03G0018600	Chr6A	4650144	4650962	-	4650553	Chr6A	4031097	4031921	-	4031509	0.982	0.932	collinear
gene:TraesCS6A03G0018800	Chr6A	4707838	4709462	+	4708650	Chr6A	4054555	4056181	+	4055368	1.0	0.983	collinear
