cs_chr	cs_start	cs_end	tgt_chr	tgt_start	tgt_end	n_anchors	mean_identity
Chr4B	5730886	10804377	Chr4B	3614290	8437537	62	0.9927903225806451
Chr4B	14794860	86155240	Chr4B	12138651	82590525	644	0.9976319875776398
Chr4B	88370406	147877650	Chr4B	84805225	143989448	361	0.9992105263157895
Chr4B	152013655	155154630	Chr4B	149124867	152227549	11	0.999909090909091
Chr4B	161318293	164642854	Chr4B	157343191	160634685	6	1.0
Chr4B	167236891	207224234	Chr4B	163085468	202928965	181	0.9991933701657457
Chr4B	212453315	226695727	Chr4B	208097210	222237021	37	0.9984864864864865
Chr4B	229815313	233299063	Chr4B	225346720	228773792	4	0.9995
Chr4B	236068374	253286737	Chr4B	233096933	251663219	19	0.9998421052631579
Chr4B	258663154	259633738	Chr4B	258485600	259451990	3	1.0
Chr4B	265637689	273673527	Chr4B	263962142	271779079	12	0.9994999999999999
Chr4B	275687277	282555008	Chr4B	273759381	279905748	10	0.9998000000000001
Chr4B	285233326	286424153	Chr4B	282574054	283760322	5	0.9994
Chr4B	291502685	291547670	Chr4B	288736066	288780831	4	1.0
Chr4B	294688008	296591676	Chr4B	291893070	296843050	4	1.0
Chr4B	299196258	300568638	Chr4B	293481105	299445516	4	1.0
Chr4B	305087497	316560905	Chr4B	300539164	311916364	32	0.99953125
Chr4B	322209821	324516341	Chr4B	317410525	319720847	6	0.9998333333333335
Chr4B	326650034	330229225	Chr4B	321851478	325418580	8	0.99975
Chr4B	332805993	335355652	Chr4B	327940562	330472901	5	0.9997999999999999
Chr4B	337825898	351612341	Chr4B	332935965	346545238	20	0.9999500000000001
Chr4B	357330117	428374125	Chr4B	352254507	422987738	342	0.9991111111111112
Chr4B	430804721	673727606	Chr4B	425371918	665721012	1814	0.9957271223814773
