cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr5A	3993905	4602567	Chr5A	1005192	1596276	19	0.9944736842105263
Chr5A	1543362	3799682	Chr5A	1709020	4017419	30	0.9943333333333333
Chr5A	5963836	62409843	Chr5A	4908640	62254480	475	0.9957284210526316
Chr5A	65256920	152899436	Chr5A	65407167	152625876	403	0.9989900744416874
Chr5A	156754150	160718182	Chr5A	156416917	160369384	13	0.9998461538461539
Chr5A	163084098	182449906	Chr5A	162736566	181828430	37	0.999864864864865
Chr5A	184871905	187078746	Chr5A	184230313	186429165	4	1.0
Chr5A	192446609	200581324	Chr5A	191757043	199836436	16	0.998875
Chr5A	204816399	224020772	Chr5A	204089389	223227680	33	0.9996969696969698
Chr5A	226098410	238494644	Chr5A	225294570	237225233	28	0.9998571428571429
Chr5A	247866626	251028605	Chr5A	244105241	249160287	8	1.0
Chr5A	259606122	428812755	Chr5A	258504923	427313251	898	0.998522271714922
Chr5A	431918117	515019522	Chr5A	427608937	509328122	855	0.9940561403508772
Chr5A	519164301	705902399	Chr5A	509936079	693513416	2279	0.9964405440982886
Chr5A	708002831	711609671	Chr5A	696688708	701144409	40	0.971425
Chr5A	706106566	707680768	Chr5A	701169968	702580947	12	0.9724166666666666
Chr5A	712671558	713328361	Chr5A	693692463	694353212	8	0.998375
