gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	SY_Mattis_tgt_strand	SY_Mattis_tgt_midpoint	SY_Mattis_coverage	SY_Mattis_identity	segment
gene:TraesCS7A03G0000200	Chr7A	237447	240619	+	239033	Chr7A	237313	240485	+	238899	1.0	1.0	collinear
gene:TraesCS7A03G0000300	Chr7A	241763	245662	-	243712	Chr7A	241629	245526	-	243577	1.0	1.0	collinear
gene:TraesCS7A03G0000400	Chr7A	249969	253391	+	251680	Chr7A	249830	253252	+	251541	1.0	0.999	collinear
gene:TraesCS7A03G0001000	Chr7A	287782	289092	+	288437	Chr7A	287359	288672	+	288015	1.0	1.0	collinear
gene:TraesCS7A03G0001800	Chr7A	329150	329954	+	329552	Chr7A	328803	329607	+	329205	1.0	1.0	collinear
gene:TraesCS7A03G0001900	Chr7A	339975	343261	-	341618	Chr7A	339693	342979	-	341336	1.0	1.0	collinear
gene:TraesCS7A03G0002500	Chr7A	458993	460972	-	459982	Chr7A	458390	460369	-	459379	1.0	1.0	collinear
gene:TraesCS7A03G0002900	Chr7A	625626	629540	+	627583	Chr7A	634018	637931	+	635974	1.0	0.999	collinear
gene:TraesCS7A03G0003000	Chr7A	636996	649433	-	643214	Chr7A	645386	657823	-	651604	1.0	0.999	collinear
gene:TraesCS7A03G0003300	Chr7A	658982	671984	-	665483	Chr7A	667372	680498	-	673935	1.0	1.0	collinear
gene:TraesCS7A03G0003400	Chr7A	751650	755043	-	753346	Chr7A	760305	763698	-	762001	1.0	1.0	collinear
gene:TraesCS7A03G0003500	Chr7A	776562	777005	-	776783	Chr7A	785125	785568	-	785346	1.0	1.0	collinear
gene:TraesCS7A03G0004100	Chr7A	965060	971771	+	968415	Chr7A	973637	980348	+	976992	1.0	1.0	collinear
gene:TraesCS7A03G0004300	Chr7A	1116397	1117068	+	1116732	Chr7A	1125094	1125765	+	1125429	1.0	1.0	collinear
gene:TraesCS7A03G0004500	Chr7A	1168399	1170394	+	1169396	Chr7A	1163991	1165986	+	1164988	1.0	0.999	collinear
