cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr4A	81328	64583830	Chr4A	535143	66560447	638	0.9962163009404389
Chr4A	66602634	78736365	Chr4A	66851927	78995617	89	0.9931460674157303
Chr4A	81244931	130332624	Chr4A	80980290	129597830	280	0.9951714285714287
Chr4A	132517055	192330869	Chr4A	131646390	191282141	259	0.9981698841698842
Chr4A	194997349	219652885	Chr4A	193949456	218496651	45	0.9994444444444445
Chr4A	221731546	222175913	Chr4A	220576352	221023877	3	1.0
Chr4A	224910983	226677182	Chr4A	223746732	225513382	4	1.0
Chr4A	229114346	242431315	Chr4A	227881069	241115085	21	0.999952380952381
Chr4A	328283933	333487928	Chr4A	326457652	331650969	6	0.9994999999999999
Chr4A	337968373	349413639	Chr4A	335628400	346942092	23	0.9998260869565219
Chr4A	351426691	353020297	Chr4A	349038509	350627274	4	1.0
Chr4A	355676988	358739297	Chr4A	353277824	356323750	6	0.9996666666666667
Chr4A	361169426	364704441	Chr4A	358758875	362271811	5	0.9892
Chr4A	372955440	386206032	Chr4A	370724312	383942439	15	0.9996666666666667
Chr4A	388345576	389986218	Chr4A	386067078	387692125	3	1.0
Chr4A	394095303	397542408	Chr4A	391778061	395215199	6	1.0
Chr4A	399782828	400323386	Chr4A	397453096	398004403	3	0.999
Chr4A	406605144	419576751	Chr4A	404240737	417102512	17	0.9995882352941176
Chr4A	421807811	507495678	Chr4A	419350309	504263777	415	0.9983927710843374
Chr4A	509609425	641040255	Chr4A	506376404	635337514	1475	0.9974386440677966
Chr4A	660295931	672018864	Chr4A	651122746	663287248	124	0.9929193548387097
Chr4A	688562054	731742586	Chr4A	680335093	719995995	334	0.9902694610778443
Chr4A	736080325	754162718	Chr4A	720133387	736392457	205	0.9860682926829268
