cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr4D	410644	141272747	Chr4D	109539	140925441	1416	0.9988220338983052
Chr4D	143939177	159173700	Chr4D	143582683	158794650	18	0.9949444444444444
Chr4D	163710731	183649096	Chr4D	163279852	183130309	27	0.9987037037037039
Chr4D	188969484	192971731	Chr4D	189716106	193698977	6	0.9996666666666666
Chr4D	195239705	198785582	Chr4D	195970996	199510094	7	0.9994285714285714
Chr4D	201663396	205088496	Chr4D	202716933	206207810	6	1.0
Chr4D	207160289	212424003	Chr4D	207342655	212505287	20	0.9995
Chr4D	214566503	228344802	Chr4D	214639791	228378662	23	0.998521739130435
Chr4D	230503918	238850566	Chr4D	230576715	238852032	10	0.9995
Chr4D	241150325	249170093	Chr4D	241142221	249226934	18	0.9993888888888889
Chr4D	251744642	256746015	Chr4D	251795852	256791287	7	0.999
Chr4D	259082246	261473317	Chr4D	259106281	261491736	6	1.0
Chr4D	264155329	268258812	Chr4D	264172543	268247721	7	0.9982857142857142
Chr4D	270831155	284417863	Chr4D	270825591	284360379	19	0.9966842105263158
Chr4D	286726699	329466878	Chr4D	286661182	329194066	223	0.999188340807175
Chr4D	331779306	375686787	Chr4D	331478344	375258574	302	0.9991324503311259
Chr4D	377775997	410310201	Chr4D	377334922	409829224	236	0.999313559322034
Chr4D	412602740	505667658	Chr4D	410578246	504219337	1084	0.9990276752767527
