cs_chr	cs_start	cs_end	tgt_chr	tgt_start	tgt_end	n_anchors	mean_identity
Chr1B	170123	31339892	Chr1B	167757	28104978	357	0.9890084033613445
Chr1B	34045861	38402288	Chr1B	29382940	34019160	30	0.9920333333333334
Chr1B	40611674	81974218	Chr1B	35190553	74805615	257	0.9919844357976654
Chr1B	86636879	91210816	Chr1B	80002509	84548038	15	0.9871999999999999
Chr1B	93460686	224268457	Chr1B	86839352	216459126	588	0.9986938775510203
Chr1B	228391742	229909223	Chr1B	220685069	222179265	5	0.9998000000000001
Chr1B	234262367	237708948	Chr1B	226788548	230222169	7	0.9995714285714286
Chr1B	246841035	249142619	Chr1B	238928042	241239375	6	1.0
Chr1B	251958660	272283175	Chr1B	247337663	267920451	43	0.9992093023255816
Chr1B	274419536	296088628	Chr1B	270032742	291584764	79	0.9994683544303797
Chr1B	298738700	298817103	Chr1B	294175482	294254043	5	0.9945999999999999
Chr1B	301350787	324212763	Chr1B	296724144	323965789	87	0.9858735632183908
Chr1B	328393948	351604954	Chr1B	324670678	349430019	150	0.9945866666666666
Chr1B	353618922	666930400	Chr1B	350577753	657309752	2234	0.9952766338406447
Chr1B	669547486	689795220	Chr1B	657512023	677780201	266	0.9902744360902256
Chr1B	692429531	698859931	Chr1B	678393755	684922308	53	0.9897169811320753
