cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr5B	18593	150623157	Chr5B	263107	146220173	928	0.994697198275862
Chr5B	158568371	169148558	Chr7B	534061309	545142813	17	0.9981176470588236
Chr5B	193712534	194129805	Chr7B	510740345	511167429	3	0.9986666666666667
Chr5B	222313523	239465934	Chr7B	463955208	481409331	69	0.9955942028985507
Chr5B	241488361	344742710	Chr7B	359540283	462146460	573	0.9974816753926702
Chr5B	346985936	386215007	Chr7B	318094332	357307319	215	0.9980093023255814
Chr5B	389314561	483402642	Chr7B	220787815	317798261	780	0.9959025641025642
Chr5B	485998388	487627654	Chr7B	217307611	218182759	5	0.9841999999999999
Chr5B	501872784	705342790	Chr7B	9599912	203155122	1987	0.9895681932561651
Chr5B	707839366	712641585	Chr7B	2261909	7104464	70	0.996457142857143
