gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	SY_Mattis_tgt_strand	SY_Mattis_tgt_midpoint	SY_Mattis_coverage	SY_Mattis_identity	segment
gene:TraesCS3B03G0000300	Chr3B	73825	74249	-	74037	Chr3B	51403	51827	-	51615	1.0	0.995	collinear
gene:TraesCS3B03G0000600	Chr3B	239266	241105	+	240185	Chr3B	195616	197481	+	196548	0.994	0.974	collinear
gene:TraesCS3B03G0000700	Chr3B	244156	244849	+	244502	Chr3B	200524	201217	+	200870	1.0	0.989	collinear
gene:TraesCS3B03G0000800	Chr3B	246094	246695	-	246394	Chr3B	202451	202998	-	202724	1.0	0.973	collinear
gene:TraesCS3B03G0000900	Chr3B	268852	271443	-	270147	Chr3B	224944	227493	-	226218	0.972	0.945	collinear
gene:TraesCS3B03G0001000	Chr3B	375283	376618	+	375950	Chr3B	351819	353150	+	352484	0.997	0.994	collinear
gene:TraesCS3B03G0001100	Chr3B	388009	388991	+	388500	Chr3B	355839	356824	+	356331	1.0	0.991	collinear
gene:TraesCS3B03G0002800	Chr3B	855999	856555	+	856277	Chr3B	1014562	1015114	+	1014838	0.977	0.94	collinear
gene:TraesCS3B03G0003000	Chr3B	859122	864220	-	861671	Chr3B	1017716	1022666	-	1020191	0.977	0.925	collinear
gene:TraesCS3B03G0004000	Chr3B	1309880	1313738	-	1311809	Chr3B	1332815	1336745	-	1334780	0.999	0.982	collinear
gene:TraesCS3B03G0004300	Chr3B	1602640	1607005	+	1604822	Chr3B	1577613	1581983	+	1579798	0.994	0.99	collinear
gene:TraesCS3B03G0004400	Chr3B	1638604	1641896	-	1640250	Chr3B	1650062	1653357	-	1651709	0.998	0.994	collinear
gene:TraesCS3B03G0004600	Chr3B	1708407	1711540	-	1709973	Chr3B	1724275	1727408	-	1725841	1.0	0.999	collinear
gene:TraesCS3B03G0004800	Chr3B	1754066	1758349	-	1756207	Chr3B	1769326	1773609	-	1771467	1.0	1.0	collinear
gene:TraesCS3B03G0004900	Chr3B	1761903	1763502	+	1762702	Chr3B	1777195	1778794	+	1777994	1.0	1.0	collinear
gene:TraesCS3B03G0005100	Chr3B	2229591	2231019	+	2230305	Chr3B	2237420	2238848	+	2238134	1.0	0.999	collinear
gene:TraesCS3B03G0005200	Chr3B	2238754	2241107	-	2239930	Chr3B	2246583	2248936	-	2247759	1.0	1.0	collinear
gene:TraesCS3B03G0005300	Chr3B	2251630	2253405	-	2252517	Chr3B	2259551	2261326	-	2260438	1.0	0.997	collinear
gene:TraesCS3B03G0005600	Chr3B	2279997	2282921	-	2281459	Chr3B	2476458	2479382	+	2477920	1.0	0.971	collinear
gene:TraesCS3B03G0005700	Chr3B	2296800	2299629	-	2298214	Chr3B	2443810	2446642	+	2445226	1.0	0.969	collinear
gene:TraesCS3B03G0005800	Chr3B	2305509	2308573	-	2307041	Chr3B	2431213	2434325	+	2432769	0.996	0.908	collinear
gene:TraesCS3B03G0006100	Chr3B	2390285	2392680	-	2391482	Chr3B	2334215	2336611	+	2335413	1.0	0.994	collinear
gene:TraesCS3B03G0006400	Chr3B	2414282	2422889	+	2418585	Chr3B	2308321	2317067	-	2312694	1.0	0.935	collinear
gene:TraesCS3B03G0006500	Chr3B	2431101	2434170	+	2432635	Chr3B	2296481	2299551	-	2298016	1.0	0.997	collinear
gene:TraesCS3B03G0006600	Chr3B	2442622	2445483	+	2444052	Chr3B	2284560	2287417	-	2285988	0.995	0.991	collinear
gene:TraesCS3B03G0006700	Chr3B	2457176	2459341	+	2458258	Chr3B	2270766	2272929	-	2271847	1.0	0.992	collinear
gene:TraesCS3B03G0007900	Chr3B	2607986	2611253	+	2609619	Chr3B	2559860	2563543	+	2561701	1.0	0.983	collinear
gene:TraesCS3B03G0008000	Chr3B	2618273	2621910	+	2620091	Chr3B	2570629	2574274	+	2572451	1.0	0.992	collinear
gene:TraesCS3B03G0008200	Chr3B	2625685	2627229	+	2626457	Chr3B	2578617	2580165	+	2579391	1.0	0.983	collinear
gene:TraesCS3B03G0008300	Chr3B	2637952	2639202	+	2638577	Chr3B	2582487	2583737	+	2583112	1.0	0.967	collinear
gene:TraesCS3B03G0008500	Chr3B	2644992	2648624	+	2646808	Chr3B	2646102	2649530	+	2647816	0.919	0.901	collinear
gene:TraesCS3B03G0008700	Chr3B	2650047	2654817	+	2652432	Chr3B	2653347	2658577	+	2655962	0.986	0.929	collinear
gene:TraesCS3B03G0008900	Chr3B	3142976	3145283	+	3144129	Chr3B	2891597	2893783	+	2892690	0.983	0.902	collinear
gene:TraesCS3B03G0010000	Chr3B	3288829	3291388	-	3290108	Chr3B	2999633	3002192	-	3000912	1.0	0.997	collinear
gene:TraesCS3B03G0010400	Chr3B	3319309	3319678	-	3319493	Chr3B	3031231	3031600	-	3031415	1.0	1.0	collinear
gene:TraesCS3B03G0010500	Chr3B	3329965	3331410	-	3330687	Chr3B	3041888	3043333	-	3042610	1.0	1.0	collinear
gene:TraesCS3B03G0010600	Chr3B	3343534	3343869	-	3343701	Chr3B	3055117	3055452	-	3055284	1.0	1.0	collinear
gene:TraesCS3B03G0010700	Chr3B	3351732	3352420	+	3352076	Chr3B	3063308	3063996	+	3063652	1.0	0.992	collinear
gene:TraesCS3B03G0011100	Chr3B	3390928	3392733	-	3391830	Chr3B	3102477	3104281	-	3103379	1.0	0.997	collinear
gene:TraesCS3B03G0011200	Chr3B	3456099	3457541	+	3456820	Chr3B	3169263	3170749	+	3170006	0.999	0.954	collinear
gene:TraesCS3B03G0011700	Chr3B	3476475	3479401	+	3477938	Chr3B	3199054	3201981	+	3200517	1.0	1.0	collinear
gene:TraesCS3B03G0011800	Chr3B	3481462	3493401	+	3487431	Chr3B	3204042	3215981	+	3210011	1.0	0.999	collinear
gene:TraesCS3B03G0011900	Chr3B	3509554	3512426	-	3510990	Chr3B	3232215	3235087	-	3233651	1.0	1.0	collinear
gene:TraesCS3B03G0012000	Chr3B	3519251	3522305	+	3520778	Chr3B	3241914	3244968	+	3243441	1.0	1.0	collinear
gene:TraesCS3B03G0012100	Chr3B	3524408	3531567	-	3527987	Chr3B	3247071	3254231	-	3250651	1.0	0.999	collinear
gene:TraesCS3B03G0012200	Chr3B	3646467	3646898	+	3646682	Chr3B	3321020	3321451	+	3321235	1.0	0.997	collinear
gene:TraesCS3B03G0012700	Chr3B	3750107	3752530	+	3751318	Chr3B	3387053	3389476	+	3388264	1.0	0.983	collinear
gene:TraesCS3B03G0012800	Chr3B	3758382	3758978	-	3758680	Chr3B	3395160	3395755	-	3395457	0.997	0.995	collinear
gene:TraesCS3B03G0012900	Chr3B	3760385	3761643	-	3761014	Chr3B	3397162	3398409	-	3397785	0.99	0.987	collinear
gene:TraesCS3B03G0013400	Chr3B	3821480	3821881	+	3821680	Chr3B	3422287	3422688	+	3422487	1.0	0.98	collinear
gene:TraesCS3B03G0013500	Chr3B	3852505	3853085	+	3852795	Chr3B	3442177	3442751	+	3442464	0.987	0.962	collinear
gene:TraesCS3B03G0013600	Chr3B	3877659	3878072	+	3877865	Chr3B	3449688	3450101	+	3449894	1.0	0.983	collinear
gene:TraesCS3B03G0014100	Chr3B	3975265	3975989	+	3975627	Chr3B	3538058	3538783	+	3538420	1.0	0.972	collinear
gene:TraesCS3B03G0014400	Chr3B	3982981	3987045	-	3985013	Chr3B	3546294	3550331	-	3548312	1.0	0.995	collinear
gene:TraesCS3B03G0014500	Chr3B	4042103	4049664	+	4045883	Chr3B	3603851	3611111	+	3607481	0.999	0.997	collinear
gene:TraesCS3B03G0014700	Chr3B	4088058	4088845	-	4088451	Chr3B	3649526	3650313	-	3649919	1.0	1.0	collinear
gene:TraesCS3B03G0014800	Chr3B	4094363	4094890	-	4094626	Chr3B	3655831	3656358	-	3656094	1.0	1.0	collinear
gene:TraesCS3B03G0014900	Chr3B	4102252	4103050	+	4102651	Chr3B	3663103	3663901	+	3663502	1.0	1.0	collinear
gene:TraesCS3B03G0015000	Chr3B	4129338	4130978	-	4130158	Chr3B	3689303	3690943	-	3690123	1.0	1.0	collinear
gene:TraesCS3B03G0015500	Chr3B	4396775	4398430	+	4397602	Chr3B	3956861	3958517	+	3957689	1.0	0.998	collinear
gene:TraesCS3B03G0015700	Chr3B	4408492	4410230	-	4409361	Chr3B	3968639	3970377	-	3969508	1.0	1.0	collinear
gene:TraesCS3B03G0015800	Chr3B	4412479	4415438	-	4413958	Chr3B	3972626	3975585	-	3974105	1.0	1.0	collinear
