cs_chr	cs_start	cs_end	tgt_chr	tgt_start	tgt_end	n_anchors	mean_identity
Chr6A	121639	165560133	Chr6A	121723	160897434	1409	0.9913399574166075
Chr6A	169123596	174751019	Chr6A	164440998	170099352	30	0.9996333333333335
Chr6A	177010402	237636332	Chr6A	172357794	232514993	204	0.9989460784313726
Chr6A	243810148	244731119	Chr6A	238685239	239604494	3	1.0
Chr6A	251103689	255370132	Chr6A	246016132	250287066	8	1.0
Chr6A	257566273	264313435	Chr6A	252390038	259140379	21	0.9998095238095239
Chr6A	266482395	275860435	Chr6A	261311493	270837965	22	0.9997727272727274
Chr6A	278883582	290338890	Chr6A	273809224	285130154	15	0.9997333333333334
Chr6A	293863739	309840773	Chr6A	288649419	304652427	18	0.9998333333333334
Chr6A	312491754	319731587	Chr6A	307276410	314439005	9	0.9996666666666667
Chr6A	323819925	326827584	Chr6A	318493747	321460695	8	0.9995
Chr6A	328915123	332571498	Chr6A	323542755	327189904	6	1.0
Chr6A	334687288	346665213	Chr6A	329304269	341218021	16	0.995125
Chr6A	349035941	349057392	Chr6A	343591069	343612520	3	1.0
Chr6A	354380382	355885891	Chr6A	348886302	350389562	4	0.9977499999999999
Chr6A	357954045	528672379	Chr6A	352432651	522058835	861	0.9986957026713124
Chr6A	531482801	622584375	Chr6A	522091265	614336087	1150	0.9943478260869565
