cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr3A	28273	140281429	Chr3A	892949	135920846	1369	0.9954981738495252
Chr3A	142385461	192745740	Chr3A	138027983	187746080	216	0.9981620370370371
Chr3A	195861474	263087799	Chr3A	190851283	257547483	205	0.9992097560975609
Chr3A	270762150	278734659	Chr3A	265152189	273009165	12	0.9978333333333333
Chr3A	280899243	284859700	Chr3A	275157380	279060076	6	0.9991666666666666
Chr3A	286968946	294756278	Chr3A	281186309	288942517	7	0.9998571428571428
Chr3A	302081152	305236714	Chr3A	296836341	299984634	5	0.999
Chr3A	307569651	328087198	Chr3A	302319117	322814984	26	0.9996538461538461
Chr3A	333521289	349096037	Chr3A	329342495	344920944	29	0.9989999999999999
Chr3A	351562540	354510700	Chr3A	347310621	350256882	8	0.9998750000000001
Chr3A	357146906	360275758	Chr3A	352873151	355986637	6	0.9998333333333335
Chr3A	362401176	708981052	Chr3A	358072371	702572095	2544	0.9974033018867925
Chr3A	711285979	754027567	Chr3A	705433681	749135255	485	0.9910123711340205
