gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	tgt_chr	tgt_start	tgt_end	tgt_strand	tgt_midpoint	coverage	identity	segment
gene:TraesCS3A03G0000100	Chr3A	26146	30400	+	28273	Chr3A	890831	895067	+	892949	1.0	0.994	collinear
gene:TraesCS3A03G0000200	Chr3A	53676	57493	-	55584	Chr3A	918531	922356	-	920443	1.0	0.993	collinear
gene:TraesCS3A03G0000600	Chr3A	170523	170900	+	170711	Chr3A	1064630	1065007	+	1064818	1.0	0.994	collinear
gene:TraesCS3A03G0002400	Chr3A	721607	725654	-	723630	Chr3A	1583025	1587073	-	1585049	1.0	0.998	collinear
gene:TraesCS3A03G0002600	Chr3A	730535	733253	-	731894	Chr3A	1591954	1594672	-	1593313	1.0	1.0	collinear
gene:TraesCS3A03G0002700	Chr3A	747197	753779	+	750488	Chr3A	1635829	1642410	+	1639119	1.0	1.0	collinear
gene:TraesCS3A03G0002800	Chr3A	762529	765599	+	764064	Chr3A	1651156	1654226	+	1652691	1.0	1.0	collinear
gene:TraesCS3A03G0003000	Chr3A	954676	957962	+	956319	Chr3A	1842708	1845994	+	1844351	1.0	1.0	collinear
gene:TraesCS3A03G0003300	Chr3A	983733	985531	+	984632	Chr3A	1871478	1873276	+	1872377	1.0	0.999	collinear
gene:TraesCS3A03G0003600	Chr3A	1030844	1033134	+	1031989	Chr3A	1918793	1921083	+	1919938	1.0	1.0	collinear
gene:TraesCS3A03G0003900	Chr3A	1064790	1066982	+	1065886	Chr3A	1952710	1954902	+	1953806	1.0	1.0	collinear
gene:TraesCS3A03G0004000	Chr3A	1075288	1077959	+	1076623	Chr3A	1963460	1966131	+	1964795	1.0	1.0	collinear
gene:TraesCS3A03G0004800	Chr3A	1608981	1609485	+	1609233	Chr3A	2331600	2332107	+	2331853	1.0	0.984	collinear
gene:TraesCS3A03G0004900	Chr3A	1614046	1614462	+	1614254	Chr3A	2337941	2338357	+	2338149	1.0	1.0	collinear
gene:TraesCS3A03G0005000	Chr3A	1668456	1668815	+	1668635	Chr3A	2383580	2383936	+	2383758	0.991	0.991	collinear
gene:TraesCS3A03G0005300	Chr3A	1686660	1687091	+	1686875	Chr3A	2400288	2400714	+	2400501	0.981	0.96	collinear
gene:TraesCS3A03G0005500	Chr3A	1712162	1713083	+	1712622	Chr3A	2410952	2411873	+	2411412	1.0	0.991	collinear
gene:TraesCS3A03G0006000	Chr3A	1805228	1805714	-	1805471	Chr3A	2558175	2558661	-	2558418	1.0	0.996	collinear
gene:TraesCS3A03G0006800	Chr3A	1872412	1874269	+	1873340	Chr3A	2695274	2697131	+	2696202	1.0	0.989	collinear
gene:TraesCS3A03G0007300	Chr3A	1881511	1881988	+	1881749	Chr3A	2705579	2706056	+	2705817	1.0	0.995	collinear
gene:TraesCS3A03G0007400	Chr3A	1888827	1889429	+	1889128	Chr3A	2712032	2712634	+	2712333	1.0	0.993	collinear
gene:TraesCS3A03G0007800	Chr3A	1975660	1976366	+	1976013	Chr3A	2897264	2897946	+	2897605	0.966	0.927	collinear
gene:TraesCS3A03G0007900	Chr3A	1986188	1988425	-	1987306	Chr3A	2915191	2917434	-	2916312	1.0	0.954	collinear
gene:TraesCS3A03G0008000	Chr3A	1993217	1993959	+	1993588	Chr3A	2931057	2931799	+	2931428	0.998	0.989	collinear
gene:TraesCS3A03G0008400	Chr3A	2008922	2012376	+	2010649	Chr3A	2937440	2940896	+	2939168	1.0	0.994	collinear
gene:TraesCS3A03G0009000	Chr3A	2524157	2524527	+	2524342	Chr3A	3815624	3815994	+	3815809	1.0	0.963	collinear
gene:TraesCS3A03G0009100	Chr3A	2692803	2693503	+	2693153	Chr3A	4007447	4008149	+	4007798	0.998	0.957	collinear
gene:TraesCS3A03G0009500	Chr3A	2986222	2986840	+	2986531	Chr3A	4052042	4052645	+	4052343	1.0	0.969	collinear
gene:TraesCS3A03G0009600	Chr3A	3003041	3003623	+	3003332	Chr3A	3886166	3886748	+	3886457	1.0	0.973	collinear
gene:TraesCS3A03G0010200	Chr3A	3503928	3504623	+	3504275	Chr3A	3572919	3573612	+	3573265	0.996	0.975	collinear
gene:TraesCS3A03G0010900	Chr3A	4550825	4551422	+	4551123	Chr3A	3242842	3243437	+	3243139	0.995	0.981	collinear
gene:TraesCS3A03G0011400	Chr3A	5573411	5574099	+	5573755	Chr3A	2968726	2969415	+	2969070	1.0	0.966	collinear
gene:TraesCS3A03G0014100	Chr3A	7195252	7195989	-	7195620	Chr3A	4401369	4402106	-	4401737	1.0	0.982	collinear
gene:TraesCS3A03G0014200	Chr3A	7201106	7201878	-	7201492	Chr3A	4410957	4411737	-	4411347	1.0	0.982	collinear
gene:TraesCS3A03G0014600	Chr3A	7271218	7272481	-	7271849	Chr3A	4446726	4447989	-	4447357	1.0	0.993	collinear
gene:TraesCS3A03G0014700	Chr3A	7285296	7286069	-	7285682	Chr3A	4462145	4462918	-	4462531	1.0	0.983	collinear
