gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	tgt_chr	tgt_start	tgt_end	tgt_strand	tgt_midpoint	coverage	identity	segment
gene:TraesCS5B03G0000300	Chr5B	16033	21153	+	18593	Chr5B	4418448	4423596	-	4421022	0.998	0.981	collinear
gene:TraesCS5B03G0000800	Chr5B	85900	87414	-	86657	Chr5B	4379204	4380720	+	4379962	1.0	0.994	collinear
gene:TraesCS5B03G0000900	Chr5B	208601	214218	+	211409	Chr5B	4250122	4255745	-	4252933	0.998	0.996	collinear
gene:TraesCS5B03G0001100	Chr5B	214767	217901	-	216334	Chr5B	4246446	4249600	+	4248023	0.991	0.972	collinear
gene:TraesCS5B03G0001200	Chr5B	227704	231809	+	229756	Chr5B	4225656	4229794	-	4227725	0.999	0.989	collinear
gene:TraesCS5B03G0001300	Chr5B	606261	606584	-	606422	Chr5B	3670457	3670780	-	3670618	1.0	0.993	collinear
gene:TraesCS5B03G0001600	Chr5B	1005121	1009642	+	1007381	Chr5B	5010787	5015250	-	5013018	1.0	0.984	collinear
gene:TraesCS5B03G0001800	Chr5B	1110422	1112273	-	1111347	Chr5B	4886371	4888224	+	4887297	1.0	0.994	collinear
gene:TraesCS5B03G0001900	Chr5B	1209448	1212378	+	1210913	Chr5B	4870128	4873067	-	4871597	1.0	0.989	collinear
gene:TraesCS5B03G0002900	Chr5B	2118597	2118959	-	2118778	Chr5B	262926	263288	-	263107	1.0	0.997	collinear
gene:TraesCS5B03G0003000	Chr5B	2119731	2120270	+	2120000	Chr5B	264060	264599	+	264329	1.0	1.0	collinear
gene:TraesCS5B03G0003200	Chr5B	2256442	2262369	+	2259405	Chr5B	400350	406277	+	403313	1.0	1.0	collinear
gene:TraesCS5B03G0003500	Chr5B	2311597	2312335	+	2311966	Chr5B	455451	456189	+	455820	1.0	1.0	collinear
gene:TraesCS5B03G0003700	Chr5B	2316821	2328979	+	2322900	Chr5B	460677	472894	+	466785	1.0	1.0	collinear
gene:TraesCS5B03G0003800	Chr5B	2702541	2703727	-	2703134	Chr5B	845545	846731	-	846138	1.0	1.0	collinear
