cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr2B	31439	2963150	Chr2B	6995455	8789027	31	0.9754193548387096
Chr2B	9691966	11422106	Chr2B	109280	1542776	24	0.9920833333333334
Chr2B	61672115	62549843	Chr2B	52333382	53211309	13	0.9987692307692307
Chr2B	304188148	304609294	Chr2B	303953957	304353129	5	0.9996
Chr2B	311093602	313513906	Chr2B	297491714	299906986	5	0.9996
Chr2B	2935972	9232770	Chr2B	1717132	6076507	67	0.9758955223880595
Chr2B	12877847	135034479	Chr2B	8939547	131953807	1078	0.9918487940630798
Chr2B	137271666	211003478	Chr2B	134090542	206104575	549	0.9932714025500912
Chr2B	213718220	248272484	Chr2B	206202390	240915915	204	0.9963431372549019
Chr2B	250482935	283157104	Chr2B	243374715	276028317	142	0.9969788732394366
Chr2B	285496966	303738486	Chr2B	278353604	296414742	24	0.9992083333333334
Chr2B	318431746	331681179	Chr2B	311041728	323999325	17	0.9999411764705883
Chr2B	333809245	346552298	Chr2B	326134857	338777034	21	0.999904761904762
Chr2B	348999066	355740303	Chr2B	341230975	347877570	8	1.0
Chr2B	360072831	363706950	Chr2B	351283559	358075197	5	1.0
Chr2B	365734406	811027199	Chr2B	360059794	799114860	3141	0.9935523718560968
