cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr3B	74037	6805777	Chr3B	51615	6281034	109	0.9871100917431191
Chr3B	10012714	33498295	Chr3B	3667149	31766365	308	0.9873571428571428
Chr3B	35804253	35821190	Chr3B	32970062	32987026	8	0.99975
Chr3B	38137652	97070979	Chr3B	34789039	91013046	545	0.9943229357798165
Chr3B	99457041	202823600	Chr3B	93375692	196607953	579	0.9953920552677029
Chr3B	205225044	206704475	Chr3B	199099129	200635323	11	0.9943636363636362
Chr3B	209383926	219278363	Chr3B	203453885	213340947	67	0.9952686567164178
Chr3B	223825022	226529934	Chr3B	218189590	220686408	11	0.9939090909090911
Chr3B	230843333	241641396	Chr3B	223967640	237015832	50	0.99228
Chr3B	247259756	288293953	Chr3B	242475451	284280249	196	0.9954030612244898
Chr3B	295003050	296080909	Chr3B	291113872	292226756	4	0.9985
Chr3B	301146877	307711148	Chr3B	292410773	302901592	7	0.9914285714285714
Chr3B	310640808	329207761	Chr3B	306353158	326343134	22	0.9969545454545454
Chr3B	333847811	344948054	Chr3B	330999854	342643886	19	0.9929473684210526
Chr3B	352247049	355732625	Chr3B	345092402	348361259	7	0.9964285714285713
Chr3B	363586354	368667322	Chr3B	357836558	362992753	10	0.9968999999999999
Chr3B	371069888	375781155	Chr3B	368600075	373386398	10	0.9959
Chr3B	378145074	416556469	Chr3B	375718882	414193648	158	0.9957911392405066
Chr3B	418922290	479798592	Chr3B	414457919	475103805	362	0.9979198895027623
Chr3B	482733323	527781257	Chr3B	479086908	520676392	248	0.9936854838709678
Chr3B	534283586	848049641	Chr3B	520724938	835437116	2583	0.9951370499419281
Chr3B	850175911	851872904	Chr3B	835581101	838059255	19	0.9932105263157894
