cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr4A	54108293	55573973	Chr4A	65933357	67425208	5	0.9975999999999999
Chr4A	64957558	68154764	Chr4A	78296540	81478114	25	0.99268
Chr4A	79053091	80857577	Chr4A	54415126	56304685	8	0.999
Chr4A	270325461	282083530	Chr4A	276354832	289419760	16	0.9996875000000001
Chr4A	284630458	300457856	Chr4A	252725995	304096131	18	0.9993888888888889
Chr4A	306317948	314684131	Chr4A	261193633	269493521	54	0.9990925925925926
Chr4A	320272231	327753355	Chr4A	226772881	234203329	14	0.9978571428571429
Chr4A	82701	52611541	Chr4A	544228	52974135	558	0.9960931899641576
Chr4A	55915945	64573687	Chr4A	56697767	65570196	73	0.9961780821917807
Chr4A	68459564	78765803	Chr4A	67726714	78016051	72	0.9945416666666667
Chr4A	81276884	130504034	Chr4A	81846761	130914775	279	0.9952508960573475
Chr4A	132701921	137185419	Chr4A	132952869	137311612	36	0.9958055555555555
Chr4A	153255637	192628546	Chr4A	137469392	176222001	126	0.9994999999999999
Chr4A	196572438	220022826	Chr4A	176885008	200214363	42	0.9997857142857143
Chr4A	222107768	222562036	Chr4A	202292610	202741245	3	1.0
Chr4A	225313869	227091476	Chr4A	205460678	207220735	4	1.0
Chr4A	229493172	242884659	Chr4A	209646700	223041788	21	0.9998095238095239
Chr4A	245258976	246711649	Chr4A	225398241	234739483	9	0.9998888888888889
Chr4A	248831802	263897149	Chr4A	236872342	251818975	21	0.9991428571428571
Chr4A	317080714	319832516	Chr4A	305529108	308275518	3	1.0
Chr4A	331630535	334268011	Chr4A	308857784	311524292	3	0.999
Chr4A	338745706	350244063	Chr4A	315949303	327266648	23	0.9998260869565219
Chr4A	352270324	353874280	Chr4A	329395401	330989130	4	1.0
Chr4A	356554191	359638234	Chr4A	333636938	336656850	6	0.9998333333333335
Chr4A	362089683	365639149	Chr4A	339086411	342642151	5	1.0
Chr4A	373805571	387104269	Chr4A	352510116	365741046	15	0.9996666666666667
Chr4A	389242085	390892975	Chr4A	367863210	369488395	3	1.0
Chr4A	395027325	398506001	Chr4A	373584567	383631276	6	1.0
Chr4A	400757887	401303656	Chr4A	385855652	386406768	3	0.999
Chr4A	407610912	420517232	Chr4A	392653099	405521321	17	0.9997647058823529
Chr4A	422761993	488536004	Chr4A	407750718	472271945	294	0.9972380952380951
Chr4A	500116016	508494353	Chr4A	472830250	481169765	58	0.9999310344827587
Chr4A	510639254	640251082	Chr4A	483279985	619470111	1400	0.9970785714285715
Chr4A	660452726	672409210	Chr4A	631733367	644737533	136	0.99975
Chr4A	684471411	691468580	Chr4A	660768814	668922093	83	0.9976385542168675
Chr4A	695805975	724579482	Chr4A	669942208	699600453	247	0.9935101214574898
Chr4A	728429558	739649475	Chr4A	699839113	709451934	124	0.983024193548387
Chr4A	642186467	646781897	Chr4A	655216694	660688975	17	0.998529411764706
Chr4A	649146195	652186099	Chr4A	651900290	655057768	28	0.9998571428571429
Chr4A	655253275	660002056	Chr4A	645185720	650480392	43	1.0
