cs_chr	MOV_tgt_chr	n_anchors	MOV_mean_anchor_gap_Mb	MOV_interp_type	n_segments	MOV_mean_anchor_fraction
Chr1A	Chr1A+Chr1A+Chr1A	3925	0.092	linear+pchip_inverted+pchip_inverted	3	0.916
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B+Chr1B	3632	0.13	linear+linear+linear+linear+linear	5	0.784
Chr1D	Chr1D+Chr1D	3555	0.17	linear+pchip	2	0.819
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5044	0.279	linear+linear+linear+linear+linear+linear+pchip+linear	8	0.813
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	4590	0.207	linear+linear+linear+linear+linear	5	0.76
Chr2D	Chr2D+Chr2D+Chr2D+Chr2D	5233	0.199	linear+linear+pchip_inverted+linear	4	0.896
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A+Chr3A+Chr3A	4685	0.103	linear+pchip+pchip+linear+linear+linear	6	0.877
Chr3B	Chr3B	4551	0.183	linear	1	0.759
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D+Chr3D	4446	0.174	linear+linear+linear+linear+pchip	5	0.84
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	3910	0.324	linear+linear+linear+linear+linear+linear+linear	7	0.872
Chr4B	Chr4B+Chr4B	3115	0.168	linear+linear	2	0.759
Chr4D	Chr4D+Chr4D+Chr4D+Chr4D	3288	0.405	linear+linear+pchip+linear	4	0.88
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A+Chr5A+Chr5A	4981	0.127	linear+linear+linear+linear+linear+linear	6	0.917
Chr5B	Chr5B+Chr5B+Chr5B	3928	0.199	linear+linear+linear	3	0.724
Chr5D	Chr5D	4713	0.12	linear	1	0.829
Chr6A	Chr6A+Chr6A+Chr6A	3423	0.098	linear+linear+linear	3	0.858
Chr6B	Chr6B	3093	0.233	linear	1	0.611
Chr6D	Chr6D	3305	0.143	linear	1	0.823
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A+Chr7A+Chr7A	4900	0.115	linear+pchip_inverted+linear+linear+pchip_inverted+pchip_inverted	6	0.925
Chr7B	Chr7B+Chr7B+Chr7B	3930	0.204	linear+linear+linear	3	0.859
Chr7D	Chr7D+Chr7D+Chr7D+Chr7D	4983	0.186	linear+pchip+linear+pchip_inverted	4	0.932
