cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr3A	16208	1926689	Chr3A	84174	2567600	38	0.9979473684210526
Chr3A	6895728	78191477	Chr3A	2686183	73894473	925	0.992854054054054
Chr3A	81663820	85372130	Chr3A	74284248	77977147	25	0.99976
Chr3A	104416382	128718501	Chr3A	79216823	114474572	190	0.9985736842105264
Chr3A	130835529	181088605	Chr3A	116574908	166492491	215	0.9984744186046511
Chr3A	184214632	251342423	Chr3A	169596491	236738836	205	0.9997414634146342
Chr3A	259064196	260068507	Chr3A	244363966	245383098	4	0.99925
Chr3A	264036280	267056348	Chr3A	246614943	249612262	6	0.9965
Chr3A	269215500	273159995	Chr3A	251791709	255698250	6	0.9998333333333335
Chr3A	275284207	283103162	Chr3A	257823717	265575320	7	0.9998571428571428
Chr3A	290432064	293589663	Chr3A	273493213	276656535	5	0.9994
Chr3A	295949198	314620161	Chr3A	278996191	297485269	24	0.9998333333333335
Chr3A	335471237	337881732	Chr3A	302774911	305168353	7	0.9992857142857143
Chr3A	340259729	343231466	Chr3A	307555711	310490251	8	0.987625
Chr3A	345871376	349014829	Chr3A	313124259	316228236	6	0.9998333333333335
Chr3A	351126951	437875163	Chr3A	318331183	404991380	287	0.9989128919860627
Chr3A	467809459	545153837	Chr3A	405175019	482147878	556	0.9965773381294963
Chr3A	556260652	745081460	Chr3A	483138980	678175534	2046	0.9966681329423265
Chr3A	748078167	750618114	Chr3A	680412496	682339008	9	0.9907777777777778
