gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	MOV_tgt_strand	MOV_tgt_midpoint	MOV_coverage	MOV_identity	segment
gene:TraesCS2A02G000100	Chr2A	249837	258387	+	254112	Chr2A	243570	252118	+	247844	0.999	0.999	collinear
gene:TraesCS2A02G000200	Chr2A	258830	262973	-	260901	Chr2A	252561	256704	-	254632	1.0	1.0	collinear
gene:TraesCS2A02G000300	Chr2A	272124	273067	-	272595	Chr2A	265858	266801	-	266329	1.0	0.998	collinear
gene:TraesCS2A02G000400	Chr2A	278821	289215	+	284018	Chr2A	272559	282524	+	277541	1.0	1.0	collinear
gene:TraesCS2A02G000500	Chr2A	326106	327106	-	326606	Chr2A	319417	320416	-	319916	1.0	1.0	collinear
gene:TraesCS2A02G000600	Chr2A	389168	391345	+	390256	Chr2A	382183	384360	+	383271	1.0	0.999	collinear
gene:TraesCS2A02G000700	Chr2A	396124	400932	-	398528	Chr2A	389134	393930	-	391532	0.995	0.995	collinear
gene:TraesCS2A02G000800	Chr2A	473496	474573	-	474034	Chr2A	465048	466113	-	465580	1.0	1.0	collinear
gene:TraesCS2A02G000900	Chr2A	500410	504019	+	502214	Chr2A	491942	495551	+	493746	1.0	1.0	collinear
gene:TraesCS2A02G001000	Chr2A	512885	516471	+	514678	Chr2A	504416	508002	+	506209	1.0	0.999	collinear
gene:TraesCS2A02G001100	Chr2A	525386	528729	+	527057	Chr2A	516751	520094	+	518422	1.0	0.999	collinear
gene:TraesCS2A02G001200	Chr2A	529346	533102	-	531224	Chr2A	520711	524463	-	522587	1.0	1.0	collinear
gene:TraesCS2A02G001300	Chr2A	533300	536209	+	534754	Chr2A	527045	529954	+	528499	1.0	1.0	collinear
gene:TraesCS2A02G001400	Chr2A	562911	565826	-	564368	Chr2A	556377	559292	-	557834	1.0	1.0	collinear
