cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr5D	95790	30954893	Chr5D	582734	35941664	318	0.9992075471698113
Chr5D	44910449	96336487	Chr5D	36343241	87429249	418	0.9997488038277511
Chr5D	100547751	142906633	Chr5D	88224871	135187351	246	0.9995121951219512
Chr5D	150833053	156576868	Chr5D	142676500	148390221	5	0.9969999999999999
Chr5D	158804746	185200167	Chr5D	149357118	175605458	51	0.9986274509803922
Chr5D	196853980	216385960	Chr5D	162531386	203460670	89	0.9994606741573033
Chr5D	247612055	251423557	Chr5D	203899662	207674299	21	1.0
Chr5D	257124132	349378142	Chr5D	208200945	300448584	734	0.9995040871934604
Chr5D	360049746	375065607	Chr5D	301113151	316233580	177	0.9984011299435029
Chr5D	378474191	459315492	Chr5D	316361320	399368798	1131	0.9995083996463306
Chr5D	462361878	557577765	Chr5D	399663413	500260344	1469	0.9977624234172908
Chr5D	563121491	565976360	Chr5D	496839616	499968315	53	0.9998490566037735
