gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	MOV_tgt_strand	MOV_tgt_midpoint	MOV_coverage	MOV_identity	segment
gene:TraesCS4B02G000300	Chr4B	233604	235207	-	234405	Chr4B	250161	251727	-	250944	0.958	0.922	collinear
gene:TraesCS4B02G000400	Chr4B	235554	237151	-	236352	Chr4B	252074	253671	-	252872	1.0	0.998	collinear
gene:TraesCS4B02G000500	Chr4B	536859	540040	-	538449	Chr4B	1426041	1429259	+	1427650	0.98	0.925	collinear
gene:TraesCS4B02G000600	Chr4B	556850	559568	-	558209	Chr4B	1416259	1418981	+	1417620	1.0	0.995	collinear
gene:TraesCS4B02G000700	Chr4B	593305	593700	+	593502	Chr4B	1373432	1373818	-	1373625	0.977	0.972	collinear
gene:TraesCS4B02G000800	Chr4B	606792	608698	-	607745	Chr4B	1367226	1369136	+	1368181	1.0	0.994	collinear
gene:TraesCS4B02G000900	Chr4B	621192	623232	-	622212	Chr4B	1271518	1273456	+	1272487	0.98	0.968	collinear
gene:TraesCS4B02G001000	Chr4B	639894	640937	-	640415	Chr4B	1253748	1254791	+	1254269	0.997	0.968	collinear
gene:TraesCS4B02G001100	Chr4B	652667	654439	-	653553	Chr4B	1240522	1242292	+	1241407	0.998	0.997	collinear
gene:TraesCS4B02G001200	Chr4B	804929	806039	-	805484	Chr4B	1126278	1127450	+	1126864	0.996	0.922	collinear
gene:TraesCS4B02G001300	Chr4B	807708	809435	+	808571	Chr4B	1122882	1124609	-	1123745	0.999	0.998	collinear
gene:TraesCS4B02G001400	Chr4B	811058	811978	-	811518	Chr4B	1120414	1121334	+	1120874	1.0	0.996	collinear
gene:TraesCS4B02G001500	Chr4B	824217	826230	-	825223	Chr4B	1106579	1108544	+	1107561	0.975	0.973	collinear
gene:TraesCS4B02G001600	Chr4B	1046619	1049898	-	1048258	Chr4B	909408	912689	+	911048	1.0	0.994	collinear
gene:TraesCS4B02G001700	Chr4B	1055642	1057009	+	1056325	Chr4B	893851	895224	-	894537	1.0	0.967	collinear
gene:TraesCS4B02G001800	Chr4B	1055540	1057158	-	1056349	Chr4B	893702	895326	+	894514	1.0	0.972	collinear
gene:TraesCS4B02G001900	Chr4B	1080301	1080693	-	1080497	Chr4B	870241	870630	+	870435	0.992	0.966	collinear
gene:TraesCS4B02G002000	Chr4B	1101906	1102898	+	1102402	Chr4B	848390	849406	-	848898	1.0	0.974	collinear
gene:TraesCS4B02G002100	Chr4B	1135933	1136559	+	1136246	Chr4B	816597	817223	-	816910	1.0	0.99	collinear
gene:TraesCS4B02G002200	Chr4B	1198805	1199422	-	1199113	Chr4B	766597	767226	+	766911	1.0	0.973	collinear
gene:TraesCS4B02G002300	Chr4B	1243148	1246366	-	1244757	Chr4B	732176	735421	+	733798	0.998	0.984	collinear
gene:TraesCS4B02G002400	Chr4B	1257749	1263057	+	1260403	Chr4B	713857	719187	-	716522	1.0	0.992	collinear
gene:TraesCS4B02G002500	Chr4B	1264008	1265225	-	1264616	Chr4B	711222	712436	+	711829	0.985	0.97	collinear
gene:TraesCS4B02G002600	Chr4B	1316142	1320257	+	1318199	Chr4B	656768	660903	-	658835	1.0	0.991	collinear
gene:TraesCS4B02G002700	Chr4B	1321134	1325121	-	1323127	Chr4B	651957	655895	+	653926	0.985	0.985	collinear
gene:TraesCS4B02G002800	Chr4B	1696842	1698167	+	1697504	Chr4B	2040157	2041460	+	2040808	0.969	0.944	collinear
gene:TraesCS4B02G002900	Chr4B	1768549	1772568	+	1770558	Chr4B	2091457	2095482	+	2093469	1.0	0.999	collinear
gene:TraesCS4B02G003000	Chr4B	1774015	1778545	+	1776280	Chr4B	2096929	2101332	+	2099130	1.0	1.0	collinear
gene:TraesCS4B02G003100	Chr4B	1780942	1785316	+	1783129	Chr4B	2103584	2107958	+	2105771	1.0	0.999	collinear
gene:TraesCS4B02G003200	Chr4B	1786160	1790191	+	1788175	Chr4B	2108802	2112833	+	2110817	1.0	0.999	collinear
gene:TraesCS4B02G003300	Chr4B	1851740	1855595	+	1853667	Chr4B	2172987	2176842	+	2174914	1.0	1.0	collinear
gene:TraesCS4B02G003500	Chr4B	2035618	2039760	-	2037689	Chr4B	2211771	2215838	-	2213804	0.988	0.971	collinear
gene:TraesCS4B02G003600	Chr4B	2148325	2150431	+	2149378	Chr4B	2707717	2709823	+	2708770	1.0	0.997	collinear
gene:TraesCS4B02G003700	Chr4B	2335092	2336432	-	2335762	Chr4B	2906090	2907430	-	2906760	1.0	1.0	collinear
gene:TraesCS4B02G003800	Chr4B	2379393	2380168	-	2379780	Chr4B	2949048	2949823	-	2949435	1.0	0.998	collinear
gene:TraesCS4B02G003900	Chr4B	2435353	2436499	+	2435926	Chr4B	3004291	3005437	+	3004864	1.0	0.999	collinear
gene:TraesCS4B02G004100	Chr4B	2692191	2693329	+	2692760	Chr4B	5490589	5491727	-	5491158	1.0	0.997	collinear
