cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr5A	693435	25118933	Chr5A	1494492	28811031	240	0.9932
Chr5A	28959594	60528080	Chr5A	29263809	61652996	272	0.9967205882352941
Chr5A	63377052	122330664	Chr5A	64957116	123352379	292	0.9994931506849314
Chr5A	131803058	151734470	Chr5A	123583900	143083092	71	0.9985915492957748
Chr5A	155555039	159534199	Chr5A	146929227	151057173	13	0.9999230769230769
Chr5A	161914114	173117926	Chr5A	153408106	164518167	25	0.9996
Chr5A	176769683	180994113	Chr5A	166095543	170276904	8	0.999375
Chr5A	183430057	185651119	Chr5A	172692844	174892933	4	1.0
Chr5A	191038029	199222973	Chr5A	180225080	188333181	16	0.9998125
Chr5A	203479442	205826392	Chr5A	192584410	194914844	3	0.9996666666666667
Chr5A	215480063	222599127	Chr5A	201587426	208779087	13	0.9998461538461538
Chr5A	224689467	246900816	Chr5A	210853520	243334405	58	0.9996551724137932
Chr5A	258775970	296726022	Chr5A	243908200	281386007	109	0.99951376146789
Chr5A	298806315	419366244	Chr5A	282164343	401196520	711	0.9987932489451478
Chr5A	421825196	423746112	Chr5A	404040404	405992340	19	0.9923684210526316
Chr5A	426537435	507967048	Chr5A	406410248	492583022	840	0.9970654761904763
Chr5A	511879341	594771453	Chr5A	493094343	576703412	946	0.9963118393234673
Chr5A	603794580	705408233	Chr5A	577013617	685302027	1290	0.9966038759689924
