cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr6B	114487	9929931	Chr6B	634044	10957741	111	0.9931351351351353
Chr6B	16546666	40283689	Chr6B	11359479	34063871	271	0.9900442804428045
Chr6B	43820370	72872422	Chr6B	34386170	64647535	299	0.9978595317725752
Chr6B	75668895	76420847	Chr6B	64735875	65478197	8	1.0
Chr6B	81665913	90279517	Chr6B	65708216	74540707	59	0.9982542372881357
Chr6B	92466830	103962989	Chr6B	75165722	86407314	62	0.9979516129032259
Chr6B	106468710	109142658	Chr6B	88915035	91575260	7	0.9998571428571429
Chr6B	111691197	124091384	Chr6B	94592005	107142871	98	0.9894795918367346
Chr6B	134468515	183758076	Chr6B	107737169	155662034	303	0.9936765676567655
Chr6B	190123638	192937043	Chr6B	155936677	158839458	15	0.9954666666666666
Chr6B	204331998	214090266	Chr6B	159550562	169202724	51	0.9988235294117647
Chr6B	229521482	237416629	Chr6B	173213332	181091195	36	0.9968333333333332
Chr6B	243269422	245995636	Chr6B	183917043	186650980	6	0.9974999999999999
Chr6B	248349467	250132421	Chr6B	186892808	188650798	11	0.9922727272727272
Chr6B	255004953	256319887	Chr6B	189513219	190729137	10	0.9982
Chr6B	264839998	264978909	Chr6B	171126243	171270109	6	0.9966666666666667
Chr6B	274988407	282983990	Chr6B	190858971	198675566	36	0.998111111111111
Chr6B	286712737	291066228	Chr6B	202693875	207061994	21	0.9939523809523808
Chr6B	295767133	297476059	Chr6B	207914781	209625555	9	0.9966666666666667
Chr6B	341712366	342807626	Chr6B	212189800	213226914	3	0.9953333333333333
Chr6B	351346423	354958562	Chr6B	236025288	239589551	6	0.9993333333333333
Chr6B	360416955	370130843	Chr6B	219063301	228859536	17	0.9935882352941175
Chr6B	377932318	381312862	Chr6B	214451961	217876896	6	0.9991666666666666
Chr6B	403189288	410680383	Chr6B	240888702	248300241	15	0.9987333333333334
Chr6B	433040290	441049080	Chr6B	248593403	256385105	42	0.9976904761904763
Chr6B	444540716	476842384	Chr6B	259803220	294972136	161	0.9964844720496894
Chr6B	497882358	515582492	Chr6B	295454924	313012540	106	0.999254716981132
Chr6B	525555703	561838680	Chr6B	314061948	349779125	216	0.9986990740740741
Chr6B	567711798	581080919	Chr6B	349798426	362920450	99	0.9953434343434345
Chr6B	592945397	599757502	Chr6B	364078171	370977130	32	0.99334375
Chr6B	608114367	620708761	Chr6B	372654854	385100335	92	0.9946304347826086
Chr6B	622726250	626889431	Chr6B	387417198	391656519	34	0.9955588235294118
Chr6B	630465748	647836188	Chr6B	394155341	411903959	144	0.9915833333333333
Chr6B	651411213	704589960	Chr6B	412010956	466416974	550	0.9933963636363637
Chr6B	708025485	720953306	Chr6B	466779802	480247147	146	0.9780136986301371
