cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr2B	10698	8291789	Chr2B	1753568	12357805	139	0.9931438848920863
Chr2B	11180525	76106968	Chr2B	12439367	85683046	714	0.9916526610644257
Chr2B	83954584	103396443	Chr2B	86127981	106057611	158	0.9962278481012657
Chr2B	105539204	123101136	Chr2B	106127835	123542410	151	0.9930397350993376
Chr2B	129392470	155045747	Chr2B	124700785	150299786	224	0.9964107142857143
Chr2B	159099155	176170254	Chr2B	150436224	167603490	135	0.9969185185185185
Chr2B	184577840	240314058	Chr2B	167798540	223266096	319	0.9966206896551725
Chr2B	242536523	263832681	Chr2B	225722646	252078316	122	0.9966065573770492
Chr2B	298159381	303097333	Chr2B	281599619	285067187	9	0.9995555555555556
Chr2B	305321036	317758298	Chr2B	287302244	299969305	15	0.9999333333333333
Chr2B	326678653	333044217	Chr2B	301064264	307549108	10	0.9999
Chr2B	335510269	340592939	Chr2B	309994628	314966170	7	1.0
Chr2B	349919582	361286666	Chr2B	317763562	329030481	52	0.9995
Chr2B	364731829	374802272	Chr2B	329202896	339195032	43	0.9988837209302325
Chr2B	379832912	391773594	Chr2B	342650003	354476942	91	0.9995164835164836
Chr2B	401815912	414075319	Chr2B	354866927	367027954	65	0.9987076923076923
Chr2B	416505063	443265555	Chr2B	367882350	394795798	123	0.9973577235772356
Chr2B	448870631	510060382	Chr2B	395304396	456035314	412	0.9991650485436895
Chr2B	521331875	543192158	Chr2B	456258351	487162042	126	0.9950238095238093
Chr2B	546180186	562218393	Chr2B	488045236	503812504	135	0.9976222222222222
Chr2B	581469666	587167468	Chr2B	506330474	511679084	35	0.9925714285714287
Chr2B	590919435	602214107	Chr2B	511865937	523343934	64	0.995859375
Chr2B	620861246	688479428	Chr2B	523794955	591088597	555	0.9965351351351351
Chr2B	694257277	697007395	Chr2B	591606732	594423721	37	0.9922432432432433
Chr2B	699828954	756156921	Chr2B	594775903	650624971	493	0.9908316430020284
Chr2B	762957290	782959966	Chr2B	651318857	672126293	233	0.9941030042918454
Chr2B	787486420	793141403	Chr2B	670248577	678153563	56	0.9831428571428571
