cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr3B	213691	36543510	Chr3B	155516	46340514	494	0.9911376518218624
Chr3B	38794586	49152403	Chr3B	46692773	57118257	110	0.9945545454545456
Chr3B	52730887	58007538	Chr3B	57315701	63076933	41	0.9890975609756096
Chr3B	65348085	85340142	Chr3B	64109385	87675261	204	0.9952941176470589
Chr3B	87718232	99698742	Chr3B	90031285	101950652	66	0.9978787878787879
Chr3B	101800689	108818597	Chr3B	103121092	110147320	29	0.9997586206896552
Chr3B	112263660	150155819	Chr3B	111118917	149412486	258	0.995922480620155
Chr3B	154208716	191189469	Chr3B	149584637	187344407	218	0.9964678899082569
Chr3B	193609697	195100861	Chr3B	189808077	191341828	11	0.9984545454545454
Chr3B	197792489	207735313	Chr3B	194161332	204110690	73	0.9960547945205478
Chr3B	212297313	215012163	Chr3B	204936484	207436354	11	0.9939090909090911
Chr3B	219342949	230195021	Chr3B	210663958	237955725	44	0.9918863636363638
Chr3B	235855911	277099960	Chr3B	219519608	269093835	196	0.9955969387755103
Chr3B	283596077	284678121	Chr3B	275906667	277015230	4	0.99325
Chr3B	293745287	296187942	Chr3B	281826923	284566619	3	0.9969999999999999
Chr3B	299132814	305533216	Chr3B	288003754	294750664	8	0.995125
Chr3B	312893801	317625373	Chr3B	295706742	301160556	7	0.9944285714285713
Chr3B	322293448	331554193	Chr3B	305801409	315478152	17	0.9923529411764707
Chr3B	340796436	344298264	Chr3B	320472920	323865466	7	0.9891428571428571
Chr3B	349287400	352239451	Chr3B	324285536	327124146	6	0.9926666666666667
Chr3B	358584653	360111849	Chr3B	329289558	330815825	4	0.9942500000000001
Chr3B	377420901	380893563	Chr3B	333613364	337060420	25	0.9985600000000001
Chr3B	405658996	466686636	Chr3B	337638384	398754114	355	0.9964394366197182
Chr3B	469640104	488876379	Chr3B	402698598	422283561	111	0.9940450450450452
Chr3B	492569417	500308084	Chr3B	422647781	430357106	46	0.9939999999999999
Chr3B	505835915	514129864	Chr3B	430879713	437450918	46	0.9904347826086957
Chr3B	519052799	545433299	Chr3B	437523856	463489214	181	0.9937955801104972
Chr3B	570055251	582791122	Chr3B	463577825	476365330	118	0.9965677966101695
Chr3B	597427941	598995647	Chr3B	476848912	478445209	22	0.9981818181818181
Chr3B	602303142	613806631	Chr3B	478752533	490325787	76	0.9938421052631579
Chr3B	620207083	633375963	Chr3B	490756879	503828305	71	0.9990140845070421
Chr3B	639400521	710591014	Chr3B	504278408	578691960	586	0.9959044368600682
Chr3B	717681631	723033329	Chr3B	579220229	611249621	36	0.9921111111111109
Chr3B	725390223	763773796	Chr3B	584955337	622000739	367	0.993817438692098
Chr3B	766341535	778489973	Chr3B	622272801	632813020	121	0.9946033057851239
Chr3B	782482271	830611341	Chr3B	633065441	687615761	566	0.9960494699646641
